project,cargo,docker,github,github-action,nodejs,pre-commit
disney-kinesis-client-rust,1,0,0,0,0,0
terraform-aws-kinesis-firehose-splunk,0,0,2,4,1,1
fiscal-calendar,0,0,0,0,2,0
meteor-base,0,2,0,1,4,0
