stars,name,full_name,html_url,description,relevant
5000,R3nzSkin,R3nzTheCodeGOD/R3nzSkin,https://github.com/R3nzTheCodeGOD/R3nzSkin,Skin changer for League of Legends (LOL),y
5000,XUI,xuexiangjys/XUI,https://github.com/xuexiangjys/XUI,"💍A simple and elegant Android native UI framework, free your hands! (一个简洁而优雅的Android原生UI框架，解放你的双手！)",y
4999,gt-nlp-class,jacobeisenstein/gt-nlp-class,https://github.com/jacobeisenstein/gt-nlp-class,"Course materials for Georgia Tech CS 4650 and 7650, ""Natural Language""",n
4999,cloudscraper,VeNoMouS/cloudscraper,https://github.com/VeNoMouS/cloudscraper,A Python module to bypass Cloudflare's anti-bot page.,y
4998,qtile,qtile/qtile,https://github.com/qtile/qtile,":cookie: A full-featured, hackable tiling window manager written and configured in Python (X11 + Wayland)",y
4998,jless,PaulJuliusMartinez/jless,https://github.com/PaulJuliusMartinez/jless,"jless is a command-line JSON viewer designed for reading, exploring, and searching through JSON data.",y
4998,credo,rrrene/credo,https://github.com/rrrene/credo,A static code analysis tool for the Elixir language with a focus on code consistency and teaching.,y
4998,NSLogger,fpillet/NSLogger,https://github.com/fpillet/NSLogger,"A modern, flexible logging tool",y
4998,instagrapi,subzeroid/instagrapi,https://github.com/subzeroid/instagrapi,🔥 The fastest and powerful Python library for Instagram Private API 2025 with HikerAPI SaaS,y
4998,PRNet,yfeng95/PRNet,https://github.com/yfeng95/PRNet,Joint 3D Face Reconstruction and Dense Alignment with Position Map Regression Network (ECCV 2018),y
4997,pbrt-v3,mmp/pbrt-v3,https://github.com/mmp/pbrt-v3,"Source code for pbrt, the renderer described in the third edition of ""Physically Based Rendering: From Theory To Implementation"", by Matt Pharr, Wenzel Jakob, and Greg Humphreys.",y
4997,nerdcommenter,preservim/nerdcommenter,https://github.com/preservim/nerdcommenter,Vim plugin for intensely nerdy commenting powers,y
4997,yournextstore,yournextstore/yournextstore,https://github.com/yournextstore/yournextstore,Your Next Store: Modern Commerce with Next.js and Stripe as the backend.,y
4996,UltraViewPager,alibaba/UltraViewPager,https://github.com/alibaba/UltraViewPager,UltraViewPager is an extension for ViewPager to provide multiple features in a single ViewPager.,y
4996,Chicago95,grassmunk/Chicago95,https://github.com/grassmunk/Chicago95,A rendition of everyone's favorite 1995 Microsoft operating system for Linux.,n
4996,ThreatMapper,deepfence/ThreatMapper,https://github.com/deepfence/ThreatMapper,Open Source Cloud Native Application Protection Platform (CNAPP),y
4996,harp,sintaxi/harp,https://github.com/sintaxi/harp,Static Web Server/Generator/Bundler,y
4996,ControlNet-v1-1-nightly,lllyasviel/ControlNet-v1-1-nightly,https://github.com/lllyasviel/ControlNet-v1-1-nightly,Nightly release of ControlNet 1.1,y
4996,social-auto-upload,dreammis/social-auto-upload,https://github.com/dreammis/social-auto-upload,自动化上传视频到社交媒体：抖音、小红书、视频号、tiktok、youtube、bilibili,y
4996,tbox,tboox/tbox,https://github.com/tboox/tbox,🎁 A glib-like multi-platform c library,y
4995,vue-loader,vuejs/vue-loader,https://github.com/vuejs/vue-loader,📦 Webpack loader for Vue.js components,y
4995,rust-libp2p,libp2p/rust-libp2p,https://github.com/libp2p/rust-libp2p,The Rust Implementation of the libp2p networking stack.,y
4995,snacks.nvim,folke/snacks.nvim,https://github.com/folke/snacks.nvim,🍿 A collection of QoL plugins for Neovim,n
4995,fleet,fleetdm/fleet,https://github.com/fleetdm/fleet,"Open-source platform for IT, security, and infrastructure teams. (Linux, macOS, Chrome, Windows, cloud, data center)",y
4994,corpora,dariusk/corpora,https://github.com/dariusk/corpora,A collection of small corpuses of interesting data for the creation of bots and similar stuff.,n
4994,fvm,leoafarias/fvm,https://github.com/leoafarias/fvm,Flutter Version Management: A simple CLI to manage Flutter SDK versions.,y
4993,gopay,go-pay/gopay,https://github.com/go-pay/gopay,微信、支付宝、通联支付、拉卡拉、PayPal、Apple 的Go版本SDK。【极简、易用的聚合支付SDK】,y
4993,WebKit-http,WebKit/WebKit-http,https://github.com/WebKit/WebKit-http,Deprecated unofficial http mirror of the WebKit SVN repository,a
4993,AwesomeMenu,levey/AwesomeMenu,https://github.com/levey/AwesomeMenu,Path 2.0 menu using CoreAnimation :),u
4993,spring-authorization-server,spring-projects/spring-authorization-server,https://github.com/spring-projects/spring-authorization-server,Spring Authorization Server,y
4993,tribler,Tribler/tribler,https://github.com/Tribler/tribler,Privacy enhanced BitTorrent client with P2P content discovery,y
4993,MeshCentral,Ylianst/MeshCentral,https://github.com/Ylianst/MeshCentral,A complete web-based remote monitoring and management web site. Once setup you can install agents and perform remote desktop session to devices on the local network or over the Internet.,y
4991,rack,rack/rack,https://github.com/rack/rack,A modular Ruby web server interface.,y
4991,bootstrap-modal,jschr/bootstrap-modal,https://github.com/jschr/bootstrap-modal,"Extends the default Bootstrap Modal class. Responsive, stackable, ajax and more.",y
4990,wechat,silenceper/wechat,https://github.com/silenceper/wechat,WeChat SDK for Go （微信SDK：简单、易用）,y
4990,CS-Books-Store,Jackpopc/CS-Books-Store,https://github.com/Jackpopc/CS-Books-Store,你想要的计算机经典书籍，这里都有！,n
4990,dialogplus,orhanobut/dialogplus,https://github.com/orhanobut/dialogplus,Advanced dialog solution for android,y
4989,hyperscan,intel/hyperscan,https://github.com/intel/hyperscan,High-performance regular expression matching library,y
4989,python_koans,gregmalcolm/python_koans,https://github.com/gregmalcolm/python_koans,Python Koans - Learn Python through TDD,y
4989,pytorch-OpCounter,Lyken17/pytorch-OpCounter,https://github.com/Lyken17/pytorch-OpCounter,Count the MACs / FLOPs of your PyTorch model.,y
4988,accounting.js,openexchangerates/accounting.js,https://github.com/openexchangerates/accounting.js,"A lightweight JavaScript library for number, money and currency formatting - fully localisable, zero dependencies.",y
4988,viddy,sachaos/viddy,https://github.com/sachaos/viddy,👀 A modern watch command. Time machine and pager etc.,y
4988,LayoutManagerGroup,DingMouRen/LayoutManagerGroup,https://github.com/DingMouRen/LayoutManagerGroup,:point_right: Customize the LayoutManager of RecyclerView(自定义LayoutManager),y
4987,Cloud-Free-Tier-Comparison,cloudcommunity/Cloud-Free-Tier-Comparison,https://github.com/cloudcommunity/Cloud-Free-Tier-Comparison,"Comparing the free tier offers of the major cloud providers like AWS, Azure, GCP, Oracle etc.",n
4987,alex,get-alex/alex,https://github.com/get-alex/alex,"Catch insensitive, inconsiderate writing",y
4987,InvenTree,inventree/InvenTree,https://github.com/inventree/InvenTree,Open Source Inventory Management System,y
4987,precedent,steven-tey/precedent,https://github.com/steven-tey/precedent,"An opinionated collection of components, hooks, and utilities for your Next.js project.",n
4987,acts-as-taggable-on,mbleigh/acts-as-taggable-on,https://github.com/mbleigh/acts-as-taggable-on,A tagging plugin for Rails applications that allows for custom tagging along dynamic contexts.,y
4986,chatgpt-vscode,mpociot/chatgpt-vscode,https://github.com/mpociot/chatgpt-vscode,A VSCode extension that allows you to use ChatGPT,y
4986,pgroll,xataio/pgroll,https://github.com/xataio/pgroll,PostgreSQL zero-downtime migrations made easy,y
4985,ShareJS,josephg/ShareJS,https://github.com/josephg/ShareJS,Collaborative editing in any app,y
4985,runelite,runelite/runelite,https://github.com/runelite/runelite,Open source Old School RuneScape client,y
4984,DragGAN,OpenGVLab/DragGAN,https://github.com/OpenGVLab/DragGAN,"Unofficial Implementation of DragGAN - ""Drag Your GAN: Interactive Point-based Manipulation on the Generative Image Manifold"" （DragGAN 全功能实现，在线Demo，本地部署试用，代码、模型已全部开源，支持Windows, macOS, Linux）",y
4984,shortest,antiwork/shortest,https://github.com/antiwork/shortest,QA via natural language AI tests,y
4984,996ICU,995icu/996ICU,https://github.com/995icu/996ICU,996ICU 995ICU 工作996 生病ICU 加班不规范 亲人两行泪,n
4984,squirrel,rime/squirrel,https://github.com/rime/squirrel,【鼠鬚管】Rime for macOS,y
4983,clashN,2dust/clashN,https://github.com/2dust/clashN,"A clash client for Windows, support Mihomo",y
4983,spring-mvc-showcase,spring-attic/spring-mvc-showcase,https://github.com/spring-attic/spring-mvc-showcase,Demonstrates the features of the Spring MVC web framework,a
4983,FPSSample,Unity-Technologies/FPSSample,https://github.com/Unity-Technologies/FPSSample,A first person multiplayer shooter example project in Unity,y
4983,git-absorb,tummychow/git-absorb,https://github.com/tummychow/git-absorb,"git commit --fixup, but automatic",y
4983,libwebsockets,warmcat/libwebsockets,https://github.com/warmcat/libwebsockets,canonical libwebsockets.org networking library,y
4983,clib,clibs/clib,https://github.com/clibs/clib,Package manager for the C programming language.,y
4983,booster,didi/booster,https://github.com/didi/booster,🚀Optimizer for mobile applications,y
4982,python3-in-one-pic,rainyear/python3-in-one-pic,https://github.com/rainyear/python3-in-one-pic,Learn python3 in one picture.,n
4982,asciidoctor,asciidoctor/asciidoctor,https://github.com/asciidoctor/asciidoctor,":gem: A fast, open source text processor and publishing toolchain, written in Ruby, for converting AsciiDoc content to HTML 5, DocBook 5, and other formats.",y
4981,Modlishka,drk1wi/Modlishka,https://github.com/drk1wi/Modlishka,Modlishka. Reverse Proxy.,y
4981,joda-time,JodaOrg/joda-time,https://github.com/JodaOrg/joda-time,Joda-Time is the widely used replacement for the Java date and time classes prior to Java SE 8.,y
