project_name,total_contributors,config_contributors,non_config_contributors,config_contributors_percentage,total_commits,total_config_commits,total_non_config_commits,config_commits_percentage,avg_commits_per_contributor,avg_config_commits_per_contributor,avg_config_commits_per_config_contributor,unique_config_files_count
siyuan,97,40,57,41.24,18281,2251,16030,12.31,188.46,23.21,56.27,65
skywalking,603,301,302,49.92,8324,3118,5206,37.46,13.80,5.17,10.36,1185
slate,629,95,534,15.10,4272,1233,3039,28.86,6.79,1.96,12.98,159
slick,191,27,164,14.14,970,107,863,11.03,5.08,0.56,3.96,6
slidev,312,54,258,17.31,2782,1104,1678,39.68,8.92,3.54,20.44,59
slim,78,15,63,19.23,1108,147,961,13.27,14.21,1.88,9.80,204
slint,235,72,163,30.64,14306,3162,11144,22.10,60.88,13.46,43.92,331
smolagents,172,33,139,19.19,893,185,708,20.72,5.19,1.08,5.61,20
socket.io,585,173,412,29.57,7611,2710,4901,35.61,13.01,4.63,15.66,231
solid,190,36,154,18.95,1834,894,940,48.75,9.65,4.71,24.83,66
solidity,889,128,761,14.40,25664,2979,22685,11.61,28.87,3.35,23.27,31
sops,196,45,151,22.96,2152,533,1619,24.77,10.98,2.72,11.84,1576
source-code-hunter,52,8,44,15.38,630,28,602,4.44,12.12,0.54,3.50,8
spacedrive,145,67,78,46.21,3540,1409,2131,39.80,24.41,9.72,21.03,303
spacemacs,1664,14,1650,0.84,13425,128,13297,0.95,8.07,0.08,9.14,12
spdlog,455,20,435,4.40,4432,230,4202,5.19,9.74,0.51,11.50,12
spleeter,28,16,12,57.14,540,195,345,36.11,19.29,6.96,12.19,24
spotube,96,27,69,28.12,1948,936,1012,48.05,20.29,9.75,34.67,89
spring-cloud-alibaba,266,126,140,47.37,2592,1150,1442,44.37,9.74,4.32,9.13,460
spring-framework,1264,111,1153,8.78,33144,2756,30388,8.32,26.22,2.18,24.83,115
spring-projects_spring-boot,1574,338,1236,21.47,57955,13625,44330,23.51,36.82,8.66,40.31,1115
sqlitebrowser,227,32,195,14.10,4189,258,3931,6.16,18.45,1.14,8.06,30
sqlmap,154,28,126,18.18,10293,4295,5998,41.73,66.84,27.89,153.39,6
srs,168,48,120,28.57,8740,1117,7623,12.78,52.02,6.65,23.27,141
sst,222,44,178,19.82,3549,664,2885,18.71,15.99,2.99,15.09,699
stanford-oval_storm,29,6,23,20.69,238,22,216,9.24,8.21,0.76,3.67,104
starship,637,193,444,30.30,3829,2327,1502,60.77,6.01,3.65,12.06,75
stats,181,6,175,3.31,2115,87,2028,4.11,11.69,0.48,14.50,106
statsd,267,37,230,13.86,1040,121,919,11.63,3.90,0.45,3.27,7
stb,234,5,229,2.14,2210,12,2198,0.54,9.44,0.05,2.40,3
storybookjs_storybook,2658,910,1748,34.24,72978,28764,44214,39.41,27.46,10.82,31.61,1384
strapi_strapi,1349,618,731,45.81,36443,12999,23444,35.67,27.01,9.64,21.03,2360
streamlit,317,83,234,26.18,7980,1700,6280,21.30,25.17,5.36,20.48,173
styled-components,421,151,270,35.87,3654,1244,2410,34.04,8.68,2.95,8.24,41
subquery_subql,69,55,14,79.71,2985,1954,1031,65.46,43.26,28.32,35.53,1267
supabase_supabase,1808,463,1345,25.61,33001,7664,25337,23.22,18.25,4.24,16.55,1247
supervision,145,52,93,35.86,4395,932,3463,21.21,30.31,6.43,17.92,24
surrealdb,162,55,107,33.95,3861,775,3086,20.07,23.83,4.78,14.09,87
surya,15,6,9,40.00,707,391,316,55.30,47.13,26.07,65.17,9
svelte,896,191,705,21.32,10337,2699,7638,26.11,11.54,3.01,14.13,602
svgo,238,53,185,22.27,1580,469,1111,29.68,6.64,1.97,8.85,16
swagger-ui,653,155,498,23.74,6745,2927,3818,43.40,10.33,4.48,18.88,48
sway,163,91,72,55.83,3400,1644,1756,48.35,20.86,10.09,18.07,225
swc-project_swc,385,157,228,40.78,11287,7369,3918,65.29,29.32,19.14,46.94,683
sweetalert2,137,28,109,20.44,3335,1314,2021,39.40,24.34,9.59,46.93,31
swiftlang_swift,1852,404,1448,21.81,194067,6553,187514,3.38,104.79,3.54,16.22,60
swiper,361,42,319,11.63,3758,839,2919,22.33,10.41,2.32,19.98,87
swoole-src,267,54,213,20.22,13102,721,12381,5.50,49.07,2.70,13.35,32
swr,203,51,152,25.12,912,374,538,41.01,4.49,1.84,7.33,52
syncthing,410,57,353,13.90,7841,1226,6615,15.64,19.12,2.99,21.51,247
tabby,124,56,68,45.16,3673,1144,2529,31.15,29.62,9.23,20.43,323
table,485,104,381,21.44,2505,1099,1406,43.87,5.16,2.27,10.57,652
tabler,165,64,101,38.79,3012,1387,1625,46.05,18.25,8.41,21.67,431
tabler-icons,86,23,63,26.74,1908,482,1426,25.26,22.19,5.60,20.96,52
taichi,292,73,219,25.00,10886,756,10130,6.94,37.28,2.59,10.36,73
tailscale,359,81,278,22.56,9295,498,8797,5.36,25.89,1.39,6.15,99
tailwindcss,332,56,276,16.87,6316,1363,4953,21.58,19.02,4.11,24.34,134
taipy,127,79,48,62.20,7505,1751,5754,23.33,59.09,13.79,22.16,223
tauri,510,188,322,36.86,5544,2931,2613,52.87,10.87,5.75,15.59,626
tdesktop,245,32,213,13.06,20215,1758,18457,8.70,82.51,7.18,54.94,40
teable,48,34,14,70.83,1453,523,930,35.99,30.27,10.90,15.38,314
teambit_bit,112,55,57,49.11,15589,4501,11088,28.87,139.19,40.19,81.84,143
telescope.nvim,449,12,437,2.67,1465,45,1420,3.07,3.26,0.10,3.75,8
tensorflow,4982,691,4291,13.87,181516,3294,178222,1.81,36.43,0.66,4.77,353
terminal,472,111,361,23.52,4618,713,3905,15.44,9.78,1.51,6.42,118
termux-app,96,31,65,32.29,1483,367,1116,24.75,15.45,3.82,11.84,23
terraform,2387,289,2098,12.11,34411,2023,32388,5.88,14.42,0.85,7.00,349
tesseract,269,34,235,12.64,6559,642,5917,9.79,24.38,2.39,18.88,31
tesseract.js,92,23,69,25.00,836,281,555,33.61,9.09,3.05,12.22,9
testify,339,37,302,10.91,1249,109,1140,8.73,3.68,0.32,2.95,9
text-generation-webui,393,76,317,19.34,4749,530,4219,11.16,12.08,1.35,6.97,273
textual,189,27,162,14.29,12122,1197,10925,9.87,64.14,6.33,44.33,23
the-swift-programming-language-in-chinese,420,36,384,8.57,12035,382,11653,3.17,28.65,0.91,10.61,62
theia,460,162,298,35.22,7841,1685,6156,21.49,17.05,3.66,10.40,606
timescaledb,151,55,96,36.42,5679,737,4942,12.98,37.61,4.88,13.40,48
timqian_chinese-independent-blogs,1422,16,1406,1.13,3738,860,2878,23.01,2.63,0.60,53.75,1414
tinygrad,447,82,365,18.34,9487,978,8509,10.31,21.22,2.19,11.93,38
tiptap,460,68,392,14.78,7151,2475,4676,34.61,15.55,5.38,36.40,248
tldraw_tldraw,215,85,130,39.53,4856,1621,3235,33.38,22.59,7.54,19.07,1139
tmux,54,3,51,5.56,10556,77,10479,0.73,195.48,1.43,25.67,5
toeverything_AFFiNE,275,146,129,53.09,10784,3794,6990,35.18,39.21,13.80,25.99,1291
tokio,980,202,778,20.61,4147,1210,2937,29.18,4.23,1.23,5.99,79
toml,204,20,184,9.80,867,56,811,6.46,4.25,0.27,2.80,4
tornado,492,38,454,7.72,4905,498,4407,10.15,9.97,1.01,13.11,25
traefik,1000,332,668,33.20,5590,2056,3534,36.78,5.59,2.06,6.19,1166
transformers,3428,375,3053,10.94,19364,1803,17561,9.31,5.65,0.53,4.81,130
tree-sitter_tree-sitter,363,75,288,20.66,6004,1070,4934,17.82,16.54,2.95,14.27,98
trivy,507,133,374,26.23,3629,901,2728,24.83,7.16,1.78,6.77,90
trix,90,24,66,26.67,3084,201,2883,6.52,34.27,2.23,8.38,9
trpc,496,95,401,19.15,4635,1905,2730,41.10,9.34,3.84,20.05,401
trufflehog,187,39,148,20.86,4098,206,3892,5.03,21.91,1.10,5.28,111
twenty,492,101,391,20.53,7204,1042,6162,14.46,14.64,2.12,10.32,491
typeorm,1214,149,1065,12.27,5559,1013,4546,18.22,4.58,0.83,6.80,53
typescript-go,62,14,48,22.58,921,128,793,13.90,14.85,2.06,9.14,31
typesense,63,20,43,31.75,4573,273,4300,5.97,72.59,4.33,13.65,13
typst,381,83,298,21.78,3758,579,3179,15.41,9.86,1.52,6.98,67
uWebSockets,62,5,57,8.06,1152,38,1114,3.30,18.58,0.61,7.60,4
ui,293,82,211,27.99,813,338,475,41.57,2.77,1.15,4.12,2534
uikit,53,13,40,24.53,7090,1386,5704,19.55,133.77,26.15,106.62,13
ultralytics,301,62,239,20.60,2796,924,1872,33.05,9.29,3.07,14.90,241
umami-software_umami,382,234,148,61.26,5049,2065,2984,40.90,13.22,5.41,8.82,436
ungoogled-chromium,122,28,94,22.95,2304,306,1998,13.28,18.89,2.51,10.93,91
uni-app,63,31,32,49.21,9367,2223,7144,23.73,148.68,35.29,71.71,364
unilm,102,27,75,26.47,1240,63,1177,5.08,12.16,0.62,2.33,914
unionlabs_union,57,40,17,70.18,15641,4692,10949,30.00,274.40,82.32,117.30,3548
unleashed-firmware,464,80,384,17.24,7691,581,7110,7.55,16.58,1.25,7.26,62
unocss,414,90,324,21.74,3317,1187,2130,35.79,8.01,2.87,13.19,258
unsloth,73,10,63,13.70,1410,182,1228,12.91,19.32,2.49,18.20,3
uppy,489,77,412,15.75,10237,2492,7745,24.34,20.93,5.10,32.36,449
upscayl,55,38,17,69.09,1103,455,648,41.25,20.05,8.27,11.97,54
uptime-kuma,869,534,335,61.45,5842,2146,3696,36.73,6.72,2.47,4.02,125
uv,408,100,308,24.51,6789,1855,4934,27.32,16.64,4.55,18.55,206
v,946,97,849,10.25,20083,1128,18955,5.62,21.23,1.19,11.63,91
v2ray-core,202,45,157,22.28,6786,575,6211,8.47,33.59,2.85,12.78,44
v2rayN,111,16,95,14.41,2162,75,2087,3.47,19.48,0.68,4.69,20
v2rayNG,69,49,20,71.01,1084,544,540,50.18,15.71,7.88,11.10,10
v8,1336,137,1199,10.25,95896,853,95043,0.89,71.78,0.64,6.23,35
v86,115,18,97,15.65,4838,137,4701,2.83,42.07,1.19,7.61,23
vagrant,1332,182,1150,13.66,17023,1816,15207,10.67,12.78,1.36,9.98,61
validator,258,12,246,4.65,1114,54,1060,4.85,4.32,0.21,4.50,6
validator.js,584,38,546,6.51,2322,379,1943,16.32,3.98,0.65,9.97,11
valkey,1008,211,797,20.93,13194,983,12211,7.45,13.09,0.98,4.66,460
vanna,100,36,64,36.00,878,326,552,37.13,8.78,3.26,9.06,19
vant,411,55,356,13.38,10297,2626,7671,25.50,25.05,6.39,47.75,125
vant-weapp,209,52,157,24.88,2819,704,2115,24.97,13.49,3.37,13.54,420
vapor,304,37,267,12.17,5861,431,5430,7.35,19.28,1.42,11.65,32
vault,1656,261,1395,15.76,21491,2025,19466,9.42,12.98,1.22,7.76,505
vaultwarden,187,56,131,29.95,2856,842,2014,29.48,15.27,4.50,15.04,56
vectordotdev_vector,641,263,378,41.03,13080,6204,6876,47.43,20.41,9.68,23.59,869
vercel_next.js,4039,1256,2783,31.10,31283,11932,19351,38.14,7.75,2.95,9.50,1926
vercel_turborepo,609,186,423,30.54,8183,3726,4457,45.53,13.44,6.12,20.03,1350
video.js,604,212,392,35.10,4185,1385,2800,33.09,6.93,2.29,6.53,73
vim,670,35,635,5.22,21685,345,21340,1.59,32.37,0.51,9.86,28
vim-airline,384,9,375,2.34,2773,40,2733,1.44,7.22,0.10,4.44,3
vimium,218,32,186,14.68,5282,342,4940,6.47,24.23,1.57,10.69,5
viper,201,22,179,10.95,868,223,645,25.69,4.32,1.11,10.14,21
vite,1207,254,953,21.04,7873,2510,5363,31.88,6.52,2.08,9.88,515
vitess,621,261,360,42.03,34793,4351,30442,12.51,56.03,7.01,16.67,493
vllm,1251,189,1062,15.11,7350,797,6553,10.84,5.88,0.64,4.22,561
vnpy,173,48,125,27.75,6844,630,6214,9.21,39.56,3.64,13.12,349
voice-changer,29,13,16,44.83,1748,516,1232,29.52,60.28,17.79,39.69,172
void,64,31,33,48.44,2760,523,2237,18.95,43.12,8.17,16.87,687
vscodium,138,29,109,21.01,1651,811,840,49.12,11.96,5.88,27.97,34
vue-admin-better,23,15,8,65.22,851,389,462,45.71,37.00,16.91,25.93,14
vue-pure-admin,83,24,59,28.92,1457,671,786,46.05,17.55,8.08,27.96,519
vue-vben-admin,119,37,82,31.09,1014,451,563,44.48,8.52,3.79,12.19,293
vue2-elm,24,7,17,29.17,512,30,482,5.86,21.33,1.25,4.29,6
vuetify,1160,279,881,24.05,16885,3847,13038,22.78,14.56,3.32,13.79,6556
vueuse,817,82,735,10.04,3608,1100,2508,30.49,4.42,1.35,13.41,57
vulhub,86,50,36,58.14,2462,1681,781,68.28,28.63,19.55,33.62,982
wagtail,1116,138,978,12.37,19019,1280,17739,6.73,17.04,1.15,9.28,41
wails,333,45,288,13.51,3851,644,3207,16.72,11.56,1.93,14.31,1104
wasmer,275,126,149,45.82,19730,5507,14223,27.91,71.75,20.03,43.71,172
web-check,32,8,24,25.00,542,149,393,27.49,16.94,4.66,18.62,20
webpack,1030,281,749,27.28,17822,4248,13574,23.84,17.30,4.12,15.12,107
webtorrent,226,56,170,24.78,3717,1779,1938,47.86,16.45,7.87,31.77,20
wechat-app-mall,32,8,24,25.00,662,226,436,34.14,20.69,7.06,28.25,201
wechaty,79,37,42,46.84,7103,4233,2870,59.59,89.91,53.58,114.41,25
wekan_wekan,380,185,195,48.68,12670,4821,7849,38.05,33.34,12.69,26.06,575
weui,48,25,23,52.08,725,173,552,23.86,15.10,3.60,6.92,4
wezterm,445,78,367,17.53,8529,1588,6941,18.62,19.17,3.57,20.36,734
wg-easy,98,56,42,57.14,1230,758,472,61.63,12.55,7.73,13.54,53
whisper,80,9,71,11.25,166,28,138,16.87,2.08,0.35,3.11,13
whisper.cpp,619,37,582,5.98,2852,159,2693,5.58,4.61,0.26,4.30,30
wiki,228,78,150,34.21,2158,752,1406,34.85,9.46,3.30,9.64,331
windows,23,12,11,52.17,432,201,231,46.53,18.78,8.74,16.75,18
windows95,21,7,14,33.33,226,88,138,38.94,10.76,4.19,12.57,7
winget-cli,133,47,86,35.34,1463,445,1018,30.42,11.00,3.35,9.47,206
winutil,106,71,35,66.98,921,373,548,40.50,8.69,3.52,5.25,33
withastro_astro,1293,315,978,24.36,12225,4766,7459,38.99,9.45,3.69,15.13,567
ws,217,32,185,14.75,1927,557,1370,28.91,8.88,2.57,17.41,18
x64dbg,187,16,171,8.56,5640,63,5577,1.12,30.16,0.34,3.94,11
xbmc,1384,494,890,35.69,68678,7532,61146,10.97,49.62,5.44,15.25,144
xgboost,725,80,645,11.03,7469,804,6665,10.76,10.30,1.11,10.05,47
xstate,409,68,341,16.63,6811,1639,5172,24.06,16.65,4.01,24.10,341
xterm.js,404,104,300,25.74,9997,2117,7880,21.18,24.75,5.24,20.36,179
xxl-job,106,31,75,29.25,1880,535,1345,28.46,17.74,5.05,17.26,80
xyflow,142,36,106,25.35,5680,2189,3491,38.54,40.00,15.42,60.81,117
yabai,6,2,4,33.33,1645,7,1638,0.43,274.17,1.17,3.50,2
yazi,148,87,61,58.78,1140,513,627,45.00,7.70,3.47,5.90,65
yew,471,115,356,24.42,2680,913,1767,34.07,5.69,1.94,7.94,363
yfinance,153,21,132,13.73,1592,218,1374,13.69,10.41,1.42,10.38,14
yjs,130,13,117,10.00,1963,637,1326,32.45,15.10,4.90,49.00,92
yoga,334,61,273,18.26,2598,321,2277,12.36,7.78,0.96,5.26,102
yolov5,358,35,323,9.78,2905,522,2383,17.97,8.11,1.46,14.91,96
you-get,290,11,279,3.79,2600,85,2515,3.27,8.97,0.29,7.73,3
youtube-dl,1058,27,1031,2.55,18934,234,18700,1.24,17.90,0.22,8.67,4
youtube-music,458,368,90,80.35,4452,2779,1673,62.42,9.72,6.07,7.55,70
yt-dlp,1717,64,1653,3.73,23248,550,22698,2.37,13.54,0.32,8.59,38
yup,173,23,150,13.29,793,305,488,38.46,4.58,1.76,13.26,10
zap,164,26,138,15.85,698,88,610,12.61,4.26,0.54,3.38,8
zed-industries_zed,1358,545,813,40.13,32032,8206,23826,25.62,23.59,6.04,15.06,1004
zellij-org_zellij,183,62,121,33.88,3073,725,2348,23.59,16.79,3.96,11.69,137
zig,1458,38,1420,2.61,34124,334,33790,0.98,23.40,0.23,8.79,21
zod,421,41,380,9.74,2502,740,1762,29.58,5.94,1.76,18.05,68
zoxide,95,21,74,22.11,556,189,367,33.99,5.85,1.99,9.00,21
zstd,437,54,383,12.36,11337,694,10643,6.12,25.94,1.59,12.85,22
zulip_zulip,1483,434,1049,29.27,67002,6551,60451,9.78,45.18,4.42,15.09,2398
zustand,315,49,266,15.56,1227,441,786,35.94,3.90,1.40,9.00,29
zx,65,21,44,32.31,891,426,465,47.81,13.71,6.55,20.29,20
zxing,181,54,127,29.83,3824,1321,2503,34.54,21.13,7.30,24.46,31
