project_name,total_contributors,config_contributors,non_config_contributors,config_contributors_percentage,total_commits,total_config_commits,total_non_config_commits,config_commits_percentage,avg_commits_per_contributor,avg_config_commits_per_contributor,avg_config_commits_per_config_contributor,unique_config_files_count
redisson,267,48,219,17.98,10704,1944,8760,18.16,40.09,7.28,40.50,100
redoc,243,81,162,33.33,2624,1014,1610,38.64,10.80,4.17,12.52,55
reduxjs_redux,1082,127,955,11.74,4105,714,3391,17.39,3.79,0.66,5.62,52
refined-github,418,68,350,16.27,4265,810,3455,18.99,10.20,1.94,11.91,40
refinedev_refine,338,76,262,22.49,7256,3230,4026,44.51,21.47,9.56,42.50,2236
reflex,183,38,145,20.77,2626,452,2174,17.21,14.35,2.47,11.89,39
relay,1039,316,723,30.41,10565,1920,8645,18.17,10.17,1.85,6.08,251
rembg,75,9,66,12.00,475,85,390,17.89,6.33,1.13,9.44,12
remix,775,749,26,96.65,6263,3061,3202,48.87,8.08,3.95,4.09,629
remotion-dev_remotion,367,95,272,25.89,27266,5864,21402,21.51,74.29,15.98,61.73,383
requests,803,55,748,6.85,6363,331,6032,5.20,7.92,0.41,6.02,20
restic,474,34,440,7.17,8976,530,8446,5.90,18.94,1.12,15.59,328
retrofit,225,69,156,30.67,2550,1063,1487,41.69,11.33,4.72,15.41,83
reveal.js,377,43,334,11.41,3212,270,2942,8.41,8.52,0.72,6.28,9
rich,301,50,251,16.61,4279,817,3462,19.09,14.22,2.71,16.34,195
ripgrep,427,59,368,13.82,2058,583,1475,28.33,4.82,1.37,9.88,41
robertdavidgraham_masscan,89,14,75,15.73,864,40,824,4.63,9.71,0.45,2.86,1
rocketmq,800,185,615,23.12,8850,1612,7238,18.21,11.06,2.02,8.71,90
rocksdb,1197,83,1114,6.93,13337,379,12958,2.84,11.14,0.32,4.57,52
rollup,443,111,332,25.06,5969,1858,4111,31.13,13.47,4.19,16.74,79
rrweb,152,30,122,19.74,1288,503,785,39.05,8.47,3.31,16.77,83
ruby,1241,124,1117,9.99,92760,2790,89970,3.01,74.75,2.25,22.50,527
ruff,723,276,447,38.17,11520,3017,8503,26.19,15.93,4.17,10.93,165
rufus,238,3,235,1.26,2265,127,2138,5.61,9.52,0.53,42.33,12
ruoyi-vue-pro,403,138,265,34.24,9541,2598,6943,27.23,23.67,6.45,18.83,379
rust-lang_rust,8718,1454,7264,16.68,307974,24497,283477,7.95,35.33,2.81,16.85,1328
rustdesk,445,100,345,22.47,10767,1795,8972,16.67,24.20,4.03,17.95,132
saleor,390,182,208,46.67,22024,3672,18352,16.67,56.47,9.42,20.18,88
sanic,414,63,351,15.22,2929,342,2587,11.68,7.07,0.83,5.43,44
scikit-learn,3540,136,3404,3.84,32608,925,31683,2.84,9.21,0.26,6.80,75
scrapy,767,159,608,20.73,10858,1669,9189,15.37,14.16,2.18,10.50,28
scrcpy,170,8,162,4.71,2839,43,2796,1.51,16.70,0.25,5.38,5
screenshot-to-code,28,11,17,39.29,898,116,782,12.92,32.07,4.14,10.55,15
searxng_searxng,379,209,170,55.15,9027,2512,6515,27.83,23.82,6.63,12.02,74
seaweedfs,499,171,328,34.27,11866,1636,10230,13.79,23.78,3.28,9.57,277
semantic-release,260,48,212,18.46,1804,1096,708,60.75,6.94,4.22,22.83,17
sequelize,1296,143,1153,11.03,11565,3156,8409,27.29,8.92,2.44,22.07,100
serenity,1498,237,1261,15.82,65412,1435,63977,2.19,43.67,0.96,6.05,232
serve,222,60,162,27.03,8644,1753,6891,20.28,38.94,7.90,29.22,211
serverless,1287,284,1003,22.07,16134,3506,12628,21.73,12.54,2.72,12.35,874
servers,726,182,544,25.07,2880,518,2362,17.99,3.97,0.71,2.85,73
servo_servo,1742,779,963,44.72,53190,15057,38133,28.31,30.53,8.64,19.33,285
setup,94,3,91,3.19,1182,5,1177,0.42,12.57,0.05,1.67,2
setup-ipsec-vpn,33,8,25,24.24,1451,183,1268,12.61,43.97,5.55,22.88,8
shadPS4,205,41,164,20.00,3157,168,2989,5.32,15.40,0.82,4.10,25
shadowsocks-android,64,35,29,54.69,3733,1333,2400,35.71,58.33,20.83,38.09,28
shap,302,48,254,15.89,2853,516,2337,18.09,9.45,1.71,10.75,20
shardeum,93,61,32,65.59,1935,659,1276,34.06,20.81,7.09,10.80,44
sharp,239,80,159,33.47,2261,912,1349,40.34,9.46,3.82,11.40,39
shellcheck,176,30,146,17.05,2089,128,1961,6.13,11.87,0.73,4.27,14
sherlock,301,224,77,74.42,2585,1762,823,68.16,8.59,5.85,7.87,29
signalapp_Signal-Android,423,196,227,46.34,17727,5858,11869,33.05,41.91,13.85,29.89,132
signoz,206,92,114,44.66,4844,1246,3598,25.72,23.51,6.05,13.54,336
simdjson,163,15,148,9.20,2921,143,2778,4.90,17.92,0.88,9.53,176
simple-icons,863,711,152,82.39,7461,5301,2160,71.05,8.65,6.14,7.46,51
sing-box,98,15,83,15.31,1882,260,1622,13.82,19.20,2.65,17.33,19
