cluster,entropy,entropy_normalized,num_projects
14,4.394906276575231,0.8367626584531678,2
6,4.211007626255357,0.8017495059889658,21
4,3.9465165209467443,0.7513920543193219,4
9,3.6068074274454323,0.6867135682970028,2
1,3.5528353664384316,0.6764376255559422,4
12,2.70805020110221,0.5155958154504077,1
0,2.5052899909184174,0.476991539994931,2
8,2.484906649788001,0.47311067937149665,1
11,2.1972245773362196,0.4183378126514232,1
13,2.1972245773362196,0.4183378126514232,1
3,1.7917594692280547,0.341139792848604,1
10,1.7917594692280547,0.341139792848604,1
7,1.6094379124341005,0.30642690912469606,1
2,1.5498260458782016,0.2950771826924092,2
5,1.3862943611198906,0.263941773045785,1
