k,mean_ari,median_ari,std_ari,n_repeats_effective
3,0.9293619460456952,1.0,0.15161607685852088,20
4,0.7187153565310636,0.6931060044477391,0.22639138072533274,20
5,0.8409834434518194,1.0,0.2175002445309023,20
6,0.9727979820207023,1.0,0.056157848630051535,20
7,0.9456526791868628,0.9443580636635172,0.04149771628037231,20
8,0.966547513098752,0.9776258545680547,0.045587225997887365,20
9,0.9713201288472824,0.9878371828719593,0.03719058248489448,20
10,0.937925512794495,0.9083917665686496,0.047351584050717856,20
11,0.9247240430693167,0.9002314810387037,0.047409968396647434,20
12,0.9483354234195177,0.9773606708033825,0.055422277486888015,20
13,0.9007412255520565,0.8991427363241455,0.06561273300436432,20
14,0.7890527031105321,0.8032128514056225,0.12928860856444666,20
15,0.7430252215239453,0.7189193017244432,0.11611058288028167,20
