project_name,total_contributors,active_contributors,participation_rate
plane,123,28,0.2276
playwright,636,20,0.0314
plotly_dash,178,45,0.2528
pm2,315,22,0.0698
pnpm,323,47,0.1455
pocketbase,43,1,0.0233
podman,803,53,0.066
poetry,593,27,0.0455
polars,581,60,0.1033
portainer,245,35,0.1429
postcss,430,15,0.0349
postgres,58,20,0.3448
postgrest,212,17,0.0802
postiz-app,54,11,0.2037
powerlevel10k,304,4,0.0132
preact,357,46,0.1289
prettier,753,51,0.0677
prisma,297,42,0.1414
prometheus,1078,108,0.1002
prophet,183,7,0.0383
protobuf,1258,73,0.058
pulumi,305,80,0.2623
puppeteer,531,34,0.064
pure,76,11,0.1447
puter,275,16,0.0582
pydantic,613,24,0.0392
pyenv,452,13,0.0288
pyscript,124,21,0.1694
python-fire,69,5,0.0725
python-telegram-bot,197,15,0.0761
pytorch-lightning,978,49,0.0501
pytorch_geometric,540,16,0.0296
pytorch_pytorch,4673,410,0.0877
qBittorrent,401,14,0.0349
qinglong,62,4,0.0645
qlib,137,26,0.1898
quasarframework_quasar,753,43,0.0571
query,933,40,0.0429
quivr,120,17,0.1417
qwik,606,64,0.1056
radare2,1022,56,0.0548
rails,5765,149,0.0258
rancher,333,146,0.4384
rapid7_metasploit-framework,1278,127,0.0994
ray-project_ray,1278,192,0.1502
raylib,756,17,0.0225
rclone_rclone,955,29,0.0304
react-admin,665,45,0.0677
react-bootstrap,524,20,0.0382
react-hook-form,350,17,0.0486
react-native-vector-icons,163,8,0.0491
react-native-web,208,6,0.0288
react-native,3532,210,0.0595
react-navigation,318,12,0.0377
react-redux,295,18,0.061
react-router,1164,47,0.0404
react-scan,35,5,0.1429
react-spring,195,19,0.0974
react-testing-library,175,10,0.0571
react-three-fiber,226,19,0.0841
react,1843,93,0.0505
recharts,355,35,0.0986
recommenders,112,31,0.2768
redash,504,62,0.123
redis,803,48,0.0598
redisson,246,14,0.0569
redoc,222,18,0.0811
reduxjs_redux,1032,42,0.0407
refined-github,381,22,0.0577
refinedev_refine,306,24,0.0784
reflex,177,15,0.0847
relay,879,126,0.1433
rembg,75,5,0.0667
remix,733,73,0.0996
remotion-dev_remotion,304,42,0.1382
requests,741,17,0.0229
restic,434,14,0.0323
retrofit,193,20,0.1036
reveal.js,353,12,0.034
rich,275,22,0.08
ripgrep,406,12,0.0296
robertdavidgraham_masscan,71,4,0.0563
rocketmq,618,75,0.1214
rocksdb,977,40,0.0409
rollup,411,33,0.0803
rrweb,133,8,0.0602
ruby,1027,66,0.0643
ruff,657,113,0.172
rufus,182,2,0.011
ruoyi-vue-pro,347,64,0.1844
rust-lang_rust,6734,646,0.0959
rustdesk,376,38,0.1011
saleor,281,82,0.2918
sanic,348,25,0.0718
scikit-learn,3132,48,0.0153
scrapy,625,64,0.1024
scrcpy,156,2,0.0128
screenshot-to-code,26,5,0.1923
searxng_searxng,312,85,0.2724
seaweedfs,423,62,0.1466
semantic-release,244,12,0.0492
sequelize,1180,48,0.0407
serenity,1226,88,0.0718
serve,172,28,0.1628
serverless,1151,110,0.0956
servers,611,70,0.1146
servo_servo,1475,367,0.2488
setup-ipsec-vpn,26,3,0.1154
setup,68,1,0.0147
shadPS4,167,23,0.1377
shadowsocks-android,51,17,0.3333
shap,260,19,0.0731
shardeum,52,28,0.5385
sharp,225,12,0.0533
shellcheck,165,8,0.0485
sherlock,266,92,0.3459
signalapp_Signal-Android,373,70,0.1877
signoz,161,43,0.2671
simdjson,148,5,0.0338
simple-icons,784,210,0.2679
sing-box,87,4,0.046
siyuan,84,17,0.2024
skywalking,483,99,0.205
slate,594,33,0.0556
slick,177,11,0.0621
slidev,293,9,0.0307
slim,72,4,0.0556
slint,194,25,0.1289
smolagents,165,9,0.0545
socket.io,533,67,0.1257
solid,168,13,0.0774
solidity,743,47,0.0633
sops,175,21,0.12
source-code-hunter,38,3,0.0789
spacedrive,115,29,0.2522
spacemacs,1361,6,0.0044
spdlog,421,8,0.019
spleeter,19,5,0.2632
spotube,82,8,0.0976
spring-cloud-alibaba,211,50,0.237
spring-framework,1092,42,0.0385
spring-projects_spring-boot,1375,91,0.0662
sqlitebrowser,190,16,0.0842
sqlmap,142,6,0.0423
srs,125,14,0.112
sst,209,12,0.0574
stanford-oval_storm,26,2,0.0769
starship,595,38,0.0639
stats,165,1,0.0061
statsd,235,10,0.0426
stb,218,1,0.0046
storybookjs_storybook,2179,360,0.1652
strapi_strapi,1074,242,0.2253
streamlit,271,45,0.1661
styled-components,370,54,0.1459
subquery_subql,59,25,0.4237
supabase_supabase,1616,162,0.1002
supervision,114,22,0.193
surrealdb,145,23,0.1586
surya,14,4,0.2857
svelte,815,65,0.0798
svgo,223,12,0.0538
swagger-ui,591,35,0.0592
sway,143,52,0.3636
swc-project_swc,340,51,0.15
sweetalert2,129,12,0.093
swiftlang_swift,1304,193,0.148
swiper,347,11,0.0317
swoole-src,178,23,0.1292
swr,192,12,0.0625
syncthing,355,18,0.0507
tabby,115,17,0.1478
table,465,28,0.0602
tabler-icons,81,9,0.1111
tabler,143,22,0.1538
taichi,235,35,0.1489
tailscale,284,34,0.1197
tailwindcss,309,19,0.0615
taipy,73,22,0.3014
tauri,469,46,0.0981
tdesktop,216,17,0.0787
teable,37,10,0.2703
