project_name,gini_all,gini_active
1Panel,0.9589,0.875
3x-ui,0.878,0.7845
APIJSON,0.9774,0.8842
AdGuardHome,0.932,0.8231
AdminLTE,0.9711,0.8406
Aerial,0.9688,0.7921
AgentGPT,0.9145,0.829
Alamofire,0.9895,0.8164
AnotherRedisDesktopManager,0.973,0.7364
Anuken_Mindustry,0.905,0.8791
Apktool,0.963,0.8558
Apollo-11,0.994,0.6022
AppFlowy-IO_AppFlowy,0.9243,0.8882
ArchiveBox,0.9806,0.9151
Avalonia,0.9726,0.8433
BabylonJS_Babylon.js,0.9713,0.9029
Bend,0.9214,0.716
Bilibili-Evolved,0.9776,0.9065
BitNet,0.8571,0.0
Budibase_budibase,0.9096,0.8463
CasaOS,0.871,0.6952
Catch2,0.9882,0.7659
Chart.js,0.9802,0.8035
Charts,0.9805,0.6706
Chat2DB,0.9094,0.787
ChatTTS,0.9746,0.6447
ChromeAppHeroes,0.7155,0.431
Clash-for-Windows_Chinese,0.419,0.1286
CodeEdit,0.9484,0.7403
ColossalAI,0.9342,0.7586
ComfyUI,0.9814,0.8093
CopilotKit_CopilotKit,0.9411,0.7776
CyberChef,0.9312,0.8743
CymChad_BaseRecyclerViewAdapterHelper,0.8794,0.737
Dapper,0.9877,0.7863
Deep-Live-Cam,0.8868,0.4646
DeepSeek-V3,0.8462,0.0
DeepSpeech,0.9731,0.845
DeepSpeed,0.9682,0.7563
DoKit,0.8896,0.7508
Docker-OSX,0.9468,0.828
Dokploy_dokploy,0.9458,0.8778
Ehviewer_CN_SXJ,0.8427,0.8203
ExplorerPatcher,0.8242,0.5429
FFmpeg,0.9935,0.4778
FastChat,0.9577,0.6979
FastGPT,0.9573,0.8901
Files,0.9718,0.7527
FiraCode,0.976,0.6157
FlClash,0.4924,0.4924
Flowise,0.9402,0.8599
Folo,0.9483,0.8951
FreeTubeApp_FreeTube,0.839,0.8216
GPT-SoVITS,0.9177,0.6372
GSAP,0.3333,0.0
GSYVideoPlayer,0.9525,0.7031
Genesis,0.9135,0.6365
GoogleChrome_lighthouse,0.9564,0.8858
GyulyVGC_sniffnet,0.9671,0.8666
HanLP,0.9772,0.7206
HandBrake,0.9702,0.8175
HikariCP,0.9841,0.9071
HumanSignal_label-studio,0.9337,0.8456
Hyprland,0.9827,0.8091
ILSpy,0.9731,0.7787
IOPaint,0.9432,0.7387
Ice,0.9167,0.0
ImHex,0.9742,0.9012
Infisical_infisical,0.9487,0.8888
Inquirer.js,0.9792,0.9045
Iosevka,0.9808,0.943
Jobs_Applier_AI_Agent_AIHawk,0.8889,0.0
KaTeX,0.9389,0.7572
Karabiner-Elements,0.9705,0.9194
Kingfisher,0.995,0.8308
Kong_insomnia,0.9682,0.8847
LLMs-from-scratch,0.9607,0.7904
LLaMA-Factory,0.9648,0.8394
Langchain-Chatchat,0.958,0.6958
LazyVim,0.9922,0.7254
Leaflet,0.9933,0.8532
LibreChat,0.9622,0.8783
LightRAG,0.9509,0.7484
LocalAI,0.979,0.9305
LunarVim,0.9778,0.7828
MMKV,0.9721,0.8329
MPAndroidChart,0.9645,0.8423
MagicMirror,0.9259,0.8332
Magisk,0.8892,0.8247
MediaCrawler,0.9629,0.4808
MetaGPT,0.897,0.7451
MinerU,0.9388,0.8458
MiniCPM-o,0.9173,0.3385
Mobile-Security-Framework-MobSF,0.9662,0.8868
MoneyPrinterTurbo,0.8914,0.7683
NaiboWang_EasySpider,0.8734,0.4302
NationalSecurityAgency_ghidra,0.9818,0.8315
NativeScript_NativeScript,0.943,0.8283
NervJS_taro,0.9661,0.8555
NewPipe,0.8096,0.7725
NextChat,0.9368,0.7591
NginxProxyManager_nginx-proxy-manager,0.883,0.7939
NvChad,0.9782,0.5247
OCRmyPDF,0.9854,0.8918
OI-wiki,0.9626,0.728
OSX-KVM,0.9107,0.375
OmniParser,0.7619,0.1667
OpenAPI-Specification,0.9404,0.8022
OpenAPITools_openapi-generator,0.9337,0.798
OpenBB-finance_OpenBB,0.9324,0.8256
OpenClash,0.9805,0.8634
OpenHands,0.9418,0.8354
OpenManus,0.8244,0.5948
OpenVoice,0.9286,0.0
PDFMathTranslate,0.9295,0.776
PHPMailer,0.9853,0.8379
PaddleOCR,0.9246,0.7648
Perplexica,0.9512,0.8209
PicGo,0.9437,0.7326
PostHog_posthog,0.9157,0.8103
PowerShell_PowerShell,0.9709,0.856
PowerToys,0.9433,0.7201
PrefectHQ_prefect,0.9483,0.8584
Proton,0.9668,0.3826
QuickLook,0.9783,0.5
Qwen3,0.9462,0.5784
