technology,total_projects,orphaned_count,endangered_count,at_risk_count,orphaned_rate,endangered_rate,at_risk_rate
taplo,12,0,0,0,0.0,0.0,0.0
ruff,28,0,0,0,0.0,0.0,0.0
changesets,54,0,0,0,0.0,0.0,0.0
kodiak,12,0,0,0,0.0,0.0,0.0
readthedocs,77,0,0,0,0.0,0.0,0.0
lefthook,11,0,0,0,0.0,0.0,0.0
firebase,18,0,0,0,0.0,0.0,0.0
cargo-make,11,0,0,0,0.0,0.0,0.0
vcpkg,11,0,0,0,0.0,0.0,0.0
rust,47,0,0,0,0.0,0.0,0.0
flutter,24,0,0,0,0.0,0.0,0.0
stylua,3,0,0,0,0.0,0.0,0.0
bundlemon,2,0,0,0,0.0,0.0,0.0
jazzy,2,0,0,0,0.0,0.0,0.0
streamlit,7,0,0,0,0.0,0.0,0.0
reuse,8,0,0,0,0.0,0.0,0.0
rubocop,19,0,0,0,0.0,0.0,0.0
angular,29,0,0,0,0.0,0.0,0.0
mockery,8,0,0,0,0.0,0.0,0.0
apify,9,0,0,0,0.0,0.0,0.0
jest,12,0,0,0,0.0,0.0,0.0
codebeaver,2,0,0,0,0.0,0.0,0.0
gradle,114,0,0,0,0.0,0.0,0.0
clippy,44,0,0,0,0.0,0.0,0.0
triagebot,4,0,0,0,0.0,0.0,0.0
amplify,3,0,0,0,0.0,0.0,0.0
gocrazy,1,0,0,0,0.0,0.0,0.0
