project_name,total_commits,top_contributor_commits,dominance,num_contributors
nuxt,2867,1715,0.5982,848
nvm,336,222,0.6607,403
nw.js,580,310,0.5345,130
obsproject_obs-studio,2440,639,0.2619,704
oh-my-posh,1319,609,0.4617,443
ohmyzsh,97,44,0.4536,2575
okhttp,1203,431,0.3583,313
ollama_ollama,387,124,0.3204,555
onlook,415,314,0.7566,87
onnx,651,166,0.255,335
open-interpreter,669,526,0.7862,133
open-r1,42,20,0.4762,42
open-webui_open-webui,3445,1876,0.5446,679
openai-python,438,410,0.9361,134
opencv,932,204,0.2189,1982
openjdk_jdk,8897,1843,0.2071,1354
openpilot,1330,475,0.3571,683
openssl,1323,285,0.2154,1218
opentofu,1897,196,0.1033,2076
openui,99,86,0.8687,17
openwrt,538,90,0.1673,1451
openzeppelin-contracts,870,281,0.323,466
osquery,452,119,0.2633,462
outline,2463,1307,0.5307,195
oven-sh_bun,1951,1051,0.5387,830
p5.js,1324,346,0.2613,741
pandas-ai,491,349,0.7108,108
pandas,2114,238,0.1126,3648
pandoc,2037,1740,0.8542,583
paperless-ngx,2646,702,0.2653,389
parcel,1465,435,0.2969,427
parse-server,2533,553,0.2183,342
pathway,266,86,0.3233,30
payloadcms_payload,4428,1390,0.3139,458
pdf.js,4552,1329,0.292,465
peft,201,54,0.2687,235
penpot,1474,799,0.5421,229
phaserjs_phaser,969,777,0.8019,644
phoenix,395,131,0.3316,1329
photoprism_photoprism,3008,2755,0.9159,184
php-src,2604,459,0.1763,1333
phpunit,5437,4913,0.9036,522
pi-hole,786,221,0.2812,243
pingcap_tidb,2166,225,0.1039,920
pingora,101,31,0.3069,68
pipenv,731,238,0.3256,508
pixijs,1322,418,0.3162,540
plane,858,314,0.366,123
playwright,3598,826,0.2296,636
plotly_dash,2500,468,0.1872,178
pm2,1404,1068,0.7607,315
pnpm,5961,4932,0.8274,323
pocketbase,185,181,0.9784,43
podman,3201,992,0.3099,803
poetry,1112,443,0.3984,593
polars,2540,1471,0.5791,581
portainer,903,387,0.4286,245
postcss,1220,1134,0.9295,430
postgres,242,57,0.2355,58
postgrest,780,201,0.2577,212
postiz-app,505,295,0.5842,54
powerlevel10k,45,26,0.5778,304
preact,1444,410,0.2839,357
prettier,5134,1505,0.2931,753
prisma,6786,2019,0.2975,297
prometheus,2733,431,0.1577,1078
prophet,92,36,0.3913,183
protobuf,2412,294,0.1219,1258
pulumi,4782,653,0.1366,305
puppeteer,2694,643,0.2387,531
pure,493,292,0.5923,76
puter,325,184,0.5662,275
pydantic,794,251,0.3161,613
pyenv,158,46,0.2911,452
pyscript,461,210,0.4555,124
python-fire,41,27,0.6585,69
python-telegram-bot,489,128,0.2618,197
pytorch-lightning,1664,730,0.4387,978
pytorch_geometric,594,471,0.7929,540
pytorch_pytorch,9461,645,0.0682,4673
qBittorrent,564,289,0.5124,401
qinglong,481,411,0.8545,62
qlib,313,61,0.1949,137
quasarframework_quasar,4079,3063,0.7509,753
query,1534,881,0.5743,933
quivr,747,469,0.6278,120
qwik,1579,395,0.2502,606
radare2,1324,757,0.5718,1022
rails,2492,387,0.1553,5765
rancher,3442,335,0.0973,333
rapid7_metasploit-framework,4468,2264,0.5067,1278
ray-project_ray,4673,389,0.0832,1278
raylib,582,385,0.6615,756
rclone_rclone,550,354,0.6436,955
react-admin,2282,1097,0.4807,665
react-bootstrap,1521,358,0.2354,524
react-hook-form,1173,1041,0.8875,350
react-native-vector-icons,755,451,0.5974,163
react-native-web,659,604,0.9165,208
react-native,3986,312,0.0783,3532
react-navigation,999,879,0.8799,318
react-redux,553,180,0.3255,295
react-router,3206,638,0.199,1164
react-scan,222,79,0.3559,35
react-spring,1073,454,0.4231,195
react-testing-library,155,64,0.4129,175
react-three-fiber,893,587,0.6573,226
react,3002,364,0.1213,1843
recharts,1398,645,0.4614,355
recommenders,1503,589,0.3919,112
redash,1300,629,0.4838,504
redis,846,308,0.3641,803
redisson,1944,1576,0.8107,246
redoc,1014,756,0.7456,222
reduxjs_redux,714,214,0.2997,1032
refined-github,810,530,0.6543,381
refinedev_refine,3230,1009,0.3124,306
reflex,452,104,0.2301,177
relay,1920,272,0.1417,879
rembg,85,66,0.7765,75
remix,3061,435,0.1421,733
remotion-dev_remotion,5864,5320,0.9072,304
requests,331,102,0.3082,741
