project_name,total_commits,top_contributor_commits,dominance,num_contributors
NextChat,517,185,0.3578,286
NginxProxyManager_nginx-proxy-manager,846,283,0.3345,236
NvChad,36,15,0.4167,196
OCRmyPDF,539,493,0.9147,111
OI-wiki,1303,368,0.2824,1012
OSX-KVM,8,7,0.875,14
OmniParser,12,8,0.6667,7
OpenAPI-Specification,918,216,0.2353,239
OpenAPITools_openapi-generator,6655,2816,0.4231,3300
OpenBB-finance_OpenBB,2282,444,0.1946,253
OpenClash,235,222,0.9447,77
OpenHands,1450,449,0.3097,345
OpenManus,116,24,0.2069,60
OpenVoice,1,1,1.0,14
PDFMathTranslate,270,140,0.5185,54
PHPMailer,334,226,0.6766,287
PaddleOCR,1150,206,0.1791,259
Perplexica,121,112,0.9256,33
PicGo,201,197,0.9801,19
PostHog_posthog,6330,777,0.1227,351
PowerShell_PowerShell,2187,403,0.1843,509
PowerToys,837,131,0.1565,548
PrefectHQ_prefect,5824,856,0.147,364
Proton,23,9,0.3913,93
QuickLook,64,49,0.7656,69
Qwen3,34,22,0.6471,47
Qwen,24,7,0.2917,36
RSSHub,4875,2540,0.521,1391
ReactiveX_RxSwift,219,114,0.5205,406
Real-Time-Voice-Cloning,3,2,0.6667,19
Rectangle,34,28,0.8235,148
RevokeMsgPatcher,91,91,1.0,6
Rocket,682,544,0.7977,310
RustPython,1684,523,0.3106,449
RxJava,442,182,0.4118,323
SDWebImage,179,110,0.6145,325
Sa-Token,551,435,0.7895,128
Scrapegraph-ai,1112,443,0.3984,103
ScreenToGif,14,14,1.0,109
Seal,668,547,0.8189,39
SeleniumHQ_selenium,3506,347,0.099,910
ShareX,205,189,0.922,268
SingleFile,2749,2453,0.8923,49
SmartTube,5282,3541,0.6704,132
SmsForwarder,458,433,0.9454,26
SnapKit,25,13,0.52,89
Sortable,179,105,0.5866,176
SteamTools,609,323,0.5304,22
Stirling-PDF,1787,743,0.4158,253
Sunshine,881,462,0.5244,139
SwiftLint,609,211,0.3465,436
SwiftyJSON,81,35,0.4321,158
SwitchHosts,418,361,0.8636,46
TDengine,4544,1067,0.2348,251
Tasmota,2983,1373,0.4603,551
ToolJet_ToolJet,2552,593,0.2324,637
TrafficMonitor,137,85,0.6204,45
TriliumNext_trilium,7357,3250,0.4418,265
TryGhost_Ghost,14618,4928,0.3371,754
UTM,178,166,0.9326,93
Umi-OCR,49,47,0.9592,18
Ventoy,580,369,0.6362,117
WSL,152,65,0.4276,88
WordPress,258,66,0.2558,122
Wox,577,391,0.6776,135
WxJava,783,503,0.6424,522
XX-Net,310,260,0.8387,78
Xray-core,84,17,0.2024,182
YesPlayMusic,164,68,0.4146,74
ace,844,346,0.41,566
acme.sh,639,486,0.7606,585
act,397,105,0.2645,210
actix-web,1716,738,0.4301,386
actual,728,216,0.2967,335
age,40,31,0.775,54
agenticSeek,130,74,0.5692,34
agentic,733,719,0.9809,141
agno,622,371,0.5965,227
ai-hedge-fund,61,51,0.8361,30
aider,1035,960,0.9275,164
air,124,43,0.3468,103
airbnb_lottie-ios,348,161,0.4626,262
alacritty,706,247,0.3499,454
alpine,461,372,0.8069,294
amark_gun,696,503,0.7227,154
angular-cli,7941,2204,0.2775,745
angular_angular,9311,859,0.0923,2298
anime,57,51,0.8947,56
anki,1026,693,0.6754,313
anoma,108,44,0.4074,17
ansible_ansible,12185,1218,0.1,6061
ant-design-pro,824,416,0.5049,354
ant-design-vue,895,695,0.7765,291
ant-design,6991,2065,0.2954,2381
antlr4,1177,508,0.4316,405
anything-llm,356,266,0.7472,135
apache_airflow,8066,2069,0.2565,3592
apache_echarts,1340,376,0.2806,309
apache_shardingsphere,11341,3249,0.2865,673
apache_spark,5589,691,0.1236,2669
apache_superset,4371,1043,0.2386,1327
apify_crawlee,2096,478,0.2281,110
apollo,908,447,0.4923,191
apollographql_apollo-client,5733,2033,0.3546,867
appium,4105,1620,0.3946,385
appsmithorg_appsmith,6301,1424,0.226,336
argoproj_argo-cd,2914,672,0.2306,1738
arthas,536,410,0.7649,217
asdf,213,87,0.4085,278
aseprite,1536,1309,0.8522,143
atuinsh_atuin,648,259,0.3997,243
autocomplete,1830,1119,0.6115,481
autogen,625,93,0.1488,502
automa,946,803,0.8488,46
ava,782,409,0.523,330
axios,407,76,0.1867,504
axum,521,282,0.5413,377
babel,7281,1890,0.2596,1169
backbone,243,64,0.2634,350
backstage_backstage,15877,3224,0.2031,1946
badges_shields,4695,2477,0.5276,563
bagisto,5439,1787,0.3286,242
baidu_amis,1487,559,0.3759,321
barry-ran_QtScrcpy,125,104,0.832,28
base_node,126,32,0.254,74
bat,731,210,0.2873,395
bazel,778,558,0.7172,1068
bcc,113,21,0.1858,651
beego,315,104,0.3302,510
beekeeper-studio,1907,1045,0.548,155
bettercap,162,138,0.8519,95
bevy,1979,405,0.2046,1236
bilibili-API-collect,34,8,0.2353,209
biome,2703,688,0.2545,526
bitcoin,2237,1126,0.5034,1114
black,438,60,0.137,463
blueprint,1291,615,0.4764,434
bokeh,3417,1366,0.3998,669
bootstrap,3971,868,0.2186,1554
brave-browser,6935,6080,0.8767,104
brew,3422,1241,0.3627,1160
browser-use,961,410,0.4266,221
bruno,802,488,0.6085,345
btop,215,93,0.4326,126
bubbletea,66,13,0.197,137
bulletproof-react,62,57,0.9194,51
caddy,167,64,0.3832,315
cadvisor,507,100,0.1972,357
calcom_cal.com,5045,764,0.1514,811
calculator,199,61,0.3065,105
calibre,2219,1296,0.584,413
canal,646,265,0.4102,243
carbon-lang,309,196,0.6343,156
casbin,117,60,0.5128,155
ccxt_ccxt,29151,15502,0.5318,798
celery,1043,484,0.464,1308
certbot,1733,531,0.3064,516
chakra-ui,2936,1839,0.6264,725
chatgpt-on-wechat,211,100,0.4739,100
chatwoot_chatwoot,2015,581,0.2883,302
cheerio,2585,2157,0.8344,161
cherry-studio,1094,626,0.5722,249
chi,69,49,0.7101,155
chroma,1137,193,0.1697,169
cilium_cilium,8882,1013,0.1141,1123
clash-verge-rev,1022,317,0.3102,103
classnames,230,113,0.4913,54
cli,625,255,0.408,314
cline,772,448,0.5803,175
cloc,421,355,0.8432,134
cloudreve,128,110,0.8594,46
cmder,480,115,0.2396,146
cobalt,1041,855,0.8213,44
cobra,95,21,0.2211,317
coc.nvim,1104,927,0.8397,273
code-server,1295,364,0.2811,256
codemirror5,285,265,0.9298,938
codex,163,89,0.546,116
colima,98,74,0.7551,82
colly,45,22,0.4889,125
commander.js,457,146,0.3195,190
commitlint,1327,605,0.4559,268
compiler-explorer_compiler-explorer,5010,1630,0.3253,560
components,2749,754,0.2743,834
compose-multiplatform,599,112,0.187,161
compose-samples,1127,139,0.1233,132
compose,1027,232,0.2259,219
composer,967,577,0.5967,1171
composio,435,203,0.4667,15
conductor,1102,203,0.1842,339
config,414,414,1.0,2
consul,2221,204,0.0919,1005
containerd,3384,477,0.141,712
continuedev_continue,7395,4051,0.5478,447
core-js,2302,2273,0.9874,138
core,1189,378,0.3179,382
coreutils,4353,1246,0.2862,671
cosmopolitan,49,33,0.6735,92
cpython,920,77,0.0837,3072
crawl4ai,154,137,0.8896,37
create-t3-app,488,157,0.3217,351
crewAI,582,274,0.4708,249
croc,197,152,0.7716,115
crystal,612,225,0.3676,539
cube,3424,1075,0.314,334
curl,1434,486,0.3389,1380
cursor-free-vip,184,144,0.7826,46
cypress-io_cypress,8354,3373,0.4038,503
czkawka,226,205,0.9071,70
d2,1830,1098,0.6,65
daisyui,733,665,0.9072,276
dapr,1882,271,0.144,306
darkreader,1133,565,0.4987,1551
dashy,1081,900,0.8326,182
dayjs,190,160,0.8421,340
daytona,414,84,0.2029,192
dbeaver_dbeaver,8735,5656,0.6475,402
ddia,10,7,0.7,113
decaporg_decap-cms,1650,444,0.2691,578
deepface,126,102,0.8095,87
delta,358,191,0.5335,145
delve,112,45,0.4018,245
deno,3943,708,0.1796,1035
deskflow,610,205,0.3361,126
deskreen,141,109,0.773,24
desktop,1617,1514,0.9363,145
detectron2,206,121,0.5874,263
dev-sidecar,226,127,0.5619,11
devdocs,798,381,0.4774,261
devise,273,63,0.2308,689
dgraph,1144,195,0.1705,215
dgtlmoon_changedetection.io,297,228,0.7677,109
diagrams,149,84,0.5638,167
diff-so-fancy,119,48,0.4034,89
diffusers,576,124,0.2153,935
dimsemenov_PhotoSwipe,165,105,0.6364,79
dioxus,2322,1206,0.5194,351
directus_directus,6144,3207,0.522,494
discord.js,1868,607,0.3249,522
disruptor,213,69,0.3239,73
distroless,1278,544,0.4257,143
dive,105,79,0.7524,69
django-rest-framework,850,341,0.4012,1347
django,890,96,0.1079,2925
docker-elk,284,149,0.5246,69
dockge,272,92,0.3382,94
docling,331,107,0.3233,99
docs,300,140,0.4667,46
docsify,699,318,0.4549,195
docusaurus,1932,449,0.2324,1203
dokku,2302,1494,0.649,556
dolt,2438,530,0.2174,135
doomemacs,130,117,0.9,775
dotenv,273,194,0.7106,94
