project_name,num_config_contributors,num_total_contributors,total_commits,top1_share,top3_share,top5_share
1Panel,25,78,699,49.64234620886982,93.56223175965665,96.137339055794
3x-ui,63,112,411,52.06812652068127,66.18004866180048,74.20924574209246
APIJSON,15,81,297,93.93939393939394,95.62289562289563,96.63299663299664
AdGuardHome,40,104,1145,27.59825327510917,60.174672489082965,79.56331877729258
AdminLTE,19,114,467,39.186295503211994,80.9421841541756,95.07494646680945
