resolution,n_clusters,silhouette_score,modularity,stability_mean,stability_std
1.0,5,-1.0,0.21295060476409985,0.7996113255536895,0.11785094188803552
1.2,9,-1.0,0.1999035438940765,0.7858497697622335,0.0391155347557942
1.5,16,-1.0,0.16495803485443877,0.7681523786852849,0.0798127217516568
1.8,31,-1.0,0.1361836012418964,0.7621547498746333,0.06852339359351682
2.0,45,-1.0,0.12635190482580302,0.7419810796873489,0.06331853778043149
2.5,93,-1.0,0.10069065295159126,0.8089695520860397,0.06098975570243529
