project,ecosystem
calcom_cal.com,-1
kubernetes_kubernetes,13
Stirling-PDF,-1
serenity,42
unleashed-firmware,-1
gpt_academic,49
fullPage.js,-1
v86,-1
vllm,15
ionicons,46
guidance,-1
rust-lang_rust,-1
react-scan,51
mantine,15
baidu_amis,27
ToolJet_ToolJet,-1
dubbo,29
laurent22_joplin,-1
srs,-1
OpenHands,-1
nginx,-1
darkreader,50
ava,50
photoprism_photoprism,-1
spacemacs,15
bubbletea,19
just,41
discord.js,-1
Tasmota,3
unionlabs_union,-1
chi,0
remix,27
Anuken_Mindustry,-1
hutool,15
go-zero,-1
marked,42
firefly-iii,15
v,22
dgtlmoon_changedetection.io,42
fuel-core,-1
CopilotKit_CopilotKit,24
distroless,15
whisper,48
flux,17
vitess,12
express,-1
HanLP,21
code-server,27
homebridge,-1
docling,15
jhipster_generator-jhipster,-1
decaporg_decap-cms,13
trufflehog,15
weui,-1
x64dbg,3
Hyprland,0
yt-dlp,47
appium,15
elixir,0
kuboard-press,12
NginxProxyManager_nginx-proxy-manager,27
zed-industries_zed,-1
nocodb_nocodb,-1
nginx-proxy,15
MediaCrawler,9
sweetalert2,15
go,27
k3s,15
Ehviewer_CN_SXJ,-1
mem0,15
Alamofire,-1
cloudreve,15
ComfyUI,44
openjdk_jdk,21
nanoid,-1
graphql-js,11
egui,11
deno,15
lutzroeder_netron,15
redisson,29
gkd,40
js-cookie,-1
pytorch-lightning,47
starship,15
testify,0
wekan_wekan,15
badges_shields,15
polars,27
localstack,47
mpv,44
kit,51
terraform,15
pingora,42
guava,15
cadvisor,15
opentofu,11
autocomplete,-1
react-native-web,23
HikariCP,-1
flask,42
obsproject_obs-studio,3
kivy,9
jsoncrack.com,37
DoKit,28
vectordotdev_vector,-1
tinygrad,-1
tmux,15
nowinandroid,-1
backbone,-1
graphql,-1
KaTeX,42
Langchain-Chatchat,-1
vulhub,-1
gradle,15
PostHog_posthog,-1
YesPlayMusic,53
bitcoin,3
argoproj_argo-cd,-1
jumpserver,3
redoc,15
dayjs,-1
flink,-1
gravitational_teleport,9
servers,-1
Budibase_budibase,-1
aider,15
FastGPT,-1
uv,26
diffusers,15
rembg,42
helm,20
tesseract.js,15
framework,-1
tabby,-1
curl,-1
acme.sh,22
uni-app,55
excalidraw,27
delta,15
quasarframework_quasar,33
vite,-1
kubernetes_minikube,11
trpc,26
xxl-job,29
sway,24
poetry,44
python-telegram-bot,47
validator.js,-1
microsoft_semantic-kernel,-1
v8,50
koa,15
relay,15
black,44
hosts,45
yoga,33
fyne,15
glide,-1
refinedev_refine,15
meilisearch,42
highlight.js,42
teable,15
Files,15
k9s,15
Apollo-11,-1
apollo,29
amark_gun,42
hackathon-starter,53
agentic,55
pulumi,15
grpc_grpc,5
timqian_chinese-independent-blogs,23
diagrams,44
focalboard,15
mypy,44
vscodium,15
LightRAG,27
pytorch_pytorch,13
neon,-1
TriliumNext_trilium,15
gitui,27
RxJava,5
logseq,15
pyenv,22
uppy,13
SteamTools,15
pocketbase,15
IOPaint,50
AppFlowy-IO_AppFlowy,15
open-webui_open-webui,28
pixijs,53
laravel,23
mybatis-3,-1
django,44
xterm.js,37
openai-python,42
diff-so-fancy,15
Real-Time-Voice-Cloning,17
etcher,50
phaserjs_phaser,42
twenty,15
facefusion,-1
pdf.js,42
bootstrap,29
wezterm,15
Mobile-Security-Framework-MobSF,15
huginn,49
redash,37
eleventy,46
simple-icons,9
drawio-desktop,-1
node-red,15
devdocs,-1
lazygit,13
memos,13
yfinance,15
react-redux,15
commander.js,50
bat,41
numpy,9
RSSHub,26
iTerm2-Color-Schemes,15
core-js,23
getsentry_sentry,26
SmartTube,40
winutil,0
barry-ran_QtScrcpy,0
pure,23
helix,41
Kingfisher,0
sops,15
TDengine,9
matomo-org_matomo,-1
uptime-kuma,53
electron_electron,-1
Sortable,-1
GSYVideoPlayer,-1
react-bootstrap,52
FastChat,-1
dapr,11
flatbuffers,15
pipenv,44
peft,47
openzeppelin-contracts,8
payloadcms_payload,-1
ladybird,15
seaweedfs,5
cpython,15
MiniCPM-o,15
bazel,5
excelize,0
chroma,13
calibre,44
netdata_netdata,-1
electron-react-boilerplate,54
eruda,-1
delve,4
timescaledb,15
livewire,15
okhttp,29
docsify,13
supabase_supabase,-1
alacritty,41
cube,8
terminal,-1
langchain,29
tree-sitter_tree-sitter,-1
vanna,44
GoogleChrome_lighthouse,52
penpot,-1
cobalt,-1
HandBrake,0
Wox,15
localsend,31
glances,27
Sa-Token,29
lede,0
siyuan,53
smolagents,48
firecrawl,25
Genesis,47
tailwindcss,15
directus_directus,-1
anime,-1
bcc,15
automa,52
fiber,15
OpenClash,0
colly,15
ace,15
nlohmann_json,15
brave-browser,15
SeleniumHQ_selenium,5
ws,-1
goaccess,15
onlook,-1
dev-sidecar,-1
skywalking,29
Kong_insomnia,-1
SingleFile,23
ripgrep,41
oven-sh_bun,29
xbmc,15
rclone_rclone,8
manim,15
eslint,15
statsd,53
refined-github,50
FreeTubeApp_FreeTube,15
leetcode,45
react-spring,29
invoke-ai_InvokeAI,-1
Inquirer.js,15
godot,30
wg-easy,-1
AgentGPT,38
scrcpy,40
vagrant,-1
cypress-io_cypress,-1
leptos,-1
zellij-org_zellij,15
fish-shell,15
gatsbyjs_gatsby,30
taipy,37
mall,30
alpine,15
tornado,30
opencv,30
prophet,15
asdf,0
MetaGPT,-1
joi,23
hugo,-1
faceswap,-1
vue2-elm,23
Chat2DB,-1
ray-project_ray,-1
intro.js,50
Magisk,-1
raylib,15
daytona,8
MPAndroidChart,-1
youtube-music,52
RustPython,-1
fastai,8
theia,30
APIJSON,29
servo_servo,11
crystal,-1
github-readme-stats,15
fastapi,48
recharts,50
svelte,51
next-auth,-1
jadx,31
trivy,11
