project,ecosystem
stanford-oval_storm,1
dolt,3
surrealdb,2
grpc-go,0
ansible_ansible,1
d2,3
iina,2
gum,0
3x-ui,3
juspay_hyperswitch,2
pandoc,2
stb,0
Qwen3,1
vim,0
k6,0
lux,0
homebrew-cask,3
v2ray-core,0
text-generation-webui,3
air,0
ColossalAI,3
PaddleOCR,1
facebook_hhvm,2
crawl4ai,3
echo,0
simdjson,3
deepface,3
mindsdb,1
vaultwarden,2
coreutils,2
RevokeMsgPatcher,0
generative-models,1
solidity,3
koreader,0
youtube-dl,1
LazyVim,2
anything-llm,3
netty,3
detectron2,3
Catch2,0
cloc,3
julia,0
glow,0
langflow-ai_langflow,1
fx,3
insightface,1
screenshot-to-code,1
gpt-researcher,1
qlib,1
oh-my-posh,0
folly,3
XX-Net,1
Dapper,0
kotaemon,1
OCRmyPDF,1
bettercap,3
serve,1
unsloth,1
valkey,0
wiki,3
ruff,2
ml-agents,3
libuv,1
protobuf,3
BerriAI_litellm,1
OpenBB-finance_OpenBB,1
dokku,0
tokio,2
WxJava,3
SDWebImage,0
