cluster_id,num_projects,top_technologies
-1,221,npm:163; docker:126; tsconfig:115; vscode:89; docker-compose:66; devcontainer:61; pnpm:49; eslint:46; poetry:43; cargo:41
0,37,
1,6,appveyor:2; codecov:2; devcontainer:2; cirrus:2; cmake:1; lerna:1; typos:1; travis:1; readthedocs:1; kubernetes:1
2,6,readthedocs:2; appveyor:1; snapscraft:1; docker-compose:1; npm:1; mkdocs:1; streamlit:1; pre-commit:1; crowdin:1; typos:1
3,22,cmake:6; cirrus:5; codecov:5; travis:5; vcpkg:4; npm:4; ansible-playbook:4; jekyll:4; docker:4; appveyor:3
4,5,npm:3; maven:2; tsconfig:2; prettier:2; jekyll:2; cargo-make:2; rustfmt:2; cargo:2; devcontainer:2; docker:2
5,14,docker:5; npm:5; maven:4; cargo:4; tox:4; poetry:4; readthedocs:3; circleci:3; rubocop:2; gitpod:2
6,6,mkdocs:2; npm:2; docker:2; netlify:1; tsconfig:1; circleci:1; renovate:1; eslint:1; travis:1; jekyll:1
7,5,goreleaser:2; mkdocs:2; poetry:2; typos:1; rubocop:1; docker:1; renovate:1; golangci-lint:1; swagger:1; buf:1
8,12,npm:8; tsconfig:7; docker:7; devcontainer:6; cargo:5; vscode:5; poetry:4; yarn:4; codecov:3; renovate:3
9,6,npm:3; poetry:3; docker:3; devcontainer:3; codecov:2; mypy:1; django:1; renovate:1; readthedocs:1; kubernetes:1
10,5,poetry:3; npm:3; mypy:2; docker:2; rustfmt:2; cargo:2; cspell:2; django:1; nginx:1; readthedocs:1
11,11,docker:7; codecov:5; npm:5; golangci-lint:4; vscode:3; devcontainer:3; helm:3; vercel:2; tsconfig:2; cargo:2
12,6,docker:5; npm:3; golangci-lint:3; tsconfig:2; vscode:2; codecov:2; maven:2; kubernetes:2; nginx:2; taplo:1
13,14,docker:12; renovate:8; vscode:8; golangci-lint:8; travis:7; goreleaser:7; appveyor:7; codecov:7; swagger:6; deepsource:6
14,7,npm:6; docker:6; tsconfig:5; codecov:3; golangci-lint:2; yarn:2; fuel:2; devcontainer:2; eslint:2; pnpm:2
15,154,npm:63; docker:59; tsconfig:35; vscode:33; codecov:29; poetry:24; docker-compose:22; cargo:17; pre-commit:16; golangci-lint:15
16,32,docker:16; npm:16; tsconfig:11; poetry:9; codecov:9; vscode:8; readthedocs:7; pnpm:7; cargo:6; kubernetes:5
17,8,poetry:8
18,9,appveyor:5; codecov:2; pre-commit:2; poetry:2; travis:1; npm:1; tsconfig:1; eslint:1; android:1; azure pipelines:1
19,13,golangci-lint:12; goreleaser:11; docker:9; codecov:3; travis:1; jekyll:1; mkdocs:1; renovate:1; pre-commit:1
20,7,golangci-lint:7
21,19,npm:7; vscode:7; docker:6; tsconfig:6; maven:5; eslint:4; codecov:3; prettier:3; vercel:3; cargo:3
22,9,docker:9
23,24,npm:24
24,6,npm:5; tsconfig:5; pnpm:5; docker:5; vscode:4; devcontainer:4; poetry:3; codecov:3; renovate:3; django:2
25,6,npm:6; tsconfig:6; docker:6; vscode:5; devcontainer:3; nginx:3; docker-compose:3; poetry:3; cargo:2; pnpm:2
26,14,npm:12; docker:12; tsconfig:11; docker-compose:8; pnpm:8; vscode:7; devcontainer:5; codecov:5; vercel:4; poetry:3
27,23,npm:21; tsconfig:20; docker:16; docker-compose:12; vscode:9; eslint:7; cargo:6; poetry:4; pnpm:4; lerna:4
28,8,npm:7; tsconfig:5; poetry:3; gradle:3; gradle-wrapper:3; pre-commit:2; android:2; pnpm:2; lerna:2; jekyll:1
29,13,maven:8; spring:8; docker:6; npm:4; maven-wrapper:3; tsconfig:3; vscode:3; devcontainer:2; renovate:2; codecov:1
30,19,npm:11; docker:11; poetry:7; pre-commit:7; tsconfig:7; docker-compose:5; vscode:5; eslint:4; gradle:3; gradle-wrapper:3
31,6,gradle:6; gradle-wrapper:6; android:4; circleci:2; travis:2; npm:2; devcontainer:1; flutter:1; rust:1; jitpack:1
32,11,npm:8; tsconfig:7; poetry:5; pre-commit:4; eslint:4; docker:4; mkdocs:3; vscode:3; yarn:3; readthedocs:2
33,5,gradle:5; gradle-wrapper:5; android:5; npm:4; tsconfig:4; vscode:2; docker:2; readthedocs:1; pnpm:1; prettier:1
34,5,poetry:3; npm:3; tsconfig:3; docker:3; eslint:2; vscode:2; jekyll:2; netlify:1; pre-commit:1; docker-compose:1
35,12,npm:10; docker:8; tsconfig:6; pnpm:3; devcontainer:2; rustfmt:2; cargo:2; eslint:2; prettier:2; pre-commit:2
36,5,gradle:5; gradle-wrapper:5; android:4; flutter:2; vscode:2; npm:2; tsconfig:2; cargo:1; firebase:1; poetry:1
37,18,npm:17; tsconfig:16; docker:11; vscode:8; devcontainer:7; docker-compose:6; pnpm:6; poetry:5; changesets:4; eslint:4
38,27,npm:20; docker:16; tsconfig:13; poetry:9; pre-commit:8; vscode:8; docker-compose:7; django:4; devcontainer:4; pnpm:4
39,5,gradle-wrapper:5; gradle:5; android:5; docker:5; jekyll:1; flutter:1
40,7,android:7; gradle:7; gradle-wrapper:7
41,15,rustfmt:9; cargo:9; npm:5; codecov:4; tsconfig:4; devcontainer:3; docker:3; cross:2; docker-compose:2; cspell:2
42,19,npm:11; docker:11; tsconfig:10; devcontainer:7; poetry:5; vscode:3; readthedocs:3; codecov:3; pre-commit:3; eslint:2
43,9,npm:9; tsconfig:5; babel:3; pnpm:3; eslint:3; renovate:2; vscode:2; docker:2; vercel:2; apify:1
44,22,poetry:20; pre-commit:16; readthedocs:8; tox:7; django:6; docker:6; npm:5; codecov:2; tsconfig:2; changesets:2
45,12,npm:11; docker:7; bower:3; tsconfig:3; vscode:1; markdownlint:1; turborepo:1; changesets:1; pnpm:1; prettier:1
46,6,npm:6; tsconfig:6; prettier:5; changesets:1; eslint:1
47,17,poetry:17; pre-commit:16; docker:16; docker-compose:7; readthedocs:4; codecov:4; devcontainer:2; npm:1; codebeaver:1; ansible-playbook:1
48,6,poetry:6; pre-commit:6
49,7,docker-compose:7; docker:7
50,22,npm:20; tsconfig:20; docker-compose:2; docker:2; streamlit:1; codecov:1
51,7,npm:7; tsconfig:7; pnpm:6; vscode:5; changesets:4; netlify:1; gitpod:1; eslint:1; renovate:1; knip:1
52,19,npm:19; tsconfig:17; vercel:5; codecov:5; pnpm:4; docker:4; vscode:3; renovate:2; yarn:2; ansible-playbook:2
53,7,npm:7; docker:6; docker-compose:5; tsconfig:3; tsdoc:1; vscode:1; pnpm:1
54,9,npm:9; tsconfig:9; vscode:7; docker:2; eslint:2; postcss:1
55,11,npm:11; tsconfig:11; vscode:11; pnpm:10; turborepo:4; changesets:3; apify:2; netlify:1
56,7,npm:7; pnpm:7; tsconfig:6; vscode:1; ansible-playbook:1
