File Path,Option,Concept,Values,Changed internally,Removed
.travis.yml,services,travis,['docker'],0,False
.travis.yml,sudo,travis,['required'],0,False
Dockerfile,ADD,docker,['target/ROOT.war /usr/local/tomcat/webapps/ROOT.war'],0,True
Dockerfile,EXPOSE,docker,['8080'],0,True
Dockerfile,FROM,docker,['tomcat:8.0'],0,True
Dockerfile,RUN,docker,['rm -rf /usr/local/tomcat/webapps/ROOT'],0,True
Dockerfile,WORKDIR,docker,['/usr/local/tomcat/'],0,True
account-service/.mvn/wrapper/maven-wrapper.properties,distributionurl,configparser,['https://repo1.maven.org/maven2/org/apache/maven/apache-maven/3.3.3/apache-maven-3.3.3-bin.zip'],0,True
account-service/Dockerfile,ADD,docker,['./target/account-service.jar /app/'],0,False
account-service/Dockerfile,CMD,docker,"['java -Xmx200m -jar /app/account-service.jar', 'java -jar /app/account-service.jar']",1,False
account-service/Dockerfile,EXPOSE,docker,"['6000', '7000', '8080']",2,False
account-service/Dockerfile,FROM,docker,['java:8-jre'],0,False
account-service/pom.xml,ExecutableName,maven,['target/account-service-1.0-SNAPSHOT.jar'],0,False
account-service/pom.xml,ExecutableNameNoVersion,maven,['target/account-service.jar'],0,False
account-service/pom.xml,project.artifactId,maven,['account-service'],0,False
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin.artifactId,maven,['jacoco-maven-plugin'],0,True
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin.groupId,maven,['org.jacoco'],0,True
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.5.201505241946.artifactId,maven,['jacoco-maven-plugin'],0,True
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.5.201505241946.executions.execution.id,maven,['report'],0,True
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.5.201505241946.executions.execution.phase,maven,['test'],0,True
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.5.201505241946.groupId,maven,['org.jacoco'],0,True
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.5.201505241946.version,maven,['0.7.5.201505241946'],0,True
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.6.201602180812.artifactId,maven,['jacoco-maven-plugin'],0,False
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.6.201602180812.executions.execution.id,maven,['report'],0,False
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.6.201602180812.executions.execution.phase,maven,['test'],0,False
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.6.201602180812.groupId,maven,['org.jacoco'],0,False
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.6.201602180812.version,maven,['0.7.6.201602180812'],0,False
account-service/pom.xml,project.build.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin.artifactId,maven,['spring-boot-maven-plugin'],0,False
account-service/pom.xml,project.build.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin.configuration.finalName,maven,['account-service'],0,False
account-service/pom.xml,project.build.plugins.plugin.org.springframework.boot:spring-boot-maven-plugin.groupId,maven,['org.springframework.boot'],0,False
account-service/pom.xml,project.dependencies.dependency.com.jayway.jsonpath:json-path:2.1.0.artifactId,maven,['json-path'],0,True
account-service/pom.xml,project.dependencies.dependency.com.jayway.jsonpath:json-path:2.1.0.groupId,maven,['com.jayway.jsonpath'],0,True
account-service/pom.xml,project.dependencies.dependency.com.jayway.jsonpath:json-path:2.1.0.scope,maven,['test'],0,True
account-service/pom.xml,project.dependencies.dependency.com.jayway.jsonpath:json-path:2.1.0.version,maven,['2.1.0'],0,True
account-service/pom.xml,project.dependencies.dependency.com.jayway.jsonpath:json-path:2.2.0.artifactId,maven,['json-path'],0,False
account-service/pom.xml,project.dependencies.dependency.com.jayway.jsonpath:json-path:2.2.0.groupId,maven,['com.jayway.jsonpath'],0,False
account-service/pom.xml,project.dependencies.dependency.com.jayway.jsonpath:json-path:2.2.0.scope,maven,['test'],0,False
account-service/pom.xml,project.dependencies.dependency.com.jayway.jsonpath:json-path:2.2.0.version,maven,['2.2.0'],0,False
account-service/pom.xml,project.dependencies.dependency.de.flapdoodle.embed:de.flapdoodle.embed.mongo:1.50.2.artifactId,maven,['de.flapdoodle.embed.mongo'],0,True
account-service/pom.xml,project.dependencies.dependency.de.flapdoodle.embed:de.flapdoodle.embed.mongo:1.50.2.groupId,maven,['de.flapdoodle.embed'],0,True
account-service/pom.xml,project.dependencies.dependency.de.flapdoodle.embed:de.flapdoodle.embed.mongo:1.50.2.scope,maven,['test'],0,True
account-service/pom.xml,project.dependencies.dependency.de.flapdoodle.embed:de.flapdoodle.embed.mongo:1.50.2.version,maven,['1.50.2'],0,True
account-service/pom.xml,project.dependencies.dependency.de.flapdoodle.embed:de.flapdoodle.embed.mongo:1.50.3.artifactId,maven,['de.flapdoodle.embed.mongo'],0,False
account-service/pom.xml,project.dependencies.dependency.de.flapdoodle.embed:de.flapdoodle.embed.mongo:1.50.3.groupId,maven,['de.flapdoodle.embed'],0,False
account-service/pom.xml,project.dependencies.dependency.de.flapdoodle.embed:de.flapdoodle.embed.mongo:1.50.3.scope,maven,['test'],0,False
account-service/pom.xml,project.dependencies.dependency.de.flapdoodle.embed:de.flapdoodle.embed.mongo:1.50.3.version,maven,['1.50.3'],0,False
account-service/pom.xml,project.dependencies.dependency.org.mongodb:mongo-java-driver:${mongodb-driver.version}.artifactId,maven,['mongo-java-driver'],0,True
account-service/pom.xml,project.dependencies.dependency.org.mongodb:mongo-java-driver:${mongodb-driver.version}.groupId,maven,['org.mongodb'],0,True
account-service/pom.xml,project.dependencies.dependency.org.mongodb:mongo-java-driver:${mongodb-driver.version}.version,maven,['${mongodb-driver.version}'],0,True
account-service/pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-actuator.artifactId,maven,['spring-boot-starter-actuator'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-actuator.groupId,maven,['org.springframework.boot'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-mongodb.artifactId,maven,['spring-boot-starter-data-mongodb'],0,False
account-service/pom.xml,project.dependencies.dependency.org.springframework.boot:spring-boot-starter-data-mongodb.groupId,maven,['org.springframework.boot'],0,False
