project,technologies
tensorflow,"['android', 'dependabot', 'docker', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'jekyll']"
gradio,"['changesets', 'devcontainer', 'github issues', 'github-action', 'npm', 'pnpm', 'poetry', 'prettier', 'renovate', 'tsconfig', 'vercel', 'vscode']"
antlr4,"['cmake', 'docker', 'eslint', 'flutter', 'github-action', 'maven', 'npm', 'poetry', 'tsconfig']"
vnpy,"['github-action', 'poetry']"
phoenix,"['babel', 'dependabot', 'github issues', 'github-action', 'npm', 'tsconfig']"
stats,"['github funding', 'github-action', 'swiftlint']"
vant,"['ansible-playbook', 'github', 'github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'tsconfig']"
actual,"['babel', 'devcontainer', 'docker', 'docker-compose', 'fuel', 'github funding', 'github issues', 'github-action', 'npm', 'prettier', 'tsconfig', 'yarn']"
ImHex,"['cmake', 'codecov', 'docker', 'github funding', 'github issues', 'github-action', 'vcpkg']"
netbox,"['django', 'github issues', 'github-action', 'mkdocs', 'nginx', 'npm', 'poetry', 'pre-commit', 'readthedocs', 'ruff', 'tsconfig']"
mifi_lossless-cut,"['github funding', 'github issues', 'github-action', 'jekyll', 'npm', 'tsconfig', 'vscode', 'yarn']"
pnpm,"['changesets', 'cspell', 'dependabot', 'github config', 'github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'renovate', 'tsconfig']"
yolov5,"['dependabot', 'docker', 'github issues', 'github-action', 'poetry']"
Docker-OSX,"['docker', 'docker-compose', 'github funding', 'github-action', 'helm', 'kubernetes']"
NervJS_taro,"['babel', 'cargo', 'codecov', 'dependabot', 'github', 'github issues', 'github-action', 'npm', 'pnpm', 'rustfmt', 'tsconfig', 'vscode']"
act,"['codecov', 'dependabot', 'docker', 'github funding', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'markdownlint', 'prettier', 'vscode']"
AdminLTE,"['dependabot', 'eslint', 'github funding', 'github-action', 'gitpod', 'npm', 'stylelint', 'tsconfig']"
swagger-ui,"['dependabot', 'docker', 'github', 'github-action', 'npm', 'prettier', 'snapscraft']"
uikit,"['circleci', 'dependabot', 'github funding', 'npm', 'pnpm', 'prettier']"
jan,"['cargo', 'dependabot', 'devcontainer', 'github', 'github issues', 'github-action', 'npm', 'tsconfig', 'vscode', 'yarn']"
jquery_jquery,"['dependabot', 'github-action', 'npm']"
openpilot,"['codecov', 'django', 'github', 'github issues', 'github-action', 'mkdocs', 'poetry', 'vscode']"
harness,"['docker', 'eslint', 'github-action', 'golangci-lint', 'helm', 'kubernetes', 'npm', 'prettier', 'swagger', 'tsconfig', 'vscode']"
OpenAPITools_openapi-generator,"['android', 'angular', 'appveyor', 'cargo', 'chart testing', 'circleci', 'dependabot', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'eslint', 'flutter', 'github', 'github funding', 'github-action', 'gitpod', 'gradle', 'gradle-wrapper', 'maven', 'maven-wrapper', 'npm', 'poetry', 'rubocop', 'spring', 'swagger', 'tox', 'travis', 'tsconfig']"
kafka,"['docker', 'docker-compose', 'github-action', 'gradle', 'gradle-wrapper', 'kafka', 'maven']"
rocksdb,"['docker', 'github-action', 'maven']"
jsdom,"['github issues', 'github-action', 'npm']"
cli,"['codecov', 'dependabot', 'github-action', 'golangci-lint', 'mkdocs']"
element-plus,"['circleci', 'codecov', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'gitpod', 'markdownlint', 'npm', 'pnpm', 'tsconfig', 'vscode']"
sqlitebrowser,"['dependabot', 'github funding', 'github issues', 'github-action', 'snapscraft']"
windows95,"['docker', 'github-action', 'npm', 'tsconfig']"
neovim,"['cirrus', 'cmake', 'dependabot', 'github funding', 'github issues', 'github-action', 'stylua']"
rancher,"['docker', 'github', 'github-action', 'golangci-lint', 'helm', 'kubernetes', 'renovate']"
angular-cli,"['apify', 'dependabot', 'github', 'github issues', 'github-action', 'npm', 'pnpm', 'renovate', 'tsconfig']"
honojs_hono,"['codecov', 'deno', 'devcontainer', 'docker', 'docker-compose', 'github funding', 'github issues', 'github-action', 'gitpod', 'npm', 'tsconfig', 'vscode']"
webtorrent,"['github', 'github config', 'github-action', 'npm']"
apache_airflow,"['codecov', 'dependabot', 'devcontainer', 'django', 'docker', 'docker compose', 'docker-compose', 'github', 'github issues', 'github-action', 'gitpod', 'helm', 'kubernetes', 'markdownlint', 'npm', 'pnpm', 'poetry', 'pre-commit', 'readthedocs', 'tsconfig']"
prometheus,"['buf', 'circleci', 'dependabot', 'docker', 'eslint', 'github issues', 'github-action', 'gitpod', 'golangci-lint', 'npm', 'prometheus', 'tsconfig']"
telescope.nvim,"['github funding', 'github issues', 'github-action', 'stylua']"
freqtrade,"['dependabot', 'devcontainer', 'django', 'docker', 'docker-compose', 'github funding', 'github issues', 'github-action', 'mkdocs', 'poetry', 'pre-commit', 'readthedocs', 'vscode']"
Rectangle,"['github', 'github-action']"
slint,"['cargo', 'clippy', 'cross', 'cspell', 'dependabot', 'github', 'github issues', 'github-action', 'npm', 'pnpm', 'poetry', 'reuse', 'rust', 'rustfmt', 'taplo', 'tsconfig', 'vscode', 'yarn']"
draggable,"['changesets', 'dependabot', 'github', 'github-action', 'npm', 'tsconfig', 'vscode']"
kong,"['cargo', 'dependabot', 'devcontainer', 'docker', 'docker-compose', 'github', 'github issues', 'github-action', 'prometheus']"
saleor,"['dependabot', 'devcontainer', 'django', 'docker', 'docker-compose', 'github', 'github issues', 'github-action', 'npm', 'poetry', 'pre-commit', 'vscode']"
coc.nvim,"['codecov', 'github funding', 'github-action', 'npm', 'tsconfig']"
pydantic,"['dependabot', 'django', 'github', 'github funding', 'github issues', 'github-action', 'markdownlint', 'mkdocs', 'poetry', 'pre-commit']"
mjml,"['github-action', 'lerna', 'npm']"
bruno,"['dependabot', 'github issues', 'github-action', 'npm', 'prettier', 'tsconfig']"
mkdocs-material,"['dependabot', 'devcontainer', 'docker', 'github funding', 'github issues', 'github-action', 'mkdocs', 'npm', 'poetry', 'tsconfig', 'vscode']"
zig,"['github funding', 'github issues', 'github-action']"
dashy,"['ansible-playbook', 'dependabot', 'devcontainer', 'docker', 'docker-compose', 'github', 'github funding', 'github issues', 'github-action', 'gitpod', 'netlify', 'nginx', 'npm', 'tsconfig', 'vscode', 'yarn']"
outline,"['crowdin', 'dependabot', 'docker', 'docker-compose', 'github', 'github config', 'github funding', 'github issues', 'github-action', 'npm', 'tsconfig', 'vscode']"
gitleaks,"['docker', 'github funding', 'github-action', 'golangci-lint', 'goreleaser', 'pre-commit']"
Jobs_Applier_AI_Agent_AIHawk,"['github funding', 'github issues', 'github-action']"
gson,"['dependabot', 'github issues', 'github-action', 'maven']"
mlc-llm,"['android', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'jekyll', 'poetry', 'pre-commit']"
moby_moby,"['appveyor', 'azure pipelines', 'cirrus', 'codecov', 'deepsource', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'markdownlint', 'netlify', 'renovate', 'swagger', 'travis']"
docusaurus,"['cspell', 'dependabot', 'devcontainer', 'github funding', 'github issues', 'github-action', 'gitpod', 'lerna', 'netlify', 'npm', 'tsconfig', 'vscode']"
void,"['cargo', 'devcontainer', 'docker', 'github issues', 'github-action', 'npm', 'rustfmt', 'snapscraft', 'tsconfig', 'vscode']"
streamlit,"['dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'mypy', 'npm', 'pre-commit', 'ruff', 'streamlit', 'tsconfig', 'vscode', 'yarn']"
filebrowser,"['docker', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'mkdocs', 'npm', 'pnpm', 'prettier', 'tsconfig']"
CymChad_BaseRecyclerViewAdapterHelper,"['android', 'circleci', 'gradle', 'gradle-wrapper', 'travis']"
ice,"['ansible-playbook', 'changesets', 'codecov', 'github issues', 'github-action', 'npm', 'pnpm', 'tsconfig']"
brew,"['codecov', 'dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'rubocop', 'vscode']"
webpack,"['codecov', 'cspell', 'dependabot', 'github funding', 'github-action', 'npm', 'tsconfig']"
AnotherRedisDesktopManager,"['babel', 'eslint', 'github funding', 'github-action', 'npm']"
slidev,"['github', 'github funding', 'github issues', 'github-action', 'gitpod', 'netlify', 'npm', 'pnpm', 'tsconfig', 'vercel', 'vscode']"
tiptap,"['changesets', 'dependabot', 'github issues', 'github-action', 'npm', 'pnpm', 'tsconfig', 'turborepo', 'vscode']"
Leaflet,"['bundlemon', 'dependabot', 'github funding', 'github issues', 'github-action', 'npm']"
apollographql_apollo-client,"['apify', 'changesets', 'circleci', 'dependabot', 'github issues', 'github-action', 'npm', 'renovate', 'tsconfig', 'tsdoc', 'vscode']"
ArchiveBox,"['dependabot', 'django', 'docker', 'docker-compose', 'flyio', 'github funding', 'github issues', 'github-action', 'jekyll', 'mypy', 'nginx', 'npm', 'poetry', 'readthedocs']"
cursor-free-vip,"['github issues', 'github-action']"
parcel,"['babel', 'cargo', 'dependabot', 'devcontainer', 'eslint', 'github funding', 'github issues', 'github-action', 'lerna', 'mocha', 'npm', 'rustfmt', 'tsconfig', 'vercel', 'vscode', 'yarn']"
mermaid,"['changesets', 'codecov', 'cspell', 'docker', 'docker-compose', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'lychee', 'netlify', 'npm', 'pnpm', 'prettier', 'renovate', 'tsconfig', 'vscode']"
osquery,"['github funding', 'github-action', 'mkdocs', 'readthedocs']"
json-server,"['github funding', 'github-action', 'npm', 'tsconfig']"
teambit_bit,"['babel', 'circleci', 'docker', 'npm', 'tsconfig']"
disruptor,"['github-action', 'gradle-wrapper']"
postiz-app,"['devcontainer', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'nodemon', 'npm', 'pnpm', 'tsconfig']"
iced,"['cargo', 'clippy', 'cross', 'github funding', 'github issues', 'github-action', 'rustfmt']"
crewAI,"['github issues', 'github-action', 'poetry', 'pre-commit', 'ruff']"
chatwoot_chatwoot,"['circleci', 'crowdin', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'github funding', 'github issues', 'github-action', 'jekyll', 'npm', 'pnpm', 'rubocop', 'spring', 'swagger', 'vscode']"
react-navigation,"['github funding', 'github issues', 'github-action', 'lefthook', 'lerna', 'netlify', 'npm', 'tsconfig', 'yarn']"
n8n-io_n8n,"['bundlemon', 'codecov', 'devcontainer', 'docker', 'docker-compose', 'eslint', 'github', 'github issues', 'github-action', 'lefthook', 'nginx', 'nodemon', 'npm', 'pnpm', 'poetry', 'renovate', 'tsconfig', 'turborepo', 'vscode']"
fingerprintjs,"['github-action', 'npm', 'tsconfig']"
scrapy,"['codecov', 'django', 'github-action', 'poetry', 'pre-commit', 'readthedocs', 'tox']"
canal,"['codecov', 'docker', 'hadoop-hbase', 'helm', 'kubernetes', 'maven', 'maven-wrapper', 'npm', 'spring', 'travis']"
frigate,"['cspell', 'dependabot', 'devcontainer', 'django', 'docker', 'docker-compose', 'github funding', 'github issues', 'github-action', 'mypy', 'netlify', 'nginx', 'npm', 'poetry', 'tsconfig', 'vscode']"
go-micro,"['ansible-playbook', 'golangci-lint', 'jekyll']"
NaiboWang_EasySpider,"['github funding', 'npm', 'tsconfig']"
transformers,"['circleci', 'docker', 'github issues', 'github-action', 'lerna', 'poetry']"
graal,"['devcontainer', 'docker', 'github issues', 'github-action', 'jekyll', 'maven', 'poetry']"
portainer,"['docker', 'docker-compose', 'eslint', 'fuel', 'github issues', 'golangci-lint', 'npm', 'tsconfig']"
linera-protocol,"['cargo', 'clippy', 'docker', 'docker-compose', 'github-action', 'helm', 'kubernetes', 'npm', 'pnpm', 'prometheus', 'rust', 'rustfmt', 'taplo', 'tsconfig']"
shap,"['codecov', 'dependabot', 'github', 'github issues', 'github-action', 'npm', 'poetry', 'pre-commit', 'readthedocs']"
actix-web,"['cargo', 'clippy', 'codecov', 'cspell', 'dependabot', 'github funding', 'github issues', 'github-action', 'prettier', 'rustfmt', 'taplo']"
mrdoob_three.js,"['eslint', 'github', 'github funding', 'github issues', 'github-action', 'npm', 'renovate']"
flow,"['github-action', 'npm', 'tsconfig']"
OpenManus,"['dependabot', 'docker', 'github issues', 'github-action', 'npm', 'pre-commit', 'tsconfig', 'vscode']"
spring-projects_spring-boot,"['dependabot', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'maven', 'npm', 'spring']"
LocalAI,"['chart testing', 'dependabot', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'github', 'github funding', 'github issues', 'github-action', 'prometheus', 'renovate', 'swagger', 'vscode']"
PowerShell_PowerShell,"['codecov', 'dependabot', 'devcontainer', 'docker', 'fuel', 'github', 'github issues', 'github-action', 'markdownlint', 'vscode']"
heroui-inc_heroui,"['changesets', 'eslint', 'github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'prettier', 'tsconfig', 'turborepo', 'vercel', 'vscode']"
video.js,"['github', 'github config', 'github issues', 'github-action', 'npm', 'tsconfig']"
Perplexica,"['docker compose', 'eslint', 'github-action', 'npm', 'tsconfig']"
keras,"['codecov', 'dependabot', 'devcontainer', 'github-action', 'poetry', 'pre-commit']"
yazi,"['cargo', 'cspell', 'github issues', 'github-action', 'npm', 'rustfmt', 'snapscraft', 'stylua']"
etherpad-lite,"['dependabot', 'docker', 'docker-compose', 'github funding', 'github-action', 'npm', 'pnpm', 'travis', 'tsconfig']"
Karabiner-Elements,"['github', 'github funding', 'github-action', 'markdownlint', 'npm', 'prettier', 'swiftlint', 'vscode']"
Bend,"['cargo', 'cspell', 'github issues', 'github-action', 'rustfmt']"
Aerial,"['codeclimate', 'swiftlint', 'travis']"
colima,"['dependabot', 'docker', 'github funding', 'github issues', 'github-action', 'golangci-lint']"
llvm_llvm-project,"['appveyor', 'chart testing', 'codecov', 'docker', 'docker-compose', 'github', 'github-action', 'jekyll', 'npm', 'poetry', 'pre-commit', 'prettier', 'renovate', 'travis', 'tsconfig', 'vscode']"
reduxjs_redux,"['gitbook', 'github funding', 'github issues', 'github-action', 'netlify', 'npm', 'prettier', 'tsconfig', 'yarn']"
sst,"['cargo', 'devcontainer', 'docker', 'github-action', 'goreleaser', 'npm', 'poetry', 'tsconfig', 'vscode']"
pyscript,"['dependabot', 'github', 'github issues', 'github-action', 'npm', 'poetry', 'pre-commit', 'tsconfig']"
rustdesk,"['android', 'appveyor', 'cargo', 'dependabot', 'docker', 'flutter', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'rustfmt', 'travis', 'vcpkg', 'vscode']"
fastify,"['ansible-playbook', 'dependabot', 'eslint', 'github', 'github-action', 'gitpod', 'npm']"
maybe,"['dependabot', 'devcontainer', 'docker', 'docker-compose', 'github-action', 'npm', 'rubocop']"
flutter_flutter,"['android', 'dependabot', 'firebase', 'flutter', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'vscode']"
jeecgboot_JeecgBoot,"['docker', 'docker-compose', 'gitpod', 'maven', 'npm', 'pnpm', 'spring', 'tsconfig']"
LLaMA-Factory,"['docker', 'docker-compose', 'github issues', 'github-action', 'poetry', 'pre-commit']"
lexical,"['github-action', 'npm', 'tsconfig', 'vscode']"
lerna,"['github issues', 'github-action', 'lerna', 'npm', 'pnpm', 'prettier', 'tsconfig']"
minio,"['docker', 'github', 'github issues', 'github-action', 'golangci-lint', 'helm', 'jekyll', 'kubernetes', 'nginx', 'typos']"
LLMs-from-scratch,"['devcontainer', 'docker', 'github issues', 'github-action', 'poetry', 'vscode']"
incubator-seata,"['codecov', 'docker', 'docker compose', 'eslint', 'github issues', 'github-action', 'helm', 'kubernetes', 'log4j', 'maven', 'maven-wrapper', 'npm', 'spring', 'travis', 'tsconfig']"
blueprint,"['circleci', 'dependabot', 'lerna', 'npm', 'prettier', 'tsconfig', 'vscode', 'yarn']"
vapor,"['dependabot', 'github-action']"
magic-wormhole,"['appveyor', 'github-action', 'poetry', 'readthedocs', 'snapscraft', 'tox']"
components,"['angular', 'firebase', 'github', 'github issues', 'github-action', 'npm', 'pnpm', 'renovate', 'stylelint', 'tsconfig', 'vscode', 'yarn']"
ish,"['ansible-playbook', 'github funding', 'github-action']"
ollama_ollama,"['cmake', 'docker', 'github issues', 'github-action', 'golangci-lint', 'npm', 'tsconfig']"
milvus,"['ansible', 'cargo', 'codecov', 'devcontainer', 'docker', 'docker-compose', 'github', 'github issues', 'github-action', 'golangci-lint', 'mockery', 'pre-commit', 'travis', 'vcpkg']"
lo,"['dependabot', 'docker', 'docker-compose', 'github funding', 'github-action']"
grafana_loki,"['appveyor', 'azure pipelines', 'buf', 'chart testing', 'cirrus', 'codeclimate', 'codecov', 'deepsource', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'drone', 'github', 'github-action', 'golangci-lint', 'goreleaser', 'helm', 'jekyll', 'kafka', 'kubernetes', 'lychee', 'markdownlint', 'mkdocs', 'netlify', 'nginx', 'pre-commit', 'prettier', 'prometheus', 'renovate', 'rubocop', 'swagger', 'travis']"
novuhq_novu,"['babel', 'cspell', 'deepsource', 'devcontainer', 'docker', 'docker-compose', 'github', 'github issues', 'github-action', 'lerna', 'mocha', 'netlify', 'nodemon', 'npm', 'pnpm', 'renovate', 'tsconfig', 'verdaccio', 'vscode']"
nnn,"['circleci', 'github funding', 'github issues', 'github-action']"
dbeaver_dbeaver,"['github issues', 'github-action', 'maven', 'snapscraft']"
Ventoy,"['docker', 'docker-compose', 'github funding', 'github issues', 'github-action']"
laravel-debugbar,"['github', 'github funding', 'github-action']"
source-code-hunter,"['github-action', 'npm', 'vercel']"
UTM,"['github funding', 'github-action']"
phpunit,"['github funding', 'github-action']"
Rocket,"['cargo', 'github funding', 'github issues', 'github-action', 'rustfmt']"
zustand,"['github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'tsconfig']"
autogen,"['codecov', 'devcontainer', 'docker', 'docker-compose', 'github issues', 'github-action', 'npm', 'poetry', 'tsconfig']"
postgrest,"['cirrus', 'codecov', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'readthedocs', 'renovate']"
llama.cpp,"['cmake', 'github', 'github issues', 'github-action', 'mypy', 'npm', 'poetry', 'pre-commit', 'prometheus', 'tsconfig']"
bagisto,"['docker-compose', 'github funding', 'github issues', 'github-action', 'npm']"
query,"['angular', 'codecov', 'github', 'github funding', 'github issues', 'github-action', 'knip', 'lerna', 'npm', 'pnpm', 'renovate', 'tsconfig', 'vscode']"
luigi,"['codecov', 'github', 'github-action', 'poetry', 'readthedocs', 'tox']"
graphrag,"['cspell', 'dependabot', 'django', 'docker', 'github issues', 'github-action', 'mkdocs', 'poetry', 'vscode']"
create-t3-app,"['changesets', 'eslint', 'github', 'github issues', 'github-action', 'gitpod', 'npm', 'pnpm', 'tsconfig', 'turborepo', 'vercel', 'vscode', 'yarn']"
react-hook-form,"['apify', 'github', 'github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'tsconfig', 'vscode']"
microsoft_TypeScript,"['codecov', 'dependabot', 'devcontainer', 'github issues', 'github-action', 'npm', 'tsconfig', 'vscode']"
monaco-editor,"['ansible-playbook', 'devcontainer', 'github issues', 'github-action', 'mocha', 'npm', 'prettier', 'tsconfig', 'vscode']"
everyone-can-use-english,"['dependabot', 'eslint', 'github-action', 'npm', 'tsconfig', 'wrangler', 'yarn']"
fasthttp,"['dependabot', 'github-action', 'golangci-lint']"
calcom_cal.com,"['changesets', 'docker', 'docker compose', 'docker-compose', 'github', 'github issues', 'github-action', 'gitpod', 'jest', 'kodiak', 'npm', 'tsconfig', 'turborepo', 'vercel', 'vscode', 'yarn']"
kubernetes_kubernetes,"['appveyor', 'azure pipelines', 'buf', 'cirrus', 'codeclimate', 'codecov', 'docker', 'github issues', 'golangci-lint', 'kubernetes', 'markdownlint', 'mockery', 'renovate', 'swagger', 'travis']"
Stirling-PDF,"['dependabot', 'devcontainer', 'docker', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'pre-commit', 'spring', 'vscode']"
serenity,"['dependabot', 'devcontainer', 'docker', 'github', 'github funding', 'github-action', 'pre-commit']"
unleashed-firmware,"['docker', 'drone', 'github funding', 'github issues', 'github-action', 'npm', 'pnpm', 'tsconfig', 'vscode']"
gpt_academic,"['docker', 'docker-compose', 'github issues', 'github-action']"
fullPage.js,"['bower', 'npm']"
v86,"['cargo', 'devcontainer', 'docker', 'github-action', 'npm', 'rustfmt', 'vscode']"
vllm,"['chart testing', 'dependabot', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'mkdocs', 'poetry', 'pre-commit', 'readthedocs', 'typos']"
ionicons,"['github', 'github issues', 'github-action', 'npm', 'prettier', 'tsconfig']"
guidance,"['codecov', 'eslint', 'github-action', 'npm', 'poetry', 'readthedocs', 'ruff', 'tsconfig', 'yarn']"
rust-lang_rust,"['cargo', 'cargo-make', 'cirrus', 'clippy', 'cross', 'cspell', 'docker', 'eslint', 'github issues', 'github-action', 'gitpod', 'jekyll', 'npm', 'reuse', 'ruff', 'rust', 'rustfmt', 'triagebot', 'tsconfig', 'typos', 'vscode']"
react-scan,"['changesets', 'eslint', 'github-action', 'npm', 'pnpm', 'tsconfig', 'vscode']"
mantine,"['babel', 'eslint', 'github funding', 'github issues', 'npm', 'stylelint', 'tsconfig', 'yarn']"
baidu_amis,"['docker', 'github', 'github issues', 'github-action', 'gitpod', 'lerna', 'npm', 'stylelint', 'travis', 'tsconfig', 'vscode']"
ToolJet_ToolJet,"['docker compose', 'firebase', 'github issues', 'github-action', 'helm', 'kubernetes', 'lerna', 'netlify', 'npm', 'tsconfig', 'vscode']"
dubbo,"['codecov', 'dependabot', 'docker', 'github issues', 'maven', 'maven-wrapper', 'spring']"
laurent22_joplin,"['android', 'cargo', 'crowdin', 'cspell', 'docker compose', 'docker-compose', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'jekyll', 'lerna', 'nodemon', 'npm', 'travis', 'tsconfig', 'vscode', 'yarn']"
srs,"['appveyor', 'codecov', 'docker', 'eslint', 'github funding', 'github-action', 'golangci-lint', 'goreleaser', 'npm', 'renovate', 'travis', 'vscode']"
OpenHands,"['dependabot', 'devcontainer', 'django', 'docker', 'docker-compose', 'eslint', 'github issues', 'github-action', 'kubernetes', 'mypy', 'npm', 'poetry', 'pre-commit', 'prettier', 'ruff', 'tsconfig', 'vscode']"
nginx,"['github-action', 'nginx']"
darkreader,"['dependabot', 'github funding', 'github issues', 'github-action', 'npm', 'tsconfig']"
ava,"['github issues', 'github-action', 'npm', 'tsconfig']"
photoprism_photoprism,"['codecov', 'docker', 'docker-compose', 'github issues', 'github-action', 'mysql', 'npm', 'prettier', 'prometheus', 'swagger']"
spacemacs,"['circleci', 'github-action']"
bubbletea,"['dependabot', 'github issues', 'github-action', 'golangci-lint', 'goreleaser']"
just,"['cargo', 'clippy', 'dependabot', 'github-action', 'rustfmt']"
discord.js,"['ansible-playbook', 'apify', 'codecov', 'docker', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'jest', 'kodiak', 'npm', 'pnpm', 'prettier', 'tsconfig', 'tsdoc', 'turborepo', 'vscode']"
Tasmota,"['django', 'github', 'github config', 'github issues', 'github-action', 'gitpod', 'vscode']"
unionlabs_union,"['buf', 'cargo', 'changesets', 'clippy', 'github-action', 'knip', 'npm', 'pnpm', 'rustfmt', 'taplo', 'tsconfig', 'typos', 'vscode']"
chi,"['github funding', 'github-action']"
remix,"['ansible-playbook', 'changesets', 'deno', 'dependabot', 'github issues', 'github-action', 'npm', 'pnpm', 'tsconfig', 'vscode', 'wrangler']"
Anuken_Mindustry,"['android', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'jitpack']"
hutool,"['github', 'github funding', 'maven', 'travis']"
go-zero,"['dependabot', 'docker', 'github funding', 'github-action', 'kubernetes', 'swagger']"
marked,"['dependabot', 'devcontainer', 'npm', 'tsconfig', 'vercel']"
firefly-iii,"['crowdin', 'dependabot', 'github', 'github issues', 'github-action', 'npm']"
v,"['dependabot', 'docker', 'github funding', 'github issues', 'github-action']"
dgtlmoon_changedetection.io,"['dependabot', 'docker', 'docker-compose', 'github funding', 'github-action', 'npm', 'pre-commit', 'ruff']"
fuel-core,"['cargo', 'cargo-make', 'clippy', 'cross', 'docker', 'docker-compose', 'fuel', 'github-action', 'rust', 'rustfmt', 'typos']"
CopilotKit_CopilotKit,"['changesets', 'cspell', 'docker', 'firebase', 'github issues', 'github-action', 'kodiak', 'npm', 'pnpm', 'poetry', 'renovate', 'tsconfig', 'turborepo', 'vscode']"
distroless,"['dependabot', 'github-action', 'pre-commit', 'travis']"
whisper,"['dependabot', 'github-action', 'poetry', 'pre-commit']"
flux,"['github-action', 'poetry']"
vitess,"['codeclimate', 'codecov', 'docker', 'github issues', 'github-action', 'golangci-lint', 'maven', 'npm', 'tsconfig', 'zookeeper']"
express,"['dependabot', 'eslint', 'github-action', 'npm']"
HanLP,"['github issues', 'maven']"
code-server,"['codecov', 'dependabot', 'docker', 'github', 'github issues', 'github-action', 'helm', 'kubernetes', 'npm', 'prettier', 'renovate', 'tsconfig']"
homebridge,"['github', 'github funding', 'github-action', 'nodemon', 'npm', 'tsconfig', 'vscode']"
docling,"['apify', 'codecov', 'django', 'docker', 'github', 'github issues', 'github-action', 'mkdocs', 'poetry', 'pre-commit']"
jhipster_generator-jhipster,"['dependabot', 'devcontainer', 'docker', 'docker-compose', 'github', 'github funding', 'github-action', 'gradle-wrapper', 'maven', 'maven-wrapper', 'mysql', 'npm', 'renovate', 'spring', 'tsconfig', 'vscode']"
decaporg_decap-cms,"['github', 'github funding', 'github-action', 'kodiak', 'lerna', 'netlify', 'npm', 'renovate', 'tsconfig']"
trufflehog,"['docker', 'github-action', 'goreleaser', 'pre-commit', 'renovate']"
weui,"['npm', 'travis']"
x64dbg,"['cmake', 'github funding', 'github issues', 'github-action']"
Hyprland,"['github', 'github funding', 'github issues', 'github-action']"
yt-dlp,"['ansible-playbook', 'docker', 'github funding', 'github issues', 'github-action', 'poetry', 'pre-commit']"
appium,"['github', 'github issues', 'github-action', 'lerna', 'mkdocs', 'npm', 'renovate', 'tsconfig', 'vscode']"
elixir,"['dependabot', 'github issues', 'github-action']"
kuboard-press,"['devcontainer', 'docker', 'docker compose', 'kubernetes', 'nginx', 'npm', 'pnpm']"
NginxProxyManager_nginx-proxy-manager,"['docker', 'docker compose', 'docker-compose', 'github-action', 'nginx', 'nodemon', 'npm', 'swagger', 'tsconfig']"
zed-industries_zed,"['buf', 'cargo', 'clippy', 'github', 'github issues', 'github-action', 'lychee', 'npm', 'pnpm', 'poetry', 'renovate', 'rust', 'tsconfig', 'typos', 'wrangler']"
nocodb_nocodb,"['crowdin', 'cspell', 'docker', 'docker-compose', 'eslint', 'github funding', 'github issues', 'github-action', 'helm', 'kubernetes', 'lerna', 'npm', 'pnpm', 'postgresql', 'renovate', 'tsconfig']"
nginx-proxy,"['dependabot', 'docker-compose', 'github issues', 'github-action']"
MediaCrawler,"['github-action', 'mypy', 'npm', 'poetry']"
sweetalert2,"['github funding', 'github issues', 'github-action', 'npm', 'renovate', 'stylelint', 'vscode']"
go,"['ansible-playbook', 'docker', 'eslint', 'github issues', 'npm', 'prettier', 'stylelint', 'tsconfig']"
k3s,"['codecov', 'dependabot', 'docker', 'docker-compose', 'drone', 'github', 'github-action', 'golangci-lint', 'helm']"
Ehviewer_CN_SXJ,"['android', 'azure pipelines', 'github-action', 'gradle', 'gradle-wrapper']"
mem0,"['docker', 'docker compose', 'docker-compose', 'eslint', 'flyio', 'github issues', 'github-action', 'nodemon', 'npm', 'pnpm', 'poetry', 'pre-commit', 'streamlit', 'tsconfig']"
