project,technologies
swc-project_swc,"['cargo', 'clippy', 'cspell', 'github funding', 'github issues', 'github-action', 'jest', 'kodiak', 'npm', 'renovate', 'rustfmt', 'taplo', 'tsconfig', 'vscode', 'yarn']"
zulip_zulip,"['codecov', 'django', 'docker', 'github funding', 'github issues', 'github-action', 'nginx', 'npm', 'pnpm', 'poetry', 'readthedocs', 'tsconfig', 'vscode']"
hashcat,"['appveyor', 'github-action', 'travis']"
nrwl_nx,"['babel', 'cargo', 'circleci', 'clippy', 'cypress', 'devcontainer', 'eslint', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'lerna', 'netlify', 'npm', 'pnpm', 'rust', 'tsconfig', 'yarn']"
Avalonia,"['android', 'azure pipelines', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'npm', 'tsconfig']"
paperless-ngx,"['angular', 'codecov', 'crowdin', 'dependabot', 'devcontainer', 'django', 'docker', 'docker compose', 'docker-compose', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'mkdocs', 'npm', 'pnpm', 'poetry', 'pre-commit', 'tsconfig']"
github1s,"['devcontainer', 'docker', 'github config', 'github-action', 'gitpod', 'npm', 'tsconfig']"
vercel_next.js,"['cargo', 'changesets', 'devcontainer', 'docker', 'eslint', 'github issues', 'github-action', 'lerna', 'npm', 'pnpm', 'prettier', 'rust', 'rustfmt', 'tsconfig', 'turborepo', 'typos', 'vercel', 'vscode']"
SwitchHosts,"['npm', 'prettier', 'tsconfig']"
Seal,"['android', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper']"
django-rest-framework,"['codecov', 'dependabot', 'django', 'github', 'github funding', 'github issues', 'github-action', 'mkdocs', 'pre-commit', 'tox']"
hcengineering_platform,"['babel', 'dependabot', 'docker', 'docker compose', 'github-action', 'mongodb', 'npm', 'pnpm', 'tsconfig', 'vscode']"
PowerToys,"['dependabot', 'github issues', 'github-action']"
typst,"['cargo', 'docker', 'github funding', 'github issues', 'github-action', 'npm', 'rustfmt']"
backstage_backstage,"['ansible-playbook', 'azure pipelines', 'changesets', 'chart testing', 'codecov', 'devcontainer', 'docker', 'eslint', 'github', 'github issues', 'github-action', 'helm', 'jekyll', 'kubernetes', 'mkdocs', 'npm', 'prometheus', 'tsconfig', 'yarn']"
ghostty,"['dependabot', 'docker', 'github', 'github issues', 'github-action', 'npm', 'snapscraft', 'typos']"
ink,"['npm', 'tsconfig']"
winget-cli,"['azure pipelines', 'dependabot', 'github issues', 'github-action', 'vcpkg']"
slick,"['bower', 'npm']"
react-three-fiber,"['changesets', 'eslint', 'github funding', 'github-action', 'npm', 'tsconfig']"
react,"['babel', 'circleci', 'dependabot', 'eslint', 'github issues', 'github-action', 'npm', 'tsconfig', 'vercel', 'vscode']"
python-fire,"['dependabot', 'github-action', 'mkdocs']"
cobra,"['dependabot', 'github', 'github-action', 'golangci-lint']"
cheerio,"['ansible-playbook', 'crowdin', 'dependabot', 'github funding', 'github-action', 'npm', 'tsconfig']"
firecracker,"['cargo', 'codecov', 'dependabot', 'docker', 'github-action', 'poetry', 'rust']"
textual,"['deepsource', 'github funding', 'github issues', 'github-action', 'mypy', 'poetry', 'pre-commit']"
codemirror5,"['github funding', 'github-action', 'npm']"
preact,"['github funding', 'github-action', 'npm', 'tsconfig']"
react-native,"['android', 'apify', 'eslint', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'npm', 'tsconfig']"
gin,"['codecov', 'dependabot', 'github-action', 'golangci-lint', 'goreleaser']"
