project,android,angular,ansible,ansible-playbook,apache,cargo,circleci,cypress,django,docker,docker-compose,elasticsearch,flutter,github-action,gradle,gradle-wrapper,hadoop-hbase,heroku,kafka,kubernetes,maven,maven-wrapper,mongodb,mysql,netlify,nginx,nodejs,poetry,postgresql,redis,spring,travis,tsconfig,zookeeper
gitea,0,0,0,0,0,0,0,0,0,10,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,126,6,0,0,0,0,0,0
harbor,0,82,0,0,0,0,0,0,0,12,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,53,0,0,15,0
vue-admin-better,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
table,0,251,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,49,0
echarts,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0
dspy,0,0,0,0,0,0,0,0,1,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
swc,0,0,0,0,0,966,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,663,0,0,0,0,0,16,0
zulip,0,0,0,0,0,0,0,0,327,6,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,3,452,49,0,0,0,0,0,0
hashcat,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
nx,0,0,0,0,0,104,9,10,0,0,0,0,0,465,8,7,0,0,0,0,0,0,0,0,3,0,1144,0,0,0,0,0,86,0
Avalonia,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,24,0
paperless-ngx,0,110,0,0,0,0,0,0,260,9,27,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,71,61,0,0,0,0,0,0
github1s,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,33,0
next.js,0,0,0,0,0,692,0,0,0,9,0,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,2075,0,0,0,0,0,143,0
SwitchHosts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,34,0
BitNet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seal,42,0,0,0,0,0,0,0,0,0,0,0,0,35,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
django-rest-framework,0,0,0,0,0,0,0,0,50,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platform,0,0,0,0,0,0,0,0,0,7,0,0,0,224,0,0,0,0,0,0,0,0,9,0,0,0,897,0,0,0,0,0,41,0
PowerToys,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typst,0,0,0,0,0,396,0,0,0,6,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
backstage,0,0,0,86,0,0,0,0,0,10,0,0,0,472,0,0,0,0,0,16,0,0,0,0,0,0,1168,0,0,0,0,0,67,0
uWebSockets,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ghostty,0,0,0,0,0,0,0,0,0,5,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
ink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,13,0
winget-cli,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
react-three-fiber,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,33,0
react,0,0,0,0,0,0,11,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,804,0,0,0,0,0,24,0
python-fire,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cobra,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheerio,0,0,0,27,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0
firecracker,0,0,0,0,0,135,0,0,0,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
textual,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0
