project,technologies
winget-cli,"['dependabot', 'github', 'github-action', 'json', 'yaml']"
slick,"['bower', 'json', 'nodejs']"
react-three-fiber,"['eslint', 'github', 'github-action', 'json', 'nodejs', 'tsconfig']"
react,"['babel', 'circleci', 'dependabot', 'eslint', 'github', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig', 'vercel', 'vscode']"
python-fire,"['dependabot', 'github-action', 'mkdocs']"
cobra,"['dependabot', 'github', 'github-action', 'golangci-lint']"
cheerio,"['ansible-playbook', 'dependabot', 'github', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig', 'yaml']"
firecracker,"['cargo', 'codecov', 'dependabot', 'docker', 'github-action', 'json', 'poetry', 'rust', 'toml', 'yaml']"
textual,"['github', 'github-action', 'mypy', 'poetry', 'pre-commit', 'toml', 'yaml']"
codemirror5,"['github', 'github-action', 'nodejs']"
preact,"['github', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig']"
react-native,"['android', 'apify', 'eslint', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'nodejs', 'toml', 'tsconfig', 'yaml']"
gin,"['codecov', 'dependabot', 'github-action', 'golangci-lint', 'goreleaser']"
ReactiveX_RxSwift,"['json', 'swiftlint', 'yaml']"
NewPipe,"['android', 'configparser', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'yaml']"
dive,"['dependabot', 'docker', 'github', 'github-action', 'golangci-lint', 'goreleaser', 'yaml']"
LunarVim,"['github', 'github-action', 'json', 'pre-commit', 'stylua', 'toml']"
pandas,"['codecov', 'dependabot', 'devcontainer', 'docker', 'github', 'github-action', 'gitpod', 'json', 'poetry', 'pre-commit', 'yaml']"
wechat-app-mall,"['json', 'nodejs']"
fzf,"['dependabot', 'docker', 'github', 'github-action', 'goreleaser', 'rubocop', 'typos']"
shadowsocks-android,"['android', 'circleci', 'github', 'gradle', 'gradle-wrapper', 'json', 'toml', 'travis', 'yaml']"
web-check,"['docker', 'docker-compose', 'flyio', 'github', 'github-action', 'json', 'netlify', 'nodejs', 'tsconfig', 'vercel', 'yaml']"
ILSpy,"['dependabot', 'docker', 'github', 'github-action', 'json', 'nodejs', 'vscode']"
headscale,"['buf', 'github', 'github-action', 'golangci-lint', 'goreleaser', 'json', 'mkdocs', 'renovate', 'yaml']"
cilium_cilium,"['appveyor', 'buf', 'cirrus', 'codecov', 'devcontainer', 'docker', 'github', 'github-action', 'golangci-lint', 'goreleaser', 'json', 'kubernetes', 'markdownlint', 'mockery', 'netlify', 'renovate', 'toml', 'travis', 'vscode', 'yaml']"
etcd,"['codecov', 'dependabot', 'devcontainer', 'docker', 'github', 'github-action', 'golangci-lint', 'json', 'yaml']"
jq,"['ansible-playbook', 'dependabot', 'docker', 'github-action']"
codex,"['cargo', 'dependabot', 'devcontainer', 'docker', 'github', 'github-action', 'json', 'nodejs', 'pnpm', 'rustfmt', 'toml', 'tsconfig', 'yaml']"
qinglong,"['docker', 'docker-compose', 'github', 'github-action', 'json', 'nginx', 'nodejs', 'pnpm', 'tsconfig', 'yaml']"
slim,"['appveyor', 'codecov', 'dependabot', 'docker', 'github', 'github-action', 'gitpod', 'golangci-lint', 'goreleaser', 'json', 'kubernetes', 'markdownlint', 'mkdocs', 'pre-commit', 'renovate', 'toml', 'travis', 'vscode', 'yaml']"
tailscale,"['dependabot', 'docker', 'github', 'github-action', 'gocrazy', 'golangci-lint', 'json', 'kubernetes', 'nodejs', 'tsconfig', 'yaml']"
serverless,"['github', 'github-action', 'nodejs']"
dotnet_aspnetcore,"['babel', 'bower', 'dependabot', 'devcontainer', 'docker', 'eslint', 'github', 'github-action', 'gradle-wrapper', 'json', 'markdownlint', 'nodejs', 'npm', 'tsconfig', 'vscode', 'yaml']"
surya,"['django', 'github-action', 'json', 'poetry', 'pre-commit']"
jitsi_jitsi-meet,"['android', 'configparser', 'devcontainer', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'nodejs', 'yaml']"
chakra-ui,"['docker', 'github', 'github-action', 'json', 'nodejs', 'pnpm', 'renovate', 'tsconfig', 'vscode', 'yaml']"
babel,"['circleci', 'codecov', 'github', 'github-action', 'gitpod', 'json', 'nodejs', 'renovate', 'tsconfig', 'yarn']"
dimsemenov_PhotoSwipe,"['eslint', 'github', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig']"
duckdb,"['codecov', 'django', 'github', 'github-action', 'json', 'poetry', 'toml', 'yaml']"
vault,"['ansible-playbook', 'buf', 'dependabot', 'docker', 'github', 'github-action', 'golangci-lint', 'json', 'nodejs', 'npm', 'tsconfig', 'vercel', 'yaml', 'yarn']"
fairseq,"['github', 'github-action', 'poetry', 'pre-commit', 'yaml']"
html5-boilerplate,"['dependabot', 'github', 'github-action', 'json', 'nodejs', 'npm', 'prettier', 'vscode']"
whisper.cpp,"['github-action', 'gradle', 'gradle-wrapper', 'json', 'nodejs', 'yaml']"
faas,"['docker', 'github', 'github-action', 'golangci-lint', 'goreleaser', 'jekyll', 'json', 'travis', 'yaml']"
prettier,"['codecov', 'dependabot', 'github', 'github-action', 'gitpod', 'json', 'netlify', 'nodejs', 'tsconfig', 'vscode', 'yaml', 'yarn']"
yjs,"['github-action', 'json', 'markdownlint', 'nodejs', 'npm', 'tsconfig']"
xgboost,"['configparser', 'github', 'github-action', 'json', 'maven', 'poetry', 'yaml']"
trix,"['babel', 'github', 'github-action', 'nodejs']"
flash-attention,"['docker', 'github-action', 'poetry', 'yaml']"
umami-software_umami,"['docker', 'docker-compose', 'eslint', 'github', 'github-action', 'json', 'netlify', 'nodejs', 'pnpm', 'prettier', 'stylelint', 'toml', 'tsconfig', 'yaml']"
quivr,"['github', 'github-action', 'json', 'poetry', 'pre-commit', 'tox', 'vercel', 'vscode', 'yaml']"
driver.js,"['github', 'nodejs', 'pnpm', 'tsconfig']"
spotube,"['android', 'dependabot', 'docker', 'flutter', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'nodejs', 'pnpm', 'tsconfig', 'vscode', 'yaml']"
gopeed,"['android', 'docker', 'docker-compose', 'flutter', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'nodejs', 'npm', 'yaml']"
cline,"['buf', 'dependabot', 'eslint', 'github', 'github-action', 'json', 'mocha', 'nodejs', 'npm', 'prettier', 'toml', 'tsconfig', 'vscode', 'yaml']"
strapi_strapi,"['codecov', 'dependabot', 'docker-compose', 'eslint', 'github', 'github-action', 'json', 'lerna', 'nodejs', 'tsconfig', 'vercel', 'vscode', 'yaml', 'yarn']"
semantic-release,"['github', 'github-action', 'nodejs', 'npm']"
ingress-nginx,"['dependabot', 'docker', 'github', 'github-action', 'golangci-lint', 'goreleaser', 'json', 'kubernetes', 'lerna', 'markdownlint', 'mkdocs', 'netlify', 'nginx', 'yaml']"
arthas,"['configparser', 'docker', 'github-action', 'json', 'log4j', 'maven', 'maven-wrapper', 'nodejs', 'npm', 'prettier', 'spring', 'tsconfig', 'vscode']"
deskflow,"['configparser', 'github', 'github-action', 'json', 'toml', 'yaml']"
ohmyzsh,"['dependabot', 'devcontainer', 'github', 'github-action', 'gitpod', 'json', 'vercel', 'yaml']"
rocketmq,"['configparser', 'github', 'github-action', 'json', 'maven', 'yaml']"
onnx,"['codecov', 'dependabot', 'github', 'github-action', 'poetry', 'toml', 'yaml']"
editor.js,"['github', 'github-action', 'json', 'nodejs', 'postcss', 'tsconfig', 'vscode']"
micropython,"['dependabot', 'github', 'github-action', 'json', 'poetry', 'pre-commit', 'yaml']"
typesense,"['configparser', 'github']"
agenticSeek,"['configparser', 'docker', 'docker-compose', 'github', 'json', 'nodejs', 'npm', 'poetry', 'pre-commit', 'toml', 'yaml']"
lvgl,"['codecov', 'configparser', 'dependabot', 'devcontainer', 'github', 'github-action', 'json', 'pre-commit', 'typos', 'yaml']"
nuclei,"['dependabot', 'docker', 'github', 'github-action', 'goreleaser', 'json', 'kubernetes', 'yaml']"
zoxide,"['cargo', 'cross', 'dependabot', 'github-action', 'rustfmt', 'toml']"
elastic_elasticsearch,"['configparser', 'docker', 'docker-compose', 'elasticsearch', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'lerna', 'log4j', 'nodejs', 'renovate', 'toml', 'tsconfig', 'yaml']"
requests,"['dependabot', 'github', 'github-action', 'poetry', 'pre-commit', 'tox', 'yaml']"
spacedrive,"['android', 'cargo', 'clippy', 'docker', 'github', 'github-action', 'json', 'nodejs', 'pnpm', 'rust', 'rustfmt', 'taplo', 'toml', 'tsconfig', 'turborepo', 'vercel', 'vscode', 'yaml']"
shellcheck,"['dependabot', 'docker', 'github-action', 'snapscraft', 'yaml']"
ui,"['dependabot', 'eslint', 'github', 'github-action', 'json', 'nodejs', 'pnpm', 'toml', 'tsconfig', 'turborepo', 'vscode', 'yaml']"
gethomepage_homepage,"['dependabot', 'devcontainer', 'docker', 'eslint', 'github', 'github-action', 'json', 'mkdocs', 'nodejs', 'pnpm', 'pre-commit', 'vscode', 'yaml']"
fmt,"['android', 'dependabot', 'github-action', 'mkdocs']"
btop,"['github', 'github-action', 'renovate', 'snapscraft']"
puppeteer,"['apify', 'dependabot', 'devcontainer', 'docker', 'github', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig', 'vscode']"
WSL,"['github', 'github-action', 'json', 'mkdocs', 'yaml']"
ChromeAppHeroes,"['configparser', 'github', 'json', 'nodejs', 'npm']"
fuels-ts,"['cargo', 'dependabot', 'eslint', 'github', 'github-action', 'json', 'nodejs', 'pnpm', 'toml', 'tsconfig', 'turborepo', 'vercel', 'vscode', 'yaml']"
QuickLook,"['appveyor', 'github-action', 'json']"
casbin,"['github', 'github-action', 'golangci-lint', 'json', 'travis']"
certbot,"['codecov', 'configparser', 'docker', 'github', 'github-action', 'json', 'mypy', 'nginx', 'poetry', 'snapscraft', 'tox', 'yaml']"
rrweb,"['eslint', 'github', 'github-action', 'json', 'markdownlint', 'nodejs', 'tsconfig', 'turborepo', 'vscode', 'yarn']"
zstd,"['cirrus', 'dependabot', 'docker', 'github-action', 'snapscraft']"
fd,"['cargo', 'cross', 'dependabot', 'github', 'github-action', 'rustfmt']"
monolog,"['dependabot', 'github', 'github-action', 'jekyll', 'json']"
PicGo,"['appveyor', 'github', 'github-action', 'nodejs', 'tsconfig', 'vscode', 'yaml']"
langgenius_dify,"['apify', 'configparser', 'dependabot', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'github', 'github-action', 'json', 'nodejs', 'pnpm', 'poetry', 'ruff', 'toml', 'tsconfig', 'vscode', 'yaml']"
koodo-reader,"['docker', 'docker-compose', 'github', 'github-action', 'json', 'nodejs', 'tsconfig', 'vercel']"
php-src,"['circleci', 'codecov', 'github', 'github-action', 'json']"
gogs,"['codecov', 'configparser', 'dependabot', 'docker', 'github', 'github-action', 'golangci-lint', 'json', 'toml', 'travis', 'yaml']"
linux-command,"['docker', 'github', 'github-action', 'json', 'kubernetes', 'nodejs', 'renovate', 'vercel', 'yaml']"
dragonfly,"['circleci', 'dependabot', 'devcontainer', 'docker-compose', 'github', 'github-action', 'json', 'kubernetes', 'poetry', 'pre-commit', 'vscode', 'yaml']"
composio,"['codecov', 'docker', 'github-action', 'json', 'mypy', 'nodejs', 'pnpm', 'poetry', 'ruff', 'tsconfig', 'turborepo', 'yaml']"
dgraph,"['docker', 'docker-compose', 'github', 'github-action', 'golangci-lint', 'json', 'markdownlint', 'nodejs', 'npm', 'renovate', 'vscode', 'yaml']"
devise,"['dependabot', 'devcontainer', 'yaml']"
classnames,"['dependabot', 'github-action', 'nodejs', 'npm']"
meteor_meteor,"['circleci', 'dependabot', 'eslint', 'github', 'github-action', 'jekyll', 'json', 'netlify', 'nodejs', 'npm', 'renovate', 'travis', 'tsconfig']"
zxing,"['android', 'configparser', 'dependabot', 'github-action', 'maven', 'yaml']"
kitty,"['dependabot', 'github', 'github-action', 'json', 'poetry']"
ruby,"['cargo', 'dependabot', 'docker', 'github', 'github-action', 'json', 'rubocop', 'toml', 'travis', 'vscode', 'yaml']"
DeepSpeech,"['android', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'nodejs', 'npm', 'tsconfig', 'yaml']"
tabler,"['dependabot', 'docker', 'docker-compose', 'github', 'github-action', 'gitpod', 'json', 'nodejs', 'pnpm', 'turborepo', 'vercel', 'vscode']"
FlClash,"['android', 'cargo', 'flutter', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'vscode', 'yaml']"
bokeh,"['codecov', 'django', 'github', 'github-action', 'json', 'nodejs', 'npm', 'poetry', 'pre-commit', 'ruff', 'tsconfig', 'yaml']"
beego,"['configparser', 'dependabot', 'github-action', 'toml', 'yaml']"
windows,"['dependabot', 'devcontainer', 'docker', 'github', 'github-action', 'renovate', 'yaml']"
Qwen,"['configparser', 'docker', 'github', 'github-action', 'json']"
git-extras,"['dependabot', 'github-action']"
fish-speech,"['docker-compose', 'github', 'github-action', 'json', 'mkdocs', 'poetry', 'pre-commit', 'yaml']"
TrafficMonitor,"['configparser', 'github', 'github-action']"
docs,"['amplify', 'dependabot', 'docker', 'github-action', 'json', 'nodejs', 'pnpm', 'tsconfig', 'vscode']"
Chart.js,"['codeclimate', 'dependabot', 'eslint', 'github', 'github-action', 'json', 'nodejs', 'pnpm', 'tsconfig']"
immich-app_immich,"['android', 'devcontainer', 'docker', 'docker-compose', 'flutter', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'nodejs', 'pnpm', 'poetry', 'renovate', 'toml', 'travis', 'tsconfig', 'vscode', 'yaml']"
rollup,"['cargo', 'codecov', 'dependabot', 'github', 'github-action', 'json', 'nodejs', 'npm', 'prettier', 'renovate', 'rust', 'rustfmt', 'tsconfig', 'vscode']"
vuetify,"['docker', 'docker-compose', 'eslint', 'github', 'github-action', 'json', 'lerna', 'nodejs', 'pnpm', 'renovate', 'tsconfig', 'yaml']"
sing-box,"['docker', 'github', 'github-action', 'golangci-lint', 'goreleaser', 'json', 'mkdocs', 'renovate']"
biome,"['cargo', 'clippy', 'devcontainer', 'github', 'github-action', 'json', 'nodejs', 'pnpm', 'renovate', 'rust', 'rustfmt', 'taplo', 'tsconfig', 'yaml']"
v2rayN,"['dependabot', 'github', 'github-action', 'yaml']"
frp,"['circleci', 'configparser', 'github', 'github-action', 'golangci-lint', 'goreleaser', 'nodejs', 'prettier', 'toml', 'tsconfig']"
Scrapegraph-ai,"['docker', 'docker-compose', 'github', 'github-action', 'poetry', 'pre-commit', 'yaml']"
node,"['docker-compose', 'github-action', 'json', 'yaml']"
the-swift-programming-language-in-chinese,"['gitbook', 'github', 'github-action', 'json', 'nodejs']"
TryGhost_Ghost,"['codecov', 'docker', 'github', 'github-action', 'json', 'lerna', 'nodejs', 'tsconfig', 'vscode', 'yaml']"
maui,"['android', 'dependabot', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'vscode', 'yaml']"
xyflow,"['github', 'github-action', 'json', 'nodejs', 'pnpm', 'prettier', 'tsconfig', 'turborepo']"
CyberChef,"['devcontainer', 'docker', 'github-action', 'json', 'nodejs', 'npm']"
guzzle,"['docker', 'github', 'github-action', 'json']"
ionic-team_ionic-framework,"['docker', 'eslint', 'github', 'github-action', 'json', 'lerna', 'nodejs', 'npm', 'stylelint', 'tsconfig', 'yaml']"
OpenVoice,[]
gleam,"['cargo', 'clippy', 'cross', 'dependabot', 'github-action', 'toml', 'vscode']"
yabai,['github']
socket.io,"['eslint', 'github', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig', 'yaml']"
filament,"['android', 'appveyor', 'cirrus', 'cmake', 'codecov', 'dependabot', 'docker', 'docker-compose', 'drone', 'eslint', 'flutter', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'jekyll', 'json', 'maven', 'nodejs', 'npm', 'poetry', 'pre-commit', 'snapscraft', 'toml', 'travis', 'yaml']"
drawdb,"['docker', 'github', 'github-action', 'nodejs', 'npm', 'prettier', 'vercel', 'yaml']"
Bilibili-Evolved,"['github', 'github-action', 'json', 'nodejs', 'pnpm', 'tsconfig', 'vscode', 'yaml']"
react-native-vector-icons,"['android', 'docker', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'lerna', 'nodejs', 'pnpm', 'tsconfig', 'turborepo', 'yaml']"
conductor,"['configparser', 'dependabot', 'docker', 'docker compose', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'log4j', 'mkdocs', 'nginx', 'nodejs', 'npm', 'prettier', 'redis', 'spring', 'tsconfig', 'yaml']"
HumanSignal_label-studio,"['babel', 'codecov', 'configparser', 'dependabot', 'devcontainer', 'docker', 'docker compose', 'docker-compose', 'github', 'github-action', 'heroku', 'json', 'lerna', 'netlify', 'nodejs', 'poetry', 'pre-commit', 'stylelint', 'toml', 'travis', 'tsconfig', 'yaml']"
vueuse,"['github', 'github-action', 'gitpod', 'json', 'netlify', 'nodejs', 'pnpm', 'tsconfig', 'vscode']"
gorm,"['dependabot', 'github', 'github-action', 'golangci-lint', 'json']"
ungoogled-chromium,"['cirrus', 'configparser', 'github', 'github-action']"
jgthms_bulma,"['bower', 'github', 'github-action', 'nodejs', 'npm', 'travis']"
rails,"['devcontainer', 'docker', 'github', 'github-action', 'nodejs', 'rubocop', 'yaml']"
czkawka,"['cargo', 'clippy', 'docker', 'github', 'github-action', 'rustfmt', 'toml', 'yaml']"
celery,"['dependabot', 'docker', 'docker-compose', 'github', 'github-action', 'json', 'kubernetes', 'poetry', 'pre-commit', 'redis', 'tox', 'yaml']"
LibreChat,"['devcontainer', 'docker', 'docker-compose', 'github', 'github-action', 'json', 'kubernetes', 'nginx', 'nodejs', 'npm', 'tsconfig', 'vscode', 'yaml']"
sanic,"['appveyor', 'codecov', 'docker', 'github', 'github-action', 'poetry', 'tox', 'yaml']"
hey,"['github-action', 'json', 'nodejs', 'pnpm', 'toml', 'tsconfig', 'vscode']"
DeepSpeed,"['docker', 'github-action', 'json', 'pre-commit', 'yaml']"
gin-vue-admin,"['docker', 'docker compose', 'github', 'github-action', 'json', 'kubernetes', 'nginx', 'nodejs', 'yaml']"
explosion_spaCy,"['docker', 'eslint', 'github', 'github-action', 'json', 'netlify', 'nodejs', 'poetry', 'pre-commit', 'tsconfig', 'vscode', 'yaml']"
axum,"['cargo', 'clippy', 'github', 'github-action', 'toml', 'yaml']"
