project,technologies
unocss,"['github', 'github funding', 'github issues', 'github-action', 'json', 'netlify', 'npm', 'pnpm', 'tsconfig', 'vscode', 'yaml']"
spleeter,"['github issues', 'github-action', 'json', 'poetry', 'yaml']"
keepassxc,"['codecov', 'github', 'github funding', 'github issues', 'github-action', 'snapscraft', 'sonar-qube', 'vcpkg']"
go-gitea_gitea,"['configparser', 'crowdin', 'devcontainer', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'gitpod', 'golangci-lint', 'json', 'markdownlint', 'npm', 'pnpm', 'poetry', 'snapscraft', 'spring', 'toml', 'tsconfig', 'yaml']"
harbor,"['angular', 'codecov', 'cypress', 'dependabot', 'docker', 'docker-compose', 'eslint', 'github', 'github-action', 'golangci-lint', 'json', 'mockery', 'nodejs', 'npm', 'prettier', 'redis', 'stylelint', 'swagger', 'tsconfig', 'yaml']"
vue-admin-better,"['npm', 'pnpm', 'vscode']"
table,"['github funding', 'github issues', 'github-action', 'knip', 'lerna', 'npm', 'pnpm', 'tsconfig', 'yaml']"
apache_echarts,"['eslint', 'github issues', 'github-action', 'npm', 'tsconfig', 'vscode', 'yaml']"
base_node,"['docker', 'docker-compose', 'github-action', 'json']"
dspy,"['django', 'github issues', 'github-action', 'poetry', 'pre-commit', 'yaml']"
swc-project_swc,"['cargo', 'claude code', 'clippy', 'cspell', 'github', 'github funding', 'github issues', 'github-action', 'jest', 'json', 'kodiak', 'npm', 'renovate', 'rustfmt', 'taplo', 'toml', 'tsconfig', 'vscode', 'yaml', 'yarn']"
zulip_zulip,"['codecov', 'configparser', 'django', 'docker', 'github funding', 'github issues', 'github-action', 'json', 'nginx', 'npm', 'pnpm', 'poetry', 'readthedocs', 'tsconfig', 'vscode', 'yaml']"
hashcat,"['appveyor', 'github-action', 'json', 'travis']"
nrwl_nx,"['babel', 'cargo', 'circleci', 'claude code', 'clippy', 'cypress', 'devcontainer', 'eslint', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'lerna', 'netlify', 'nodejs', 'npm', 'pnpm', 'rust', 'toml', 'tsconfig', 'yaml', 'yarn']"
Avalonia,"['android', 'azure pipelines', 'eslint', 'github', 'github funding', 'github issues', 'github-action', 'json', 'nodejs', 'npm', 'tsconfig']"
