project,ecosystem
AdGuardHome,0
croc,1
haystack,1
subquery_subql,0
termux-app,2
immutable-js,0
syncthing,1
bevy,3
redis,2
apache_superset,0
gpt4free,3
vue-pure-admin,0
mongodb_mongo,0
nodejs_node,0
typescript-go,0
spdlog,2
MoneyPrinterTurbo,1
layui,2
shardeum,0
egg,0
gorhill_uBlock,3
caddy,2
halo,0
atuinsh_atuin,1
swoole-src,1
jenkinsci_jenkins,0
goreplay,1
nuxt,0
mlx,1
v2rayNG,2
grapesjs,0
eladmin,1
faiss,1
desktop,0
modular,1
storybookjs_storybook,0
commitlint,0
vercel_turborepo,0
aseprite,2
voice-changer,0
dotenv,3
PHPMailer,1
agno,1
recommenders,1
micro,2
unocss,0
spleeter,2
keepassxc,2
go-gitea_gitea,0
harbor,0
vue-admin-better,0
table,0
apache_echarts,0
base_node,1
dspy,1
swc-project_swc,0
zulip_zulip,0
hashcat,2
nrwl_nx,0
Avalonia,0
paperless-ngx,0
github1s,0
vercel_next.js,0
SwitchHosts,0
Seal,2
django-rest-framework,1
hcengineering_platform,0
PowerToys,2
typst,1
backstage_backstage,0
ghostty,3
ink,0
winget-cli,2
slick,3
react-three-fiber,0
react,0
python-fire,2
cobra,2
cheerio,0
firecracker,1
textual,1
codemirror5,2
preact,0
react-native,0
gin,2
NewPipe,2
dive,1
LunarVim,2
pandas,1
fzf,1
shadowsocks-android,2
web-check,0
ILSpy,1
headscale,2
cilium_cilium,1
etcd,1
jq,1
codex,0
qinglong,0
slim,1
tailscale,1
serverless,2
dotnet_aspnetcore,0
surya,1
jitsi_jitsi-meet,2
chakra-ui,0
babel,0
dimsemenov_PhotoSwipe,0
duckdb,1
vault,0
fairseq,1
html5-boilerplate,3
whisper.cpp,3
faas,1
prettier,0
yjs,0
xgboost,2
trix,3
flash-attention,1
umami-software_umami,0
quivr,1
driver.js,0
spotube,0
gopeed,0
cline,0
strapi_strapi,0
semantic-release,3
ingress-nginx,1
arthas,0
deskflow,2
ohmyzsh,2
rocketmq,2
onnx,2
editor.js,0
micropython,1
agenticSeek,1
lvgl,2
nuclei,1
zoxide,2
elastic_elasticsearch,0
requests,1
spacedrive,0
shellcheck,1
ui,0
gethomepage_homepage,0
fmt,2
btop,2
puppeteer,0
WSL,2
ChromeAppHeroes,3
fuels-ts,0
QuickLook,2
casbin,2
certbot,1
rrweb,0
zstd,1
fd,2
monolog,2
PicGo,0
langgenius_dify,0
koodo-reader,0
php-src,2
gogs,1
linux-command,1
dragonfly,1
composio,0
dgraph,0
devise,2
classnames,3
meteor_meteor,0
zxing,2
kitty,2
ruby,1
DeepSpeech,0
tabler,0
FlClash,2
bokeh,1
beego,2
windows,1
Qwen,2
git-extras,2
fish-speech,1
TrafficMonitor,2
docs,0
Chart.js,0
immich-app_immich,0
rollup,0
vuetify,0
sing-box,1
biome,0
v2rayN,2
frp,0
Scrapegraph-ai,1
node,2
the-swift-programming-language-in-chinese,2
TryGhost_Ghost,0
maui,2
xyflow,0
CyberChef,3
guzzle,2
ionic-team_ionic-framework,0
gleam,2
socket.io,0
filament,0
drawdb,3
Bilibili-Evolved,0
react-native-vector-icons,0
conductor,0
HumanSignal_label-studio,0
vueuse,0
gorm,2
ungoogled-chromium,2
jgthms_bulma,3
rails,1
czkawka,1
celery,1
LibreChat,0
sanic,1
hey,0
DeepSpeed,1
gin-vue-admin,1
explosion_spaCy,0
axum,2
Sunshine,2
MinerU,1
axios,0
docker-elk,1
tauri,0
wagtail,1
shadPS4,2
1Panel,0
FiraCode,1
google-research_google-research,0
wasmer,1
tdesktop,1
tensorflow,2
gradio,0
antlr4,0
vnpy,1
phoenix,0
stats,2
vant,0
actual,0
ImHex,1
netbox,1
mifi_lossless-cut,0
pnpm,0
yolov5,1
Docker-OSX,1
NervJS_taro,0
act,1
AdminLTE,0
swagger-ui,3
uikit,0
jan,0
jquery_jquery,3
openpilot,1
harness,0
OpenAPITools_openapi-generator,0
kafka,1
rocksdb,1
jsdom,3
cli,2
element-plus,0
sqlitebrowser,2
windows95,0
neovim,2
rancher,1
angular-cli,0
honojs_hono,0
webtorrent,2
apache_airflow,0
prometheus,0
telescope.nvim,2
freqtrade,1
Rectangle,2
slint,0
draggable,0
kong,1
saleor,1
coc.nvim,0
pydantic,1
mjml,3
bruno,0
mkdocs-material,0
zig,2
dashy,0
outline,0
gitleaks,1
Jobs_Applier_AI_Agent_AIHawk,2
gson,2
mlc-llm,1
moby_moby,1
docusaurus,0
void,0
streamlit,0
filebrowser,0
CymChad_BaseRecyclerViewAdapterHelper,2
ice,0
brew,1
webpack,0
AnotherRedisDesktopManager,3
slidev,0
tiptap,0
Leaflet,3
apollographql_apollo-client,0
ArchiveBox,1
cursor-free-vip,2
parcel,0
mermaid,0
osquery,2
json-server,0
teambit_bit,0
disruptor,2
postiz-app,0
iced,2
crewAI,1
chatwoot_chatwoot,0
react-navigation,0
n8n-io_n8n,0
fingerprintjs,0
scrapy,1
canal,1
frigate,0
go-micro,1
NaiboWang_EasySpider,0
transformers,1
graal,1
portainer,0
linera-protocol,0
shap,1
actix-web,2
mrdoob_three.js,3
flow,0
OpenManus,0
spring-projects_spring-boot,3
LocalAI,1
PowerShell_PowerShell,1
heroui-inc_heroui,0
video.js,0
Perplexica,0
keras,1
yazi,3
etherpad-lite,0
Karabiner-Elements,0
Bend,2
Aerial,2
colima,1
llvm_llvm-project,0
reduxjs_redux,0
sst,0
pyscript,1
rustdesk,1
fastify,3
maybe,0
flutter_flutter,2
jeecgboot_JeecgBoot,0
LLaMA-Factory,1
lexical,0
lerna,0
minio,1
LLMs-from-scratch,1
incubator-seata,0
blueprint,0
vapor,2
magic-wormhole,1
components,0
ish,2
ollama_ollama,0
milvus,1
lo,1
grafana_loki,1
novuhq_novu,0
nnn,2
dbeaver_dbeaver,2
Ventoy,1
laravel-debugbar,2
source-code-hunter,3
UTM,2
phpunit,2
Rocket,2
zustand,0
autogen,0
postgrest,1
llama.cpp,1
bagisto,3
query,0
luigi,1
graphrag,1
create-t3-app,0
react-hook-form,0
microsoft_TypeScript,0
monaco-editor,0
everyone-can-use-english,0
fasthttp,2
calcom_cal.com,0
kubernetes_kubernetes,1
Stirling-PDF,1
serenity,1
unleashed-firmware,0
gpt_academic,1
fullPage.js,3
v86,0
vllm,1
ionicons,0
guidance,0
rust-lang_rust,0
react-scan,0
mantine,0
baidu_amis,0
ToolJet_ToolJet,0
dubbo,1
laurent22_joplin,0
srs,0
OpenHands,0
nginx,2
darkreader,0
ava,0
photoprism_photoprism,0
spacemacs,2
bubbletea,2
just,2
discord.js,0
Tasmota,2
unionlabs_union,0
chi,2
remix,0
Anuken_Mindustry,2
hutool,2
go-zero,1
marked,0
firefly-iii,3
v,2
dgtlmoon_changedetection.io,1
fuel-core,1
CopilotKit_CopilotKit,0
distroless,1
whisper,1
flux,1
vitess,0
express,3
HanLP,2
code-server,0
homebridge,0
docling,1
jhipster_generator-jhipster,0
decaporg_decap-cms,0
trufflehog,1
weui,3
x64dbg,2
Hyprland,2
yt-dlp,1
appium,0
elixir,2
kuboard-press,0
NginxProxyManager_nginx-proxy-manager,0
zed-industries_zed,0
nocodb_nocodb,0
nginx-proxy,2
MediaCrawler,3
sweetalert2,0
go,0
k3s,1
Ehviewer_CN_SXJ,2
mem0,0
Alamofire,2
cloudreve,1
ComfyUI,1
openjdk_jdk,2
nanoid,0
graphql-js,0
egui,2
deno,1
lutzroeder_netron,3
redisson,2
gkd,2
js-cookie,0
pytorch-lightning,1
starship,2
testify,2
wekan_wekan,0
badges_shields,0
polars,1
localstack,1
mpv,1
kit,0
terraform,3
pingora,1
guava,2
cadvisor,1
opentofu,0
autocomplete,0
react-native-web,3
HikariCP,2
flask,1
obsproject_obs-studio,2
kivy,1
jsoncrack.com,0
DoKit,2
vectordotdev_vector,0
tinygrad,1
tmux,2
nowinandroid,2
backbone,3
graphql,0
KaTeX,0
Langchain-Chatchat,0
vulhub,0
gradle,2
PostHog_posthog,0
YesPlayMusic,0
bitcoin,2
argoproj_argo-cd,0
jumpserver,1
redoc,0
dayjs,3
flink,0
gravitational_teleport,0
servers,0
Budibase_budibase,0
aider,1
FastGPT,0
uv,1
diffusers,1
rembg,1
helm,2
tesseract.js,3
framework,3
tabby,0
curl,1
acme.sh,2
uni-app,0
excalidraw,0
delta,2
quasarframework_quasar,0
vite,0
kubernetes_minikube,1
trpc,0
xxl-job,1
sway,1
poetry,1
python-telegram-bot,1
validator.js,3
microsoft_semantic-kernel,0
v8,0
koa,3
relay,0
black,1
hosts,1
yoga,0
fyne,2
glide,2
refinedev_refine,0
meilisearch,1
highlight.js,0
teable,0
Files,2
k9s,1
Apollo-11,3
apollo,1
amark_gun,0
hackathon-starter,3
agentic,0
pulumi,0
grpc_grpc,1
timqian_chinese-independent-blogs,3
diagrams,1
focalboard,0
mypy,1
vscodium,2
LightRAG,0
pytorch_pytorch,1
neon,0
