ecosystem,entropy,entropy_normalized
14,3.3155878604678306,0.7350235261545593
2,3.2873175480962464,0.7287563585935343
5,3.2856107975174247,0.7283779937660871
17,3.2755714979100707,0.7261524091313074
18,3.244917378353617,0.7193567819316201
7,3.1913424133441493,0.7074798957346398
6,3.1565065598298205,0.6997572314698801
0,2.869377205156484,0.6361043169291989
3,2.4123420550590184,0.5347854553159773
12,1.9698682170802178,0.4366946508164008
4,1.9361993456845223,0.4292306915981955
13,1.8866967846580784,0.4182566054057687
1,1.6987829895138011,0.37659851455350474
8,1.6957425341696346,0.37592448439588755
19,1.6094379124341005,0.356791850889823
9,1.5498260458782016,0.3435766606428695
16,1.5465986860485124,0.34286119614546573
15,1.0986122886681096,0.24354832755951314
11,1.0986122886681096,0.24354832755951314
10,1.0986122886681096,0.24354832755951314
