ngram_size,ngram,support,num_projects,occurrences,concepts,projects
3,jobs.build.steps.if -> jobs.build.steps.run -> jobs.build.steps.env.NETFLIX_OSS_SONATYPE_USERNAME,0.5306,26,27,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
3,jobs.build.steps.run -> jobs.build.steps.env.NETFLIX_OSS_SONATYPE_USERNAME -> jobs.build.steps.env.NETFLIX_OSS_SONATYPE_PASSWORD,0.5306,26,27,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
3,jobs.build.steps.env.NETFLIX_OSS_REPO_USERNAME -> jobs.build.steps.env.NETFLIX_OSS_REPO_PASSWORD -> jobs.build.steps.name,0.5306,26,26,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
3,jobs.build.steps.env.NETFLIX_OSS_REPO_PASSWORD -> jobs.build.steps.name -> jobs.build.steps.if,0.5306,26,26,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,jobs.build.steps.if -> jobs.build.steps.run,0.5306,26,53,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,jobs.build.steps.run -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY,0.5306,26,49,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,jobs.build.steps.run -> jobs.build.steps.env.NETFLIX_OSS_SONATYPE_USERNAME,0.5306,26,27,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,jobs.build.steps.env.NETFLIX_OSS_REPO_PASSWORD -> jobs.build.steps.name,0.5306,26,26,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
5,jobs.build.steps.name -> jobs.build.steps.if -> jobs.build.steps.run -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_PASSWORD,0.5102,25,25,github-action,"Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
5,jobs.build.steps.if -> jobs.build.steps.run -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_PASSWORD -> jobs.build.steps.env.NETFLIX_OSS_REPO_USERNAME,0.5102,25,25,github-action,"Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
4,jobs.build.steps.uses -> jobs.build.steps.id -> jobs.build.steps.with.path -> jobs.build.steps.with.key,0.5102,25,141,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo"
4,jobs.build.steps.name -> jobs.build.steps.if -> jobs.build.steps.run -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY,0.5102,25,25,github-action,"Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
4,jobs.build.steps.if -> jobs.build.steps.run -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_PASSWORD,0.5102,25,25,github-action,"Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
3,jobs.build.steps.uses -> jobs.build.steps.id -> jobs.build.steps.with.path,0.5102,25,141,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo"
3,jobs.build.steps.id -> jobs.build.steps.with.path -> jobs.build.steps.with.key,0.5102,25,141,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo"
3,jobs.build.steps.if -> jobs.build.steps.run -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY,0.5102,25,25,github-action,"Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,jobs.build.steps.uses -> jobs.build.steps.id,0.5102,25,141,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo"
2,jobs.build.steps.id -> jobs.build.steps.with.path,0.5102,25,141,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo"
2,jobs.build.runs-on -> jobs.build.environment,0.5102,25,50,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,jobs.build.steps.uses -> jobs.build.steps.with.fetch-depth,0.5102,25,30,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, concurrency-limits, dgs-codegen, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, vmaf, zuul"
2,on.push.branches -> jobs.build.runs-on,0.5102,25,26,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, servo, zuul"
5,jobs.build.steps.name -> jobs.build.steps.run -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_PASSWORD -> jobs.build.steps.env.NETFLIX_OSS_REPO_USERNAME,0.4898,24,24,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
4,jobs.build.steps.name -> jobs.build.steps.run -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_PASSWORD,0.4898,24,24,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
3,jobs.build.steps.with.path -> jobs.build.steps.with.key -> jobs.build.steps.with.restore-keys,0.4898,24,94,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, vmaf"
3,jobs.build.steps.name -> jobs.build.steps.run -> jobs.build.steps.env.NETFLIX_OSS_SIGNING_KEY,0.4898,24,24,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, awsobjectmapper, concurrency-limits, dgs-codegen, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis-gradle-plugin, metacat, msl, netflix-commons, photon, q, ribbon, servo, spectator, zuul"
2,jobs.build.steps.with.key -> jobs.build.steps.with.restore-keys,0.4898,24,94,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, concurrency-limits, dgs-codegen, dgs-framework, dyno-queues, dynomite-manager, eureka, frigga, governator, hollow, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, photon, q, ribbon, vmaf"
2,jobs.build.runs-on -> jobs.build.strategy.matrix.java,0.4898,24,25,github-action,"EVCache, Hystrix, Priam, Raigad, archaius, atlas, awsobjectmapper, concurrency-limits, dynomite-manager, eureka, frigga, governator, hollow, iep, mantis, mantis-gradle-plugin, mantis-mql, metacat, msl, netflix-commons, q, ribbon, servo, zuul"
