cluster,entropy,entropy_normalized,num_projects
-1,5.998477740366834,0.9562562336400061,66
6,4.519254813156465,0.7204437148122496,15
10,4.298758369183022,0.6852929468722214,13
2,3.2188758248682,0.5131418679991793,3
9,3.1495578745073565,0.5020914440408415,3
0,2.772588722239781,0.4419963470264759,43
8,2.5665989181145106,0.4091581766127556,4
3,2.4582044327855743,0.39187830882388947,3
5,2.0642580751745085,0.3290767654172586,6
7,1.6674619334292946,0.26582091944241637,3
12,0.7335417487636489,0.1169386468120049,16
11,0.4258484492385814,0.06788726270165667,16
1,-0.0,-0.0,3
4,-0.0,-0.0,6
