min_cluster_size,silhouette_score,n_clusters,n_noise
3,0.5451605612081932,13,64
4,0.4898704938356347,8,75
5,0.511641216660091,7,79
6,0.5042570594960599,6,84
7,0.5042570594960599,6,84
8,0.5042570594960599,6,84
9,0.5361352612219279,5,92
10,0.5361352612219279,5,92
11,0.5361352612219279,5,92
12,0.5361352612219279,5,92
13,0.5361352612219279,5,92
14,0.5361352612219279,5,92
15,0.24461493714881166,3,34
16,0.18586636202309254,2,1
17,0.18586636202309254,2,1
18,0.18586636202309254,2,1
19,0.18586636202309254,2,1
20,0.18586636202309254,2,1
