cluster_id,num_projects,top_options
-1,525,repository.type=git:330; private=True:324; type=module:289; license=MIT:281; version=1.0.0:161; version=0.0.0:159; main=index.js:153; files.files/dist=dist:141; sideEffects=False:116; version=0.0.1:103
0,17,browserslist.production.production/not dead=not dead:17; browserslist.production.production/not op_mini all=not op_mini all:17; browserslist.development.development/last 1 chrome version=last 1 chrome version:16; browserslist.development.development/last 1 firefox version=last 1 firefox version:16; browserslist.development.development/last 1 safari version=last 1 safari version:16; private=True:16; version=0.0.0:13; scripts.serve=docusaurus serve:12; scripts.deploy=docusaurus deploy:12; scripts.swizzle=docusaurus swizzle:12
1,45,"repository.type=git:23; version=1.0.0:21; scripts.test=echo ""Error: no test specified"" && exit 1:17; license=ISC:16; license=MIT:15; main=index.js:11; version=0.0.1:5; private=True:5; license=Apache-2.0:3; main=main.js:3"
2,14,type=module:7; private=True:6; repository.type=git:3; license=MIT:2; devDependencies.eslint=^7.25.0:1; dependencies.nprogress=^0.2.0:1; devDependencies.postcss-cli=^11.0.1:1; packageManager=pnpm@10.12.4+sha512.5ea8b0deed94ed68691c9bad4c955492705c5eeb8a87ef86bc62c74a26b037b08ff9570f108b2e4dbd1dd1a9186fea925e527f141c648e85af45631074680184:1; name=config:1; scripts.build=node ./scripts/build.js:1
