project,cluster,num_options,num_files
chroma,0,10,9
netdata,0,8,2
docsify,0,6,1
supabase,0,9,2
cube,0,8,3
langchain,0,6,2
tree-sitter,0,5,1
penpot,0,8,2
cobalt,0,8,1
glances,1,3,1
siyuan,0,9,1
firecrawl,0,9,3
Genesis,0,7,1
directus,0,9,1
bcc,1,4,1
ace,0,6,1
selenium,0,8,2
goaccess,0,8,1
onlook,0,6,4
skywalking,0,8,3
insomnia,1,4,1
bun,0,8,5
rclone,0,7,2
statsd,0,9,1
leetcode,0,6,1
invoke-ai_InvokeAI,0,8,1
wg-easy,0,6,1
AgentGPT,0,10,3
leptos,0,7,1
fish-shell,0,4,1
gatsby,0,7,3
taipy,0,2,1
mall,0,4,1
tornado,0,6,1
opencv,0,3,1
prophet,0,4,1
MetaGPT,1,6,1
hugo,0,12,1
Chat2DB,0,5,1
ray,0,8,14
daytona,0,10,5
RustPython,1,2,1
next-auth,0,7,1
trivy,0,4,2
ruoyi-vue-pro,0,7,1
anki,0,11,3
nvm,0,6,1
compiler-explorer,1,4,1
nushell,0,6,1
reflex,0,10,5
podman,1,6,2
GPT-SoVITS,0,8,1
anoma,0,6,1
OI-wiki,0,7,1
shardingsphere,1,7,2
spring-cloud-alibaba,0,5,7
mlflow,0,8,4
pm2,0,5,1
unilm,0,5,1
pathway,0,9,24
mediapipe,0,6,1
ntfy,0,6,1
envoy,0,7,2
dockge,0,9,1
astro,0,3,19
NextChat,0,7,1
monica,0,7,1
markitdown,0,8,2
vue-vben-admin,0,7,1
metasploit-framework,0,8,3
pytorch_geometric,1,2,1
khoj,0,8,3
restic,0,5,1
Clash-for-Windows_Chinese,0,7,1
lobe-chat,0,11,1
jekyll,0,4,1
qwik,0,7,3
dioxus,0,8,2
ghidra,0,7,1
PDFMathTranslate,0,7,1
compose,0,8,11
Iosevka,0,5,1
ccxt,0,5,1
consul,0,12,1
radare2,0,9,3
sherlock,1,7,2
influxdb,0,10,1
grpc-gateway,1,3,1
containerd,0,7,5
pandas-ai,0,4,1
SwiftLint,1,6,1
prefect,0,7,3
MMKV,0,4,1
tidb,0,8,3
fabric,0,7,1
mitmproxy,0,8,2
ultralytics,0,6,1
Xray-core,0,10,1
libgdx,0,3,1
spark,0,8,6
glance,0,7,1
browser-use,0,10,4
hoppscotch,0,7,3
locust,0,9,1
dokploy,0,8,1
infisical,0,10,3
open-interpreter,0,5,2
druid,0,3,1
puter,0,8,2
sniffnet,0,5,1
kestra,0,9,2
chatgpt-on-wechat,0,2,1
kotlin,0,9,4
dolt,0,5,1
surrealdb,0,9,1
grpc-go,0,6,5
d2,0,10,2
gum,1,3,1
3x-ui,0,9,1
crawlee,0,5,11
hyperswitch,0,9,2
parse-server,0,9,1
k6,0,8,3
prisma,0,4,2
text-generation-webui,0,8,5
metabase,0,8,4
appsmith,0,7,3
hello-algo,0,8,3
air,0,5,1
motion,1,2,1
ColossalAI,0,3,3
plane,1,4,1
signoz,0,6,2
PaddleOCR,1,6,2
hhvm,0,8,8
zx,1,4,1
Signal-Android,0,3,1
linux-insides,0,3,1
graphql-engine,0,10,14
crawl4ai,0,9,1
simdjson,0,5,1
deepface,0,7,1
wechaty,0,5,1
mindsdb,1,3,3
vaultwarden,0,9,1
coreutils,1,2,1
searxng,1,3,1
keycloak,0,10,2
Flowise,0,9,3
solidity,0,6,1
anything-llm,0,8,2
netty,0,4,3
detectron2,0,6,1
cloc,0,6,2
glow,1,3,1
langflow,0,8,4
