min_cluster_size,silhouette_score,n_clusters,n_noise
3,0.055753937801898676,43,109
4,0.05897301413713596,2,1
5,0.05897301413713596,2,1
6,0.05897301413713596,2,1
7,0.05897301413713596,2,1
8,0.05897301413713596,2,1
9,0.05897301413713596,2,1
10,0.05897301413713596,2,1
11,0.05897301413713596,2,1
12,0.05897301413713596,2,1
13,0.05897301413713596,2,1
14,0.05897301413713596,2,1
15,0.05897301413713596,2,1
16,0.05897301413713596,2,1
17,0.05897301413713596,2,1
18,0.05897301413713596,2,1
19,0.05897301413713596,2,1
20,0.05897301413713596,2,1
