cluster_id,num_projects,top_options
11,4,jobs.close-issues.steps.with.actions=close-issues:3; jobs.close-issues.steps.uses=actions-cool/issues-helper@v2.2.1:3; on.schedule.cron=0 0 * * *:3; jobs.close-issues.runs-on=ubuntu-latest:3; jobs.close-issues.steps.with.token=${{ secrets.GITHUB_TOKEN }}:2; jobs.reply-labeled.steps.with.issue-number=${{ github.event.issue.number }}:2; jobs.reply-labeled.steps.uses=actions-cool/issues-helper@v2.2.1:2; jobs.reply-labeled.steps.if=github.event.label.name == 'missing demo':2; jobs.reply-labeled.runs-on=ubuntu-latest:2; jobs.close-issues.steps.name=missing demo:2
12,3,permissions.pull-requests=write:2; jobs.deploy.strategy.matrix.python-version=3.10:1; jobs.publish-release.runs-on=ubuntu-latest:1; jobs.ios.steps.shell=bash:1; jobs.ios.runs-on=macos-13:1; name=build:1; jobs.release.steps.with.draft=false:1; on.push.tags=5.*:1; jobs.linux-s390x.steps.uses=actions/checkout@v4:1; jobs.release.steps.name=Generate checksums:1
13,3,"jobs.build-and-push.steps.with.context=.:3; jobs.build-and-push.steps.with.username=${{ github.actor }}:3; jobs.build-and-push.steps.id=meta:3; jobs.build-and-push.steps.name=Extract metadata for Docker:3; jobs.build-and-push.steps.with.labels=${{ steps.meta.outputs.labels }}:3; jobs.build-and-push.steps.with.password=${{ secrets.GITHUB_TOKEN }}:3; jobs.build-and-push.steps.with.push=true:3; jobs.build-and-push.steps.with.tags=${{ steps.meta.outputs.tags }}:3; jobs.build-and-push.runs-on=ubuntu-latest:3; jobs.build-and-push.steps.with.platforms=linux/amd64,linux/arm64:2"
14,6,concurrency.cancel-in-progress=true:4; permissions.pull-requests=write:4; on=push:3; jobs.goreleaser.secrets.gh_pat=${{ secrets.PERSONAL_ACCESS_TOKEN }}:3; on=pull_request:3; name=build:3; name=dependabot-sync:3; permissions.contents=write:3; on.pull_request.branches=main:3; name=goreleaser:3
15,6,on.pull_request.types=reopened:5; on.pull_request.types=synchronize:5; on.pull_request.types=opened:5; jobs.build.steps.uses=actions/upload-artifact@v4:4; jobs.build.runs-on=ubuntu-latest:4; jobs.build.steps.uses=actions/checkout@v4:4; concurrency.cancel-in-progress=true:3; permissions.pull-requests=write:3; on.push.branches=main:3; on.pull_request.types=labeled:3
16,8,on.push.branches=main:4; concurrency.cancel-in-progress=true:4; permissions.contents=read:4; on.push.branches=master:4; on.pull_request.branches=main:3; jobs.build.runs-on=${{ matrix.os }}:2; jobs.CodeQL.steps.name=Perform CodeQL Analysis:2; on.pull_request.branches=dev:2; on.pull_request.branches=master:2; on=pull_request:2
17,4,name=CI:3; jobs.test.steps.with.filter=tree:0:2; jobs.test.steps.uses=actions/checkout@v4:2; jobs.test.steps.uses=actions/cache@v4:2; jobs.test.timeout-minutes=60:2; jobs.test.steps.with.fetch-depth=0:2; jobs.test.runs-on=ubuntu-latest:2; jobs.release.steps.uses=actions/setup-node@v4:1; jobs.test.steps.with.node-version-file=.nvmrc:1; on.workflow_dispatch.inputs.increment.type=choice:1
18,10,permissions.contents=read:3; on.push.branches=main:3; on.push.branches=master:3; jobs.build.strategy.matrix.os=windows-latest:2; jobs.build-windows.strategy.fail-fast=false:2; jobs.build-macos.steps.uses=actions/checkout@v4:2; jobs.build-windows.steps.uses=actions/checkout@v4:2; jobs.build-macos.steps.name=Configure:2; jobs.build-macos.steps.name=Build:2; on=pull_request:2
19,13,on.push.branches=main:7; on.issue_comment.types=created:4; on.release.types=published:4; jobs.build.runs-on=ubuntu-latest:4; on=push:3; permissions.pull-requests=write:3; permissions.contents=read:3; on.push.branches=master:3; on.push.tags=v*:3; on.issues.types=opened:3
20,4,jobs.build.runs-on=ubuntu-latest:2; on.push.branches=master:2; on.pull_request.types=opened:2; jobs.build.steps.uses=actions/checkout@v4:2; permissions.contents=write:2; on=push:2; concurrency.cancel-in-progress=true:2; jobs.build.steps.uses=actions/upload-artifact@v4:2; on.pull_request_target.types=synchronize:1; jobs.release.steps.name=Get yarn cache directory path:1
21,4,jobs.release.runs-on=ubuntu-latest:2; name=ci:2; jobs.release.steps.uses=actions/checkout@v4:2; jobs.release.steps.with.persist-credentials=false:1; jobs.build.steps.name=Set up QEMU:1; jobs.docker.steps.name=Checkout repository:1; jobs.docs.steps.name=Deploy:1; jobs.lint.steps.name=Checkout:1; jobs.release.steps.with.prerelease=false:1; jobs.build.steps.if=github.event_name != 'pull_request':1
22,8,on=push:4; on=pull_request:4; permissions.contents=read:3; on.push.paths-ignore=*.md:2; on.pull_request.branches=master:2; on.issues.types=opened:2; on.pull_request.branches=*:2; jobs.deploy.runs-on=ubuntu-latest:2; on.push.branches=*:2; on.push.branches=master:2
23,4,jobs.build.strategy.matrix.settings.target=x86_64-apple-darwin:4; jobs.build.steps.run=${{ matrix.settings.build }}:4; jobs.build.steps.name=Build in docker:4; jobs.build.steps.shell=bash:4; jobs.build.strategy.matrix.settings.docker=ghcr.io/napi-rs/napi-rs/nodejs-rust:lts-debian:4; jobs.build.steps.name=Install dependencies:4; jobs.publish.runs-on=ubuntu-latest:4; jobs.build.strategy.matrix.settings.host=windows-latest:4; env.DEBUG=napi:*:4; jobs.publish.steps.name=Download all artifacts:4
24,5,on.schedule.cron=0 0 * * *:3; name=Lock Threads:2; concurrency.cancel-in-progress=true:2; on=pull_request:2; on.push.branches=main:2; jobs.action.steps.with.log-output=true:2; jobs.build.steps.uses=actions/checkout@v4:2; jobs.action.steps.with.issue-lock-reason=resolved:2; permissions.contents=write:2; jobs.action.runs-on=ubuntu-latest:2
25,3,jobs.build.steps.uses=actions/checkout@v4:3; jobs.build.runs-on=ubuntu-latest:3; jobs.stale.runs-on=ubuntu-latest:2; on.push.branches=main:2; jobs.build.steps.uses=actions/upload-artifact@v4:2; permissions.pull-requests=write:2; permissions.issues=write:2; jobs.build.steps.with.node-version=${{ matrix.node-version }}:2; jobs.release.runs-on=ubuntu-latest:2; jobs.build.steps.name=Use Node.js ${{ matrix.node-version }}:2
26,6,jobs.build.steps.uses=actions/upload-artifact@v4:6; jobs.build.steps.name=Upload digest:6; jobs.build.steps.with.if-no-files-found=error:6; jobs.build.steps.with.platforms=${{ matrix.platform }}:6; jobs.build.steps.name=Export digest:6; jobs.build.steps.name=Prepare:6; jobs.build.steps.with.retention-days=1:6; jobs.build.steps.id=build:6; jobs.build.steps.id=meta:5; jobs.merge.runs-on=ubuntu-latest:5
27,3,on=pull_request:2; on=push:2; jobs.build.steps.uses=actions/checkout@v4:2; jobs.build.runs-on=ubuntu-latest:2; on.pull_request.types=opened:1; jobs.build.steps.with.python-version=3.9:1; jobs.test.steps.with.check-latest=true:1; name=Examples:1; jobs.test.steps.uses=actions/setup-node@v4:1; jobs.publish.steps.run=npm publish:1
28,4,on.issue_comment.types=created:2; on.push.branches=master:2; jobs.build.runs-on=ubuntu-latest:2; jobs.build.steps.uses=actions/checkout@v4:2; permissions.issues=write:2; permissions.contents=read:2; jobs.lint.runs-on=ubuntu-latest:2; jobs.build.steps.if=github.event_name == 'push':1; jobs.build.steps.if=github.event_name == 'pull_request':1; name=Support Requests:1
29,14,on.push.branches=main:5; name=CI:4; on=pull_request:4; concurrency.cancel-in-progress=true:3; on=push:3; on.push.branches=master:3; jobs.macos.steps.uses=actions/checkout@v4:3; jobs.macos.steps.name=Install dependencies:3; jobs.build.steps.uses=actions/checkout@v4:2; jobs.test.runs-on=ubuntu-latest:2
30,6,on.push.branches=main:3; on.push.branches=master:3; permissions.contents=read:3; name=build:2; concurrency.cancel-in-progress=true:2; name=CI:2; jobs.release.runs-on=ubuntu-latest:2; jobs.build.steps.with.retention-days=2:1; jobs.lint-docs.runs-on=ubuntu-latest:1; on.push.tags=[0-9]+.[0-9]+.[0-9]+*:1
31,4,concurrency.cancel-in-progress=true:3; on.release.types=published:2; name=Code scanning - action:2; on.pull_request.types=reopened:2; on.pull_request.types=edited:2; on.pull_request.types=synchronize:2; jobs.CodeQL-Build.steps.name=Perform CodeQL Analysis:2; on.pull_request.types=opened:2; jobs.CodeQL-Build.steps.name=Initialize CodeQL:2; jobs.CodeQL-Build.steps.name=Checkout repository:2
32,3,"on.push.branches=**:3; jobs.comment-pr.steps.with.task=${{ needs.spelling.outputs.followup }}:3; jobs.spelling.steps.with.use_magic_file=1:3; jobs.spelling.steps.with.suppress_push_for_open_pull_request=${{ github.actor != 'dependabot[bot]' && 1 }}:3; jobs.spelling.steps.with.post_comment=0:3; jobs.spelling.steps.with.dictionary_source_prefixes={ ""cspell"": ""https://raw.githubusercontent.com/check-spelling/cspell-dicts/v20241114/dictionaries/"" }
:3; jobs.spelling.steps.with.checkout=true:3; jobs.spelling.steps.with.check_file_names=1:3; jobs.spelling.steps.id=spelling:3; jobs.spelling.runs-on=ubuntu-latest:3"
33,11,jobs.build.steps.with.tags=${{ steps.meta.outputs.tags }}:9; jobs.build.steps.with.password=${{ secrets.GITHUB_TOKEN }}:9; jobs.build.steps.with.labels=${{ steps.meta.outputs.labels }}:9; jobs.build.steps.id=meta:9; jobs.build.steps.with.context=.:9; jobs.build.permissions.packages=write:8; jobs.build.permissions.contents=read:8; jobs.build.steps.name=Build and push Docker image:7; jobs.build.steps.uses=docker/login-action@v3:7; jobs.build.steps.uses=actions/checkout@v4:7
34,9,on=pull_request:4; jobs.build.runs-on=ubuntu-latest:4; on=push:4; on.issues.types=opened:3; on.issue_comment.types=created:3; jobs.build.steps.uses=actions/checkout@v4:3; on.push.branches=master:3; jobs.build.steps.uses=actions/setup-node@v4:2; jobs.publish.steps.uses=actions/checkout@v2:2; on.push.branches=main:2
