min_cluster_size,silhouette_score,n_clusters,n_noise
3,0.26432261904051696,17,94
4,0.1750148686774625,10,103
5,0.09649909204969799,2,1
6,0.09649909204969799,2,1
7,0.09649909204969799,2,1
8,0.09649909204969799,2,1
9,0.09649909204969799,2,1
10,0.09649909204969799,2,1
11,0.09649909204969799,2,1
12,0.09649909204969799,2,1
13,0.09649909204969799,2,1
14,0.09649909204969799,2,1
15,0.09649909204969799,2,1
16,0.09649909204969799,2,1
17,0.09649909204969799,2,1
18,0.09649909204969799,2,1
19,0.09649909204969799,2,1
20,0.09649909204969799,2,1
