k,silhouette_score,n_clusters
2,0.020402714363165153,2
3,0.020368085653332157,3
4,0.020312835921950115,4
5,0.02022933775268306,5
6,0.02011563536333615,6
7,0.019982606789647212,7
8,0.019792939864525468,8
9,0.019580158434883685,9
10,0.019143701524311385,10
11,0.018798328778397422,11
12,0.018216404973526182,12
13,0.017259291699154813,13
14,0.016074718971798355,14
15,0.01367534011507939,15
16,0.013060271188649145,16
17,0.012675498355710753,17
18,0.011802754255600059,18
19,0.011843362312177834,19
20,0.011128562517834261,20
