cluster_id,num_projects,top_options
0,425,"COPY=. .:142; WORKDIR=/app:125; ENV=PATH="":88; EXPOSE=8080:49; ARG=TARGETARCH:47; USER=root:42; EXPOSE=3000:41; ENV=DEBIAN_FRONTEND=noninteractive:41; ARG=TARGETPLATFORM:33; ENV=NODE_ENV=production:30"
1,27,
2,2,RUN=update-ca-certificates:2; COPY=examples examples:1; FROM=debian:latest:1; ARG=build_date:1; RUN=apk update:1; WORKDIR=/srv:1; COPY=scripts scripts:1
3,1,RUN=apk add --no-cache bash:1
4,1,WORKDIR=/workdir:1
5,2,ENV=DENO_INSTALL=/usr:2; FROM=mcr.microsoft.com/devcontainers/typescript-node:20:1; RUN=curl -fsSL https://bun.sh/install | bash:1
6,2,"FROM=dockurr/windows-arm:${VERSION_ARG} AS build-arm64:2; FROM=build-${TARGETARCH}:2; RUN=echo ""$VERSION_ARG"" > /run/version:2; EXPOSE=8006:2; ARG=VERSION_ARG=""0.00"":2; ARG=VERSION_ARG=""latest"":2; ENTRYPOINT=/usr/bin/tini -s /run/entry.sh:2; FROM=scratch AS build-amd64:2; ARG=DEBIAN_FRONTEND=""noninteractive"":2; ARG=DEBCONF_NOWARNINGS=""yes"":2"
7,1,FROM=openjdk:8-jdk-alpine:1
8,1,RUN=make:1
9,1,FROM=centos:7:1
10,1,ARG=GOARCH:1
11,1,RUN=chmod +x /docker-entrypoint.sh:1; CMD=/docker-entrypoint.sh:1
12,1,EXPOSE=4000:1
13,2,FROM=gcr.io/distroless/static:2
