k,silhouette_score,n_clusters
2,0.02344965921572587,2
3,0.023468004397259982,3
4,0.023471973198809917,4
5,0.023456792283967094,5
6,0.02343358211649053,6
7,0.02552686515891078,7
8,0.02538395162648841,8
9,0.027046215273323918,9
10,0.025950971558710047,10
11,0.02491022820218095,11
12,0.02367461134222984,12
13,0.02315692742749275,13
14,0.021576909981369647,14
15,0.01998425959253614,15
16,0.018340858191015726,16
17,0.016733593146166268,17
18,0.016003656828433518,18
19,0.014264267180570415,19
20,0.01439844781434909,20
