project,cluster,num_options,num_files
Langchain-Chatchat,-1,171,2
vulhub,-1,28,7
posthog,-1,696,43
YesPlayMusic,-1,104,1
argo-cd,-1,118,1
redoc,-1,156,1
dayjs,-1,55,1
flink,-1,65,1
teleport,-1,198,7
servers,-1,47,5
budibase,-1,517,16
FastGPT,-1,293,11
tesseract.js,-1,68,1
framework,-1,12,1
tabby,-1,419,11
uni-app,-1,627,84
excalidraw,0,203,10
quasar,-1,430,35
vite,-1,545,221
minikube,2,3,1
trpc,-1,484,39
validator.js,-1,47,1
semantic-kernel,-1,31,3
v8,-1,44,3
koa,-1,47,1
relay,-1,214,9
hosts,1,12,1
yoga,-1,81,3
refine,-1,754,253
highlight.js,-1,63,1
teable,-1,608,12
Apollo-11,-1,3,1
gun,-1,291,6
hackathon-starter,-1,89,1
agentic,-1,372,89
pulumi,-1,67,1
chinese-independent-blogs,1,12,1
diagrams,-1,9,1
focalboard,-1,171,8
LightRAG,-1,92,1
neon,1,3,1
trilium,-1,457,23
logseq,-1,444,18
uppy,-1,441,75
pocketbase,-1,32,1
IOPaint,-1,75,1
open-webui,-1,141,1
pixijs,-1,218,2
laravel,-1,11,1
django,-1,12,1
xterm.js,-1,103,14
diff-so-fancy,1,9,1
etcher,-1,127,1
phaser,-1,80,1
twenty,-1,604,16
pdf.js,-1,64,2
bootstrap,-1,162,1
redash,-1,209,2
eleventy,-1,104,1
simple-icons,-1,86,2
drawio-desktop,-1,35,1
node-red,-1,115,8
memos,-1,70,1
react-redux,-1,93,3
commander.js,-1,48,1
RSSHub,-1,209,1
core-js,-1,112,10
sentry,-1,344,3
pure,0,67,2
TDengine,1,6,1
matomo,-1,309,12
uptime-kuma,-1,217,6
electron,-1,165,50
Sortable,-1,33,1
react-bootstrap,0,131,2
flatbuffers,-1,34,3
openzeppelin-contracts,-1,82,3
payload,-1,1257,78
MiniCPM-o,-1,37,1
chroma,-1,211,30
netdata,2,4,1
electron-react-boilerplate,-1,157,2
eruda,-1,69,1
delve,-1,15,1
livewire,2,18,1
docsify,-1,94,1
supabase,-1,965,50
cube,-1,592,69
langchain,0,66,1
tree-sitter,-1,85,4
lighthouse,-1,226,11
penpot,-1,175,11
cobalt,-1,77,5
Wox,-1,37,2
glances,-1,33,1
Sa-Token,-1,34,3
siyuan,-1,57,1
firecrawl,-1,203,6
tailwindcss,-1,282,28
directus,-1,453,35
anime,-1,34,1
automa,-1,132,1
ace,-1,64,4
brave-browser,2,34,1
selenium,-1,87,3
ws,-1,39,3
onlook,-1,276,27
dev-sidecar,-1,78,5
insomnia,-1,266,5
SingleFile,-1,12,1
bun,-1,673,51
eslint,-1,238,6
statsd,1,20,1
refined-github,-1,144,1
FreeTube,-1,104,1
leetcode,-1,12,1
react-spring,-1,224,56
invoke-ai_InvokeAI,-1,140,2
Inquirer.js,-1,101,21
godot,-1,16,1
wg-easy,-1,65,2
AgentGPT,-1,102,2
vagrant,-1,16,1
cypress,-1,1134,55
leptos,-1,80,15
gatsby,-1,1128,272
taipy,-1,112,5
alpine,-1,32,16
opencv,1,11,2
asdf,-1,8,1
MetaGPT,1,39,2
joi,-1,59,3
hugo,1,16,2
vue2-elm,-1,59,1
Chat2DB,-1,109,2
ray,0,95,1
intro.js,-1,93,2
daytona,-1,272,5
youtube-music,-1,161,1
RustPython,-1,34,3
theia,-1,581,93
github-readme-stats,-1,53,1
recharts,-1,139,1
svelte,-1,142,4
next-auth,-1,357,46
jest,-1,610,304
react-admin,-1,294,31
fullcalendar,-1,116,20
tldraw,-1,501,44
anki,-1,82,1
nvm,1,32,1
compiler-explorer,-1,149,2
heroicons,-1,103,3
Babylon.js,-1,356,83
OI-wiki,-1,50,1
material-ui,-1,538,46
deskreen,-1,349,3
mlflow,-1,287,6
pm2,-1,62,10
gulp,-1,32,1
pathway,-1,40,1
svgo,-1,75,1
mediapipe,-1,33,3
styled-components,-1,135,5
ntfy,-1,49,1
dockge,-1,91,1
astro,-1,488,99
NextChat,-1,87,1
monica,-1,54,1
mocha,-1,183,2
framework7,-1,403,9
vue-vben-admin,-1,372,43
xstate,-1,287,77
floating-ui,-1,198,12
khoj,-1,137,4
mobx,-1,153,7
Clash-for-Windows_Chinese,-1,1491,217
nacos,-1,68,1
daisyui,-1,106,4
miaosha,1,9,3
lobe-chat,-1,520,18
qwik,-1,715,55
lit,-1,1593,66
dioxus,-1,67,2
Iosevka,-1,72,14
ccxt,-1,248,7
mdBook,-1,4,1
consul,-1,228,13
gpt4all,-1,33,1
ant-design-pro,-1,86,1
radare2,1,20,3
grpc-gateway,1,19,1
drizzle-orm,-1,237,9
prefect,-1,138,3
clash-verge-rev,-1,100,1
tidb,-1,21,1
qBittorrent,1,19,1
react-router,-1,342,50
bilibili-API-collect,2,11,1
fabric,-1,71,1
mdb-ui-kit,2,8,1
mitmproxy,-1,54,1
cherry-studio,-1,237,1
CasaOS,-1,21,1
continue,-1,602,25
headlessui,-1,127,6
fonts,2,14,1
matplotlib,-1,10,1
emscripten,-1,24,1
hexo,-1,68,1
upscayl,-1,149,1
spark,2,8,2
Folo,-1,566,26
yew,0,58,3
GSAP,2,15,1
hoppscotch,-1,441,16
locust,-1,84,2
dokploy,-1,233,6
infisical,-1,369,4
puter,-1,211,27
nw.js,-1,2,1
kestra,-1,140,1
mdx,-1,240,10
beekeeper-studio,-1,314,7
carbon-lang,-1,43,1
MagicMirror,-1,89,1
kotlin,1,11,3
dolt,1,7,1
fabric.js,-1,121,5
ignite,-1,131,2
d2,-1,29,1
ant-design-vue,-1,274,1
solid,-1,226,13
htmx,-1,78,1
crawlee,-1,248,31
hyperswitch,1,4,1
postcss,-1,90,1
parse-server,-1,147,3
esbuild,-1,89,39
sharp,-1,122,16
prisma,-1,511,42
OpenAPI-Specification,-1,20,1
lx-music-desktop,-1,180,1
react-testing-library,-1,68,1
ip2region,-1,46,2
metabase,-1,547,8
appsmith,-1,580,15
angular,-1,510,62
hello-algo,2,5,1
p5.js,-1,91,1
motion,-1,168,21
swr,-1,124,28
plane,-1,237,21
mongoose,-1,127,10
signoz,-1,235,1
bulletproof-react,-1,119,4
hhvm,0,57,5
zx,-1,130,1
dash,-1,255,11
graphql-engine,-1,528,32
simdjson,1,7,1
vant-weapp,-1,53,2
wechaty,-1,105,1
mindsdb,-1,2,1
jotai,-1,176,9
gitbook,-1,166,11
retrofit,-1,12,1
ember.js,-1,450,33
searxng,-1,41,2
keycloak,-1,169,8
n,1,16,1
Flowise,-1,437,6
anything-llm,-1,169,4
NativeScript,-1,230,22
wails,0,80,31
langflow,-1,176,4
fx,1,8,1
openui,-1,143,1
screenshot-to-code,-1,74,2
gpt-researcher,0,119,5
oh-my-posh,0,32,2
ant-design,-1,313,1
zod,-1,174,7
yup,-1,76,1
slate,-1,156,9
playwright,-1,233,31
sequelize,-1,239,13
ai-hedge-fund,-1,47,1
typeorm,-1,227,3
dub,-1,281,12
wiki,-1,347,1
lottie-ios,1,9,1
ruff,-1,60,5
traefik,-1,75,1
ml-agents,-1,11,2
WordPress,-1,68,3
AFFiNE,-1,1125,109
reveal.js,-1,65,1
handsontable,-1,505,55
litellm,0,102,5
OpenBB,-1,100,3
tabler-icons,-1,184,13
swiper,-1,197,2
spring-framework,-1,7,1
ente,-1,159,30
remotion,-1,2441,100
