project,cluster,num_options,num_files
vue-pure-admin,4,16,2
mongo,9,1,1
typescript-go,3,24,2
halo,0,16,2
storybook,0,15,4
commitlint,0,1,2
turborepo,0,43,14
voice-changer,8,13,5
unocss,3,8,3
vue-admin-better,1,34,1
table,2,2,2
echarts,14,2,1
next.js,3,15,6
platform,0,20,3
react,0,2,1
aspnetcore,3,42,16
chakra-ui,0,7,3
html5-boilerplate,0,12,2
quivr,3,18,3
spotube,16,142,4
strapi,11,1,1
arthas,2,2,1
editor.js,18,37,1
ui,9,1,2
puppeteer,9,2,1
fuels-ts,0,20,2
rrweb,0,1,2
PicGo,3,19,3
dify,0,3,2
dragonfly,3,13,1
dgraph,3,24,3
ruby,3,12,3
tabler,6,7,1
FlClash,5,49,1
docs,0,10,1
immich,3,86,5
rollup,3,17,2
Ghost,6,12,2
maui,9,4,3
vueuse,0,5,3
LibreChat,3,9,1
hey,1,30,2
spaCy,0,4,1
tauri,0,6,2
1Panel,9,1,1
gradio,0,33,2
taro,0,27,4
act,4,11,2
jan,0,4,2
harness,0,17,3
element-plus,3,53,3
hono,0,8,4
slint,2,4,6
draggable,0,30,5
saleor,8,18,3
mkdocs-material,3,49,3
void,3,58,35
streamlit,0,10,2
brew,4,13,3
slidev,3,18,5
tiptap,0,67,2
apollo-client,3,16,2
parcel,3,13,3
mermaid,0,4,2
chatwoot,9,2,2
n8n,0,17,5
frigate,3,6,2
OpenManus,10,3,2
LocalAI,3,19,2
PowerShell,3,30,4
Karabiner-Elements,6,10,1
llvm-project,3,11,4
sst,3,10,31
rustdesk,3,6,1
lexical,0,3,2
LLMs-from-scratch,4,7,1
blueprint,14,21,3
components,0,17,5
novu,3,76,11
create-t3-app,0,36,3
react-hook-form,3,17,2
TypeScript,0,4,2
monaco-editor,3,13,3
cal.com,3,22,4
react-scan,1,12,1
amis,18,546,3
ToolJet,3,45,3
joplin,15,3,2
srs,5,89,3
discord.js,0,58,8
Tasmota,9,5,2
union,3,10,3
remix,0,8,4
CopilotKit,6,31,16
homebridge,9,1,1
generator-jhipster,3,76,2
appium,3,30,3
sweetalert2,0,10,2
netron,13,7,2
js-cookie,0,3,1
wekan,9,5,2
shields,0,9,2
autocomplete,0,5,2
graphql,0,63,21
KaTeX,0,4,2
teleport,3,13,1
budibase,0,17,3
FastGPT,3,13,2
uni-app,0,1,1
quasar,0,23,14
vite,2,2,4
trpc,0,10,6
semantic-kernel,6,84,18
relay,3,14,6
refine,1,8,2
teable,0,29,3
focalboard,0,2,7
trilium,4,11,2
uppy,1,1,7
xterm.js,3,36,3
twenty,0,51,4
bootstrap,0,12,2
react-redux,0,1,1
payload,0,37,40
MiniCPM-o,0,4,2
electron-react-boilerplate,3,36,3
okhttp,7,1,1
docsify,8,2,2
supabase,17,15,1
penpot,19,6,2
Wox,9,1,3
directus,0,9,2
automa,12,2,1
insomnia,3,72,4
bun,3,15,7
FreeTube,3,41,3
wg-easy,0,32,2
hugo,0,3,1
Chat2DB,7,87,2
daytona,3,8,2
RustPython,3,8,3
crystal,3,6,1
github-readme-stats,0,3,2
svelte,3,8,2
next-auth,0,9,5
jest,0,9,5
fullcalendar,0,2,2
cosmopolitan,9,20,1
Babylon.js,0,45,4
material-ui,3,15,2
deskreen,3,50,4
jellyfin,3,17,4
styled-components,0,8,2
astro,3,23,34
monica,9,2,1
framework7,0,7,1
vue-vben-admin,3,9,3
xstate,3,17,6
qwik,0,21,10
lit,0,4,18
dioxus,9,3,9
prefect,0,3,2
react-router,0,2,1
fabric,16,114,1
cherry-studio,3,20,3
continue,3,66,6
Folo,3,21,3
hoppscotch,2,4,2
locust,8,59,3
dokploy,1,5,2
carbon-lang,3,28,4
fabric.js,2,2,2
core,9,3,1
metabase,0,17,4
angular,3,13,3
motion,0,6,1
bulletproof-react,0,7,6
graphql-engine,0,5,2
simdjson,5,124,2
deepface,1,12,1
gitbook,1,16,2
coreutils,9,1,2
anything-llm,7,59,3
NativeScript,6,10,4
hiddify-app,4,7,3
wails,0,2,4
openui,0,33,4
screenshot-to-code,9,3,1
oh-my-posh,3,71,4
zod,1,21,3
slate,0,9,3
typeorm,0,7,2
wiki,0,13,3
ruff,2,1,2
AFFiNE,0,4,1
tabler-icons,6,7,1
openwrt,9,1,1
swiper,0,3,1
remotion,0,29,3
