cluster_id,num_projects,top_options
-1,252,compilerOptions.strict=True:181; compilerOptions.esModuleInterop=True:177; compilerOptions.skipLibCheck=True:165; compilerOptions.resolveJsonModule=True:144; compilerOptions.noEmit=True:136; compilerOptions.allowJs=True:132; exclude.exclude/node_modules=node_modules:132; compilerOptions.moduleResolution=node:127; compilerOptions.forceConsistentCasingInFileNames=True:127; compilerOptions.lib.lib/dom=dom:124
0,6,extends=astro/tsconfigs/strict:6; include.include/.astro/types.d.ts=.astro/types.d.ts:4; exclude.exclude/dist=dist:4; include.include/**/*=**/*:4; compilerOptions.strictNullChecks=True:2; extends=../../tsconfig.base.json:2; compilerOptions.outDir=dist:1; compilerOptions.jsxImportSource=react:1; compilerOptions.strict=True:1; compilerOptions.noEmit=True:1
1,11,references.path=./tsconfig.node.json:10; references.path=./tsconfig.app.json:8; compilerOptions.esModuleInterop=True:1; compilerOptions.strict=True:1; include.include/.=.:1; references.path=./tsconfig.lib.json:1; references.path=./tsconfig.dev.json:1; compilerOptions.baseUrl=.:1; compilerOptions.target=ESNext:1; references.path=./tsconfig.web.json:1
2,4,compilerOptions.strict=True:3; compilerOptions.moduleResolution=node:2; compilerOptions.lib.lib/dom=dom:2; compilerOptions.declaration=False:2; exclude.exclude/node_modules=node_modules:1; compilerOptions.baseUrl=.:1; compilerOptions.target=es6:1; compilerOptions.emitDeclarationOnly=True:1; compilerOptions.noImplicitAny=False:1; compilerOptions.target=ES2022:1
3,4,compilerOptions.moduleResolution=node:4; compilerOptions.outDir=dist:3; compilerOptions.experimentalDecorators=True:3; compilerOptions.baseUrl=.:3; compilerOptions.skipLibCheck=True:3; compilerOptions.sourceMap=True:3; compilerOptions.esModuleInterop=True:2; compilerOptions.strictNullChecks=False:2; compilerOptions.emitDecoratorMetadata=True:2; compilerOptions.strict=True:2
4,6,compilerOptions.skipLibCheck=True:5; compilerOptions.resolveJsonModule=True:5; compilerOptions.esModuleInterop=True:5; compilerOptions.strict=True:5; compilerOptions.moduleResolution=node:4; compilerOptions.sourceMap=True:4; compilerOptions.lib.lib/dom=dom:4; exclude.exclude/node_modules=node_modules:4; compilerOptions.rootDir=.:3; compilerOptions.experimentalDecorators=True:3
5,4,compilerOptions.strictNullChecks=True:4; compilerOptions.esModuleInterop=True:4; compilerOptions.strict=True:3; compilerOptions.sourceMap=True:3; compilerOptions.alwaysStrict=True:3; compilerOptions.noUnusedLocals=True:3; compilerOptions.skipLibCheck=True:3; compilerOptions.noFallthroughCasesInSwitch=True:3; compilerOptions.noImplicitThis=True:2; compilerOptions.lib.lib/esnext=esnext:2
6,4,compilerOptions.allowSyntheticDefaultImports=True:3; compilerOptions.sourceMap=True:3; compilerOptions.strict=True:3; compilerOptions.module=commonjs:3; compilerOptions.jsx=react:3; compilerOptions.moduleResolution=node:3; compilerOptions.allowJs=True:2; compilerOptions.skipLibCheck=True:2; compilerOptions.resolveJsonModule=True:2; compilerOptions.pretty=True:2
7,7,compilerOptions.module=commonjs:7; exclude.exclude/node_modules=node_modules:6; compilerOptions.strict=True:6; compilerOptions.rootDir=src:5; include.include/src=src:5; compilerOptions.outDir=out:4; compilerOptions.sourceMap=True:4; exclude.exclude/.vscode-test=.vscode-test:3; compilerOptions.skipLibCheck=True:3; compilerOptions.esModuleInterop=True:3
8,4,compilerOptions.jsx=preserve:4; compilerOptions.lib.lib/dom=dom:4; compilerOptions.target=esnext:4; compilerOptions.lib.lib/esnext=esnext:4; compilerOptions.skipLibCheck=True:4; compilerOptions.esModuleInterop=True:4; compilerOptions.sourceMap=True:4; compilerOptions.strict=True:4; compilerOptions.baseUrl=.:4; compilerOptions.module=esnext:4
9,5,compilerOptions.forceConsistentCasingInFileNames=True:5; compilerOptions.target=ESNext:5; compilerOptions.isolatedModules=True:5; compilerOptions.jsx=react-jsx:5; compilerOptions.lib.lib/DOM.Iterable=DOM.Iterable:5; compilerOptions.lib.lib/DOM=DOM:5; compilerOptions.noEmit=True:5; compilerOptions.strict=True:5; compilerOptions.lib.lib/ESNext=ESNext:5; compilerOptions.resolveJsonModule=True:5
10,8,compilerOptions.lib.lib/esnext=esnext:8; compilerOptions.module=esnext:8; compilerOptions.strict=True:8; compilerOptions.skipLibCheck=True:8; compilerOptions.esModuleInterop=True:8; compilerOptions.allowSyntheticDefaultImports=True:8; compilerOptions.forceConsistentCasingInFileNames=True:8; compilerOptions.allowJs=True:8; compilerOptions.noFallthroughCasesInSwitch=True:8; compilerOptions.lib.lib/dom.iterable=dom.iterable:8
11,20,compilerOptions.isolatedModules=True:20; compilerOptions.jsx=preserve:20; compilerOptions.module=esnext:20; compilerOptions.allowJs=True:20; include.include/**/*.tsx=**/*.tsx:20; include.include/**/*.ts=**/*.ts:20; compilerOptions.lib.lib/esnext=esnext:20; compilerOptions.resolveJsonModule=True:20; compilerOptions.noEmit=True:20; compilerOptions.incremental=True:20
