min_cluster_size,silhouette_score,n_clusters,n_noise
3,0.1650414638830126,23,207
4,0.22311146589529987,12,252
5,0.14991599831585642,3,40
6,0.14991599831585642,3,40
7,0.15507602248989724,2,46
8,0.15507602248989724,2,46
9,0.15507602248989724,2,46
10,0.15507602248989724,2,46
11,0.15507602248989724,2,46
