k,silhouette_score,n_clusters
2,0.07448587708150092,2
3,0.08272763532325916,3
4,0.08275147563620783,4
5,0.08275741110642054,5
6,0.08278107424988444,6
7,0.08421331148929173,7
8,0.08414742474222488,8
9,0.08394625250066148,9
10,0.08372229512431205,10
11,0.08323899019819467,11
12,0.08283092856720156,12
13,0.08260141621533805,13
14,0.0854769596733571,14
15,0.08393762701467883,15
16,0.08332942157200487,16
17,0.08151850854465205,17
18,0.08091315287855487,18
19,0.0802417752232827,19
20,0.07885272234993111,20
