project,cluster,num_options,num_files
AdGuardHome,0,111,2
subql,0,243,11
immutable-js,0,115,1
bevy,0,15,2
superset,0,627,33
gpt4free,0,9,2
vue-pure-admin,0,170,1
mongo,0,12,2
node,0,1330,271
typescript-go,0,112,5
layui,0,27,2
shardeum,0,134,3
egg,0,115,3
uBlock,0,22,4
halo,0,254,6
jenkins,0,54,1
goreplay,0,6,1
nuxt,0,340,10
grapesjs,0,146,5
desktop,0,49,1
modular,5,2,1
storybook,0,851,50
commitlint,0,192,102
turborepo,0,663,234
aseprite,7,15,14
voice-changer,0,106,4
dotenv,0,36,1
unocss,0,513,73
gitea,0,126,1
harbor,0,93,2
vue-admin-better,0,66,3
table,0,199,101
echarts,0,198,7
swc,0,663,55
zulip,0,448,5
nx,0,1144,173
Avalonia,0,29,2
paperless-ngx,0,71,2
github1s,0,300,7
next.js,0,2075,433
SwitchHosts,0,86,2
platform,0,897,418
typst,0,13,1
backstage,0,1168,211
ghostty,0,12,1
ink,0,116,1
slick,0,8,1
react-three-fiber,0,135,5
react,0,804,102
cheerio,0,140,2
codemirror5,0,23,1
preact,0,202,7
react-native,0,420,29
wechat-app-mall,0,15,1
web-check,0,65,1
ILSpy,0,3,1
codex,0,97,3
qinglong,0,152,1
tailscale,0,60,2
serverless,0,152,1
aspnetcore,0,151,14
jitsi-meet,0,248,2
chakra-ui,0,305,17
babel,0,1436,172
PhotoSwipe,0,81,2
vault,0,337,16
html5-boilerplate,0,44,3
whisper.cpp,0,23,3
prettier,0,239,6
yjs,0,60,1
trix,0,56,1
umami,0,163,1
driver.js,0,52,2
spotube,0,62,1
gopeed,0,15,1
cline,0,290,8
strapi,0,631,56
semantic-release,0,103,1
arthas,0,73,3
editor.js,0,54,1
typesense,0,50,1
agenticSeek,0,25,1
elasticsearch,0,6,1
spacedrive,0,372,14
ui,0,292,10
homepage,0,61,1
puppeteer,0,315,12
ChromeAppHeroes,0,8,1
fuels-ts,0,305,37
rrweb,0,188,24
PicGo,0,94,1
dify,0,242,2
koodo-reader,0,166,1
linux-command,0,24,1
composio,0,196,30
dgraph,0,6,1
classnames,0,41,1
meteor,0,331,30
DeepSpeech,0,8,1
tabler,0,145,4
bokeh,0,67,6
docs,0,77,1
Chart.js,0,117,4
immich,0,296,8
rollup,0,238,24
vuetify,0,308,4
biome,0,101,18
frp,0,30,2
the-swift-programming-language-in-chinese,0,7,1
Ghost,0,753,21
xyflow,0,165,10
CyberChef,0,176,1
ionic-framework,0,200,17
socket.io,0,345,67
filament,0,50,11
drawdb,0,55,1
Bilibili-Evolved,0,84,3
react-native-vector-icons,0,249,30
conductor,0,80,1
label-studio,0,299,10
vueuse,0,215,14
bulma,0,57,3
rails,0,37,4
LibreChat,0,399,7
hey,0,118,8
gin-vue-admin,0,71,1
spaCy,0,58,1
Sunshine,0,14,1
axios,0,150,1
tauri,0,123,21
wagtail,0,126,1
1Panel,0,89,1
FiraCode,0,9,1
google-research,0,87,1
gradio,0,407,75
antlr4,0,46,3
phoenix,0,32,1
vant,0,138,12
actual,0,404,9
netbox,0,52,2
lossless-cut,0,356,1
pnpm,0,779,265
taro,0,914,97
AdminLTE,0,79,1
swagger-ui,0,184,3
uikit,0,55,2
jan,0,238,12
jquery,0,128,3
harness,0,186,2
openapi-generator,0,241,70
jsdom,0,66,1
element-plus,0,241,16
windows95,0,37,1
angular-cli,0,324,22
hono,0,404,7
webtorrent,0,127,1
airflow,0,151,5
prometheus,0,168,5
config,0,4,1
slint,0,207,14
draggable,0,110,2
saleor,0,12,1
coc.nvim,0,85,1
mjml,0,98,34
bruno,0,283,14
mkdocs-material,0,84,1
dashy,0,79,1
outline,0,371,1
mlc-llm,0,17,1
docusaurus,0,447,49
void,0,4071,104
streamlit,0,270,9
filebrowser,0,71,2
ice,0,507,81
webpack,0,177,4
AnotherRedisDesktopManager,0,149,2
slidev,0,369,15
tiptap,0,452,71
Leaflet,0,59,1
apollo-client,0,239,9
ArchiveBox,0,9,1
parcel,0,589,163
mermaid,0,225,8
json-server,0,44,1
bit,0,71,1
postiz-app,0,285,8
chatwoot,0,140,1
react-navigation,0,161,14
n8n,0,1758,48
fingerprintjs,0,52,1
canal,0,51,1
frigate,0,149,2
EasySpider,0,79,2
portainer,0,230,1
linera-protocol,0,94,9
shap,0,34,2
three.js,0,82,2
flow,0,238,12
OpenManus,0,12,1
spring-boot,2,12,1
