k,silhouette_score,n_clusters
2,0.12602051840311992,2
3,0.12605172935682105,3
4,0.12603944542426618,4
5,0.1235561805402262,5
6,0.12081951211593016,6
7,0.1159790768306185,7
8,0.11072352367954848,8
9,0.12404341996296135,9
10,0.12215820108679504,10
11,0.12707847971438493,11
12,0.12722621245187116,12
13,0.12374185432008286,13
14,0.12438312268754573,14
15,0.11786272431401215,15
16,0.11040273001271575,16
17,0.10481988175343447,17
18,0.10137296658415895,18
19,0.10310965739006414,19
20,0.10382957293443941,20
