cluster_id,num_projects,top_options
0,588,repository.type=git:366; private=True:351; license=MIT:306; type=module:304; version=1.0.0:190; version=0.0.0:174; main=index.js:169; files.files/dist=dist:147; sideEffects=False:118; version=0.0.1:109
1,3,"scripts.eslint=eslint . --fix:3; scripts.prettier=prettier --write **/*.{css,ts,md,yaml} !**/*.min.css:2; devDependencies.stylelint=15.6.2:2; scripts.stylelint=stylelint '**/*.css' --fix:2; devDependencies.stylelint-config-standard=33.0.0:2; dependencies.d3=7.8.5:2; dependencies.@observablehq/plot=0.6.9:2; devDependencies.prettier=2.8.8:2; devDependencies.typescript=5.0.4:2; devDependencies.eslint-config-prettier=8.8.0:2"
2,2,dependencies.@antora/atlas-extension=1.0.0-alpha.2:2; dependencies.@asciidoctor/tabs=1.0.0-beta.6:2; scripts.postinstall=patch-package:1
3,3,
4,1,dependencies.sharp=^0.33.2:1
5,1,devDependencies.deep-extend=^0.6.0:1
6,1,dependencies.eslint=^8.57.1:1
7,1,license=CC-BY-4.0:1; categories.categories/Themes=Themes:1
8,1,version=3.0.0:1
