k,silhouette_score,n_clusters
2,0.21812457553385542,2
3,0.22849507453377205,3
4,0.22859018736180173,4
5,0.22854718864259638,5
6,0.22837699072824888,6
7,0.2285490602650763,7
8,0.2283315434012133,8
9,0.22789315482046327,9
10,0.24243050109596428,10
11,0.2478179021142692,11
12,0.2610220360339344,12
13,0.26335466510526145,13
14,0.2729273519157725,14
15,0.2782294929972995,15
16,0.304141703363746,16
17,0.30213362589383447,17
18,0.3005937387864311,18
19,0.306520471497408,19
20,0.3243365517871956,20
