cluster_id,num_projects,top_options
-1,1,WORKDIR=/workdir:1
0,426,"COPY=. .:142; WORKDIR=/app:125; ENV=PATH="":88; EXPOSE=8080:49; ARG=TARGETARCH:47; USER=root:42; EXPOSE=3000:41; ENV=DEBIAN_FRONTEND=noninteractive:41; ARG=TARGETPLATFORM:33; ENV=NODE_ENV=production:30"
1,41,FROM=gcr.io/distroless/static:2; ADD=. $GOPATH/src/github.com/nxadm/tail/:1; COPY=Makefile go.* ./:1; RUN=go test -v github.com/nxadm/tail:1; RUN=chmod +x /docker-entrypoint.sh:1; ENV=IS_DOCKER=true:1; FROM=openjdk:8-jdk-alpine:1; RUN=go install -v github.com/nxadm/tail/cmd/gotail:1; RUN=go install -v github.com/nxadm/tail:1; WORKDIR=/go/src/github.com/samber/lo:1
