cluster,entropy,entropy_normalized,num_projects
0,5.669425040113639,0.9037998089548407,66
1,4.643611807157576,0.7402682696172197,9
4,4.5877396657385265,0.7313613292514604,13
2,3.5120271920745214,0.5598750283816318,12
3,3.2113272802428523,0.5119385055520166,23
6,3.1839025008182364,0.5075665436283258,5
14,2.7398245096223635,0.43677319143403787,12
12,2.3025850929940455,0.3670700207562086,2
5,2.2823743761592494,0.3638480993294526,6
16,2.0794415416798357,0.33149726026985693,1
18,1.7917594692280547,0.28563599562979375,1
19,1.7917594692280547,0.28563599562979375,2
17,1.6094379124341005,0.2565709339995897,1
8,1.559581156259877,0.2486229452023927,2
11,-0.0,-0.0,1
13,-0.0,-0.0,1
9,0.0,0.0,38
15,-0.0,-0.0,1
7,-0.0,-0.0,1
10,-0.0,-0.0,3
