min_cluster_size,silhouette_score,n_clusters,n_noise
3,0.02351603479947276,2,1
4,0.021866792292951135,2,1
5,0.0198421501156766,16,458
6,0.02438445173933391,11,483
7,0.0352871632866068,7,507
8,0.017002840423190602,2,404
9,0.06548640616012985,2,508
10,0.0845209317671984,3,525
11,0.0845209317671984,3,525
12,0.0845209317671984,3,525
13,0.0845209317671984,3,525
14,0.0845209317671984,3,525
15,0.06548640616012985,2,508
16,0.06548640616012985,2,508
17,0.06548640616012985,2,508
