project,cluster,num_options,num_files
vue-pure-admin,-1,16,2
mongo,0,1,1
typescript-go,10,24,2
halo,-1,16,2
storybook,-1,15,4
commitlint,14,1,2
turborepo,-1,43,14
voice-changer,-1,13,5
unocss,9,8,3
vue-admin-better,-1,34,1
table,13,2,2
echarts,-1,2,1
next.js,-1,15,6
platform,-1,20,3
react,-1,2,1
aspnetcore,-1,42,16
chakra-ui,14,7,3
html5-boilerplate,-1,12,2
quivr,7,18,3
spotube,-1,142,4
strapi,-1,1,1
arthas,13,2,1
editor.js,0,37,1
ui,0,1,2
puppeteer,0,2,1
fuels-ts,-1,20,2
rrweb,-1,1,2
PicGo,-1,19,3
dify,12,3,2
dragonfly,3,13,1
dgraph,-1,24,3
ruby,9,12,3
tabler,5,7,1
FlClash,1,49,1
docs,16,10,1
immich,-1,86,5
rollup,8,17,2
Ghost,-1,12,2
maui,0,4,3
vueuse,-1,5,3
LibreChat,8,9,1
hey,3,30,2
spaCy,16,4,1
tauri,12,6,2
1Panel,0,1,1
gradio,-1,33,2
taro,-1,27,4
act,-1,11,2
jan,15,4,2
harness,-1,17,3
element-plus,-1,53,3
hono,-1,8,4
slint,-1,4,6
draggable,-1,30,5
saleor,-1,18,3
mkdocs-material,2,49,3
void,-1,58,35
streamlit,-1,10,2
brew,-1,13,3
slidev,-1,18,5
tiptap,-1,67,2
apollo-client,8,16,2
parcel,10,13,3
mermaid,16,4,2
chatwoot,0,2,2
n8n,-1,17,5
frigate,7,6,2
OpenManus,-1,3,2
LocalAI,7,19,2
PowerShell,-1,30,4
Karabiner-Elements,3,10,1
llvm-project,10,11,4
sst,-1,10,31
rustdesk,7,6,1
lexical,16,3,2
LLMs-from-scratch,-1,7,1
blueprint,-1,21,3
components,-1,17,5
novu,-1,76,11
create-t3-app,11,36,3
react-hook-form,-1,17,2
TypeScript,-1,4,2
monaco-editor,-1,13,3
cal.com,8,22,4
react-scan,4,12,1
amis,-1,546,3
ToolJet,-1,45,3
joplin,-1,3,2
srs,1,89,3
discord.js,-1,58,8
Tasmota,0,5,2
union,-1,10,3
remix,-1,8,4
CopilotKit,5,31,16
homebridge,0,1,1
generator-jhipster,8,76,2
appium,-1,30,3
sweetalert2,15,10,2
netron,-1,7,2
js-cookie,16,3,1
wekan,0,5,2
shields,-1,9,2
autocomplete,15,5,2
graphql,-1,63,21
KaTeX,-1,4,2
teleport,8,13,1
budibase,11,17,3
FastGPT,-1,13,2
uni-app,14,1,1
quasar,-1,23,14
vite,13,2,4
trpc,12,10,6
semantic-kernel,-1,84,18
relay,9,14,6
refine,4,8,2
teable,2,29,3
focalboard,12,2,7
trilium,-1,11,2
uppy,-1,1,7
xterm.js,-1,36,3
twenty,-1,51,4
bootstrap,3,12,2
react-redux,14,1,1
payload,-1,37,40
MiniCPM-o,16,4,2
electron-react-boilerplate,-1,36,3
okhttp,-1,1,1
docsify,12,2,2
supabase,-1,15,1
penpot,-1,6,2
Wox,0,1,3
directus,-1,9,2
automa,-1,2,1
insomnia,-1,72,4
bun,9,15,7
FreeTube,6,41,3
wg-easy,-1,32,2
hugo,-1,3,1
Chat2DB,2,87,2
daytona,10,8,2
RustPython,7,8,3
crystal,8,6,1
github-readme-stats,16,3,2
svelte,8,8,2
next-auth,-1,9,5
jest,-1,9,5
fullcalendar,12,2,2
cosmopolitan,0,20,1
Babylon.js,-1,45,4
material-ui,-1,15,2
deskreen,-1,50,4
jellyfin,-1,17,4
styled-components,12,8,2
astro,4,23,34
monica,0,2,1
framework7,12,7,1
vue-vben-admin,-1,9,3
xstate,8,17,6
qwik,6,21,10
lit,14,4,18
dioxus,0,3,9
prefect,12,3,2
react-router,14,2,1
fabric,-1,114,1
cherry-studio,-1,20,3
continue,-1,66,6
Folo,-1,21,3
hoppscotch,13,4,2
locust,-1,59,3
dokploy,4,5,2
carbon-lang,-1,28,4
fabric.js,13,2,2
core,0,3,1
metabase,11,17,4
angular,10,13,3
motion,12,6,1
bulletproof-react,15,7,6
graphql-engine,-1,5,2
simdjson,1,124,2
deepface,3,12,1
gitbook,4,16,2
coreutils,0,1,2
anything-llm,-1,59,3
NativeScript,4,10,4
hiddify-app,2,7,3
wails,12,2,4
openui,-1,33,4
screenshot-to-code,0,3,1
oh-my-posh,-1,71,4
zod,4,21,3
slate,12,9,3
typeorm,15,7,2
wiki,-1,13,3
ruff,6,1,2
AFFiNE,6,4,1
tabler-icons,5,7,1
openwrt,0,1,1
swiper,-1,3,1
remotion,-1,29,3
