Technology,Total Options,Number of Files,Options Set (Total),Options Set (Unique),Matched Options,Percentage Used
github-action,,4,127,50,,
docker,18.0,1,9,5,5.0,27.78
gradle-wrapper,5.0,1,6,6,0.0,0.0
