Technology,Total Options,Number of Files,Options Set (Total),Options Set (Unique),Matched Options,Percentage Used
github-action,,3,94,30,,
gradle-wrapper,5.0,1,5,5,0.0,0.0
mkdocs,,1,74,44,,
