Technology,Total Options,Number of Files,Options Set (Total),Options Set (Unique),Matched Options,Percentage Used
github-action,,3,92,29,,
gradle,24.0,1,3,3,2.0,8.33
gradle-wrapper,5.0,1,5,5,0.0,0.0
