Technology,Total Options,Number of Files,Options Set (Total),Options Set (Unique),Matched Options,Percentage Used
github-action,,3,84,26,,
gradle,24.0,2,3,3,1.0,4.17
gradle-wrapper,5.0,1,5,5,0.0,0.0
