Technology,Total Options,Number of Files,Options Set (Total),Options Set (Unique),Matched Options,Percentage Used
github-action,,4,134,34,,
gradle,24.0,1,11,11,1.0,4.17
gradle-wrapper,5.0,1,5,5,0.0,0.0
spring,1779.0,1,14,14,7.0,0.39
