Technology,Total Options,Number of Files,Options Set (Total),Options Set (Unique),Matched Options,Percentage Used
github-action,,3,80,22,,
gradle,24.0,1,2,2,1.0,4.17
gradle-wrapper,5.0,1,5,5,0.0,0.0
