Technology,Total Options,Number of Files,Options Set (Total),Options Set (Unique),Matched Options,Percentage Used
github-action,,1,12,9,,
gradle-wrapper,5.0,1,7,7,0.0,0.0
docker-compose,237.0,1,13,10,7.0,2.95
spring,1779.0,1,77,77,3.0,0.17
