Technology,Total Options,Number of Files,Options Set (Total),Options Set (Unique),Matched Options,Percentage Used
github-action,,3,90,31,,
gradle,24.0,1,6,6,0.0,0.0
gradle-wrapper,5.0,1,5,5,0.0,0.0
