Technology,Total Options,Number of Files,Options Set (Total),Options Set (Unique),Matched Options,Percentage Used
github-action,,4,96,35,,
gradle,24.0,1,12,12,0.0,0.0
gradle-wrapper,5.0,1,7,7,0.0,0.0
