Concept,Option
yaml,seata.enabled
yaml,seata.registry.file.name
yaml,seata.registry.type
yaml,seata.service.disable-global-transaction
yaml,seata.service.enable-degrade
yaml,seata.service.grouplist.default
yaml,seata.service.vgroup-mapping.pig_tx_group
yaml,seata.transport.compressor
yaml,seata.transport.enable-client-batch-send-request
yaml,seata.transport.heartbeat
yaml,seata.transport.serialization
yaml,seata.transport.server
yaml,seata.transport.shutdown.wait
yaml,seata.transport.thread-factory.boss-thread-prefix
yaml,seata.transport.thread-factory.client-selector-thread-prefix
yaml,seata.transport.thread-factory.client-selector-thread-size
yaml,seata.transport.thread-factory.client-worker-thread-prefix
yaml,seata.transport.thread-factory.server-executor-thread-prefix
yaml,seata.transport.thread-factory.share-boss-worker
yaml,seata.transport.thread-factory.worker-thread-prefix
yaml,seata.transport.type
yaml,seata.tx-service-group
yaml,swagger.enabled
yaml,swagger.gateway
yaml,swagger.scope
yaml,swagger.title
yaml,swagger.token-url
yaml,management.endpoints.web.exposure.include
yaml,spring.cloud.config.server.native.search-locations
yaml,ignore.urls
yaml,security.oauth2.client.client-id
yaml,security.oauth2.client.client-secret
yaml,security.oauth2.client.scope
yaml,spring.resources.static-locations
yaml,ignore.clients
yaml,security.encode.key
yaml,spring.cloud.gateway.locator.enabled
yaml,spring.cloud.gateway.routes.filters.args.fallbackUri
yaml,spring.cloud.gateway.routes.filters.args.key-resolver
yaml,spring.cloud.gateway.routes.filters.args.name
yaml,spring.cloud.gateway.routes.filters.args.redis-rate-limiter.burstCapacity
yaml,spring.cloud.gateway.routes.filters.args.redis-rate-limiter.replenishRate
yaml,spring.security.user.name
yaml,spring.security.user.password
yaml,management.metrics.web.server.auto-time-requests
yaml,sleuth.enabled
yaml,zipkin.storage.type
yaml,eureka.client.fetch-registry
yaml,eureka.client.register-with-eureka
yaml,eureka.instance.hostname
yaml,eureka.server.enable-self-preservation
yaml,eureka.server.eviction-interval-timer-in-ms
yaml,eureka.server.renewal-percent-threshold
yaml,spring.cloud.config.enabled
yaml,db.num
yaml,db.password
yaml,db.url.0
yaml,db.user
yaml,nacos.cmdb.dumpTaskInterval
yaml,nacos.cmdb.eventTaskInterval
yaml,nacos.cmdb.labelTaskInterval
yaml,nacos.cmdb.loadDataAtStart
yaml,nacos.security.ignore.urls
yaml,server.tomcat.basedir
yaml,spring.datasource.platform
yaml,spring.security.enabled
yaml,logging.level.root
yaml,spring.quartz.jdbc.initialize-schema
yaml,spring.quartz.job-store-type
yaml,spring.quartz.properties.org.quartz.jobStore.class
yaml,spring.quartz.properties.org.quartz.jobStore.clusterCheckinInterval
yaml,spring.quartz.properties.org.quartz.jobStore.driverDelegateClass
yaml,spring.quartz.properties.org.quartz.jobStore.isClustered
yaml,spring.quartz.properties.org.quartz.jobStore.tablePrefix
yaml,spring.quartz.properties.org.quartz.jobStore.useProperties
yaml,spring.quartz.properties.org.quartz.scheduler.instanceId
yaml,spring.quartz.properties.org.quartz.scheduler.instanceName
yaml,spring.quartz.properties.org.quartz.threadPool.class
yaml,spring.quartz.properties.org.quartz.threadPool.threadCount
yaml,spring.quartz.properties.org.quartz.threadPool.threadPriority
yaml,spring.quartz.properties.org.quartz.threadPool.threadsInheritContextClassLoaderOfInitializingThread
yaml,app.environment
yaml,app.name
yaml,app.version
yaml,cache.enabled
yaml,cache.max-entries
yaml,cache.ttl
yaml,database.host
yaml,database.max-connections
yaml,database.min-idle-connections
yaml,database.name
yaml,database.password
yaml,database.port
yaml,database.username
yaml,features.enable-advanced-search
yaml,features.enable-new-dashboard
yaml,features.show-beta-banner
yaml,logging.file.max-history
yaml,logging.file.max-size
yaml,logging.file.path
yaml,logging.level
yaml,mail.enabled
yaml,mail.from-address
yaml,mail.host
yaml,mail.password
yaml,mail.port
yaml,mail.timeout
yaml,mail.username
yaml,security.api-key
yaml,security.enable-https
yaml,server.context-path
yaml,stages.steps.displayName
yaml,stages.steps.name
yaml,stages.steps.step
yaml,permissions.role
yaml,stages.steps.caches
yaml,stages.steps.strategy.retry
yaml,stages.strategy
yaml,stages.trigger
yaml,triggers.push.branches.prefix
yaml,triggers.trigger
yaml,eureka.client.serviceUrl.defaultZone
yaml,spring.cloud.config.password
yaml,spring.cloud.config.uri
yaml,spring.cloud.config.username
yaml,feign.hystrix.enabled
yaml,security.oauth2.client.accessTokenUri
yaml,security.oauth2.client.clientId
yaml,security.oauth2.client.clientSecret
yaml,security.oauth2.client.grant-type
yaml,server.servlet.context-path
yaml,spring.data.mongodb.password
yaml,spring.data.mongodb.username
yaml,hystrix.command.default.execution.isolation.thread.timeoutInMilliseconds
yaml,ribbon.ConnectTimeout
yaml,ribbon.ReadTimeout
yaml,zuul.host.connect-timeout-millis
yaml,zuul.host.socket-timeout-millis
yaml,zuul.ignoredServices
yaml,zuul.routes.account-service.path
yaml,zuul.routes.account-service.serviceId
yaml,zuul.routes.account-service.stripPrefix
yaml,zuul.routes.auth-service.path
yaml,zuul.routes.auth-service.stripPrefix
yaml,zuul.routes.auth-service.url
yaml,zuul.routes.notification-service.path
yaml,zuul.routes.notification-service.serviceId
yaml,zuul.routes.notification-service.stripPrefix
yaml,zuul.routes.statistics-service.path
yaml,zuul.routes.statistics-service.serviceId
yaml,zuul.routes.statistics-service.stripPrefix
yaml,backup.cron
yaml,backup.email.attachment
yaml,backup.email.subject
yaml,backup.email.text
yaml,delay.value
yaml,remind.cron
yaml,remind.email.subject
yaml,remind.email.text
yaml,spring.mail.host
yaml,spring.mail.password
yaml,spring.mail.port
yaml,spring.mail.properties.mail.smtp.auth
yaml,spring.mail.properties.mail.smtp.socketFactory.class
yaml,spring.mail.properties.mail.smtp.socketFactory.fallback
yaml,spring.mail.properties.mail.smtp.socketFactory.port
yaml,spring.mail.properties.mail.smtp.ssl.enable
yaml,spring.mail.username
yaml,rates.url
yaml,eureka.client.fetchRegistry
yaml,eureka.client.registerWithEureka
yaml,eureka.client.server.waitTimeInMsWhenSyncEmpty
yaml,spring.cloud.nacos.config.file-extension
yaml,spring.cloud.nacos.config.server-addr
yaml,eureka.instance.healthCheckUrlPath
yaml,eureka.instance.home-page-url-path
yaml,eureka.instance.ip-address
yaml,eureka.instance.statusPageUrlPath
yaml,feign.compression.request.enabled
yaml,feign.compression.request.mime-types
yaml,feign.compression.request.min-request-size
yaml,feign.compression.response.enabled
yaml,feign.httpclient.enabled
yaml,feign.okhttp.enabled
yaml,spring.cloud.config.label
yaml,spring.cloud.loadbalancer.ribbon.enabled
yaml,spring.cloud.nacos.discovery.server-addr
yaml,spring.cloud.sleuth.enabled
yaml,spring.cloud.sleuth.sample.zipkin.enabled
yaml,hystrix.threadpool.default.coreSize
yaml,hystrix.threadpool.default.maxQueueSize
yaml,hystrix.threadpool.default.queueSizeRejectionThreshold
yaml,ribbon.MaxAutoRetries
yaml,ribbon.MaxAutoRetriesNextServer
yaml,ribbon.NFLoadBalancerRuleClassName
yaml,ribbon.OkToRetryOnAllOperations
yaml,ribbon.eureka.enabled
yaml,github
yaml,open_collective
yaml,daysUntilStale
yaml,exemptAssignees
yaml,exemptMilestones
yaml,exemptProjects
yaml,issues.closeComment
yaml,issues.daysUntilClose
yaml,issues.limitPerRun
yaml,issues.markComment
yaml,pulls.closeComment
yaml,pulls.daysUntilClose
yaml,pulls.limitPerRun
yaml,pulls.markComment
yaml,staleLabel
yaml,header.comment
yaml,header.license-location-threshold
yaml,header.license.copyright-owner
yaml,header.license.spdx-id
yaml,ctrip.eureka.dev
yaml,ctrip.eureka.fat
yaml,ctrip.eureka.pro
yaml,ctrip.eureka.uat
yaml,endpoints.health.sensitive
yaml,endpoints.shutdown.enabled
yaml,eureka.client.eurekaServiceUrlPollIntervalSeconds
yaml,eureka.client.healthcheck.enabled
yaml,eureka.instance.health-check-url-path
yaml,eureka.instance.preferIpAddress
yaml,eureka.instance.status-page-url-path
yaml,management.health.status.order
yaml,management.security.enabled
yaml,logging.logback.rollingpolicy.max-file-size
yaml,logging.logback.rollingpolicy.max-history
yaml,management.endpoints.web.base-path
yaml,server.max-http-header-size
yaml,server.tomcat.accept-count
yaml,spring.datasource.hikari.connectionInitSql
yaml,spring.info.git.location
yaml,spring.jpa.hibernate.globally_quoted_identifiers
yaml,spring.jpa.hibernate.naming.physical-strategy
yaml,spring.jpa.properties.hibernate.globally_quoted_identifiers
yaml,spring.mvc.converters.preferred-json-mapper
yaml,spring.cloud.zookeeper.connectString
yaml,eureka.server.enableSelfPreservation
yaml,eureka.server.peerEurekaNodesUpdateIntervalMs
yaml,ldap.filter.memberOf
yaml,ldap.mapping.email
yaml,ldap.mapping.loginId
yaml,ldap.mapping.objectClass
yaml,ldap.mapping.userDisplayName
yaml,spring.ldap.base
yaml,spring.ldap.password
yaml,spring.ldap.searchFilter
yaml,spring.ldap.urls
yaml,spring.ldap.username
yaml,ldap.group.groupBase
yaml,ldap.group.groupMembership
yaml,ldap.group.groupSearch
yaml,ldap.group.objectClass
yaml,ldap.mapping.rdnKey
yaml,server.forward-headers-strategy
yaml,spring.security.oauth2.client.provider.<fill-in-the-provider-name-here>.issuer-uri
yaml,spring.security.oauth2.client.provider.provider-name.issuer-uri
