Concept,Option
spring,file.local.enable
spring,jasypt.encryptor.algorithm
spring,jasypt.encryptor.iv-generator-classname
spring,jasypt.encryptor.password
spring,security.encodeKey
spring,security.ignore-clients
spring,spring.cache.type
spring,spring.data.redis.host
spring,spring.data.redis.password
spring,spring.data.redis.port
spring,swagger.token-url
spring,feign.client.config.default.connectTimeout
spring,feign.client.config.default.readTimeout
spring,feign.compression.request.enabled
spring,feign.compression.response.enabled
spring,feign.httpclient.enabled
spring,feign.hystrix.enabled
spring,feign.okhttp.enabled
spring,hystrix.command.default.execution.isolation.strategy
spring,hystrix.command.default.execution.isolation.thread.timeoutInMilliseconds
spring,hystrix.shareSecurityContext
spring,management.endpoints.web.exposure.include
spring,mybatis-plus.configuration.map-underscore-to-camel-case
spring,mybatis-plus.global-config.banner
spring,mybatis-plus.global-config.db-config.field-strategy
spring,mybatis-plus.global-config.db-config.id-type
spring,mybatis-plus.global-config.db-config.logic-delete-value
spring,mybatis-plus.global-config.db-config.logic-not-delete-value
spring,mybatis-plus.global-config.db-config.table-underline
spring,mybatis-plus.mapper-locations
spring,ribbon.ConnectTimeout
spring,ribbon.ReadTimeout
spring,security.oauth2.resource.loadBalanced
spring,security.oauth2.resource.token-info-uri
spring,spring.sleuth.sampler.probability
spring,spring.sleuth.web.client.enabled
spring,spring.zipkin.base-url
spring,spring.zipkin.enabled
spring,auth.filter.exclude-url-suffixes
spring,auth.filter.exclude-urls
spring,auth.password
spring,auth.username
spring,logging.file.name
spring,logging.level.org.springframework.web
spring,logging.pattern.file
spring,sentinel.dashboard.version
spring,server.servlet.encoding.force
spring,management.endpoint.health.show-details
spring,management.health.mail.enabled
spring,server.servlet.context-path
spring,spring.freemarker.request-context-attribute
spring,spring.freemarker.settings.number_format
spring,spring.freemarker.suffix
spring,spring.mail.from
spring,spring.mail.properties.mail.smtp.required
spring,spring.mail.properties.mail.smtp.ssl.enable
spring,spring.mvc.static-path-pattern
spring,spring.resources.static-locations
spring,xxl.job.i18n
spring,xxl.job.logretentiondays
spring,xxl.job.triggerpool.fast.max
spring,xxl.job.triggerpool.slow.max
spring,server.name
spring,cache.clean
spring,cache.enabled
spring,converted.file.charset
spring,file.dir
spring,ftp.control.encoding
spring,ftp.password
spring,ftp.username
spring,media
spring,office.home
spring,server.tomcat.uri-encoding
spring,simtext
spring,spring.freemarker.cache
spring,spring.freemarker.charset
spring,spring.freemarker.check-template-location
spring,spring.freemarker.content-type
spring,spring.freemarker.expose-request-attributes
spring,spring.freemarker.expose-session-attributes
spring,spring.freemarker.template-loader-path
spring,spring.http.encoding.charset
spring,spring.http.multipart.max-file-size
spring,spring.http.multipart.max-request-size
spring,base.url
spring,cache.clean.cron
spring,cache.clean.enabled
spring,cache.type
spring,office.preview.switch.disabled
spring,office.preview.type
spring,pdf.download.disable
spring,server.context-path
spring,spring.redisson.address
spring,spring.redisson.password
spring,trust.host
spring,watermark.alpha
spring,watermark.angle
spring,watermark.color
spring,watermark.font
spring,watermark.fontsize
spring,watermark.height
spring,watermark.txt
spring,watermark.width
spring,watermark.x.space
spring,watermark.y.space
spring,spring.redisson.database
spring,beian
spring,cad.preview.type
spring,cad.thread
spring,cad.timeout
spring,convertmedias
spring,delete.captcha
spring,delete.password
spring,delete.source.file
spring,file.upload.disable
spring,home.pagenumber
spring,home.pagesize
spring,home.pagination
spring,home.search
spring,local.preview.dir
spring,media.convert.disable
spring,not.trust.host
spring,office.documentopenpasswords
spring,office.exportbookmarks
spring,office.exportnotes
spring,office.maximageresolution
spring,office.pagerange
spring,office.plugin.server.ports
spring,office.plugin.task.maxtasksperprocess
spring,office.plugin.task.taskexecutiontimeout
spring,office.plugin.task.timeout
spring,office.quality
spring,office.type.web
spring,office.watermark
spring,pdf.bookmark.disable
spring,pdf.disable.editing
spring,pdf.openfile.disable
spring,pdf.presentationmode.disable
spring,pdf.print.disable
spring,pdf.thread
spring,pdf.timeout
spring,pdf.timeout200
spring,pdf.timeout80
spring,pdf2jpg.dpi
spring,prohibit
spring,sc.password
spring,server.compression.enable
spring,server.servlet.encoding.charset
spring,tif.preview.type
spring,openofficepath
spring,logging.level.org.springframework.security
spring,security.oauth2.client.accessTokenUri
spring,security.oauth2.client.clientId
spring,security.oauth2.client.clientSecret
spring,security.oauth2.client.grant-type
spring,security.oauth2.client.scope
spring,security.oauth2.resource.user-info-uri
spring,spring.data.mongodb.password
spring,spring.data.mongodb.username
spring,security.user.password
spring,spring.cloud.config.server.native.search-locations
spring,spring.security.user.password
spring,eureka.client.serviceUrl.defaultZone
spring,eureka.instance.prefer-ip-address
spring,logging.level.
spring,zuul.host.connect-timeout-millis
spring,zuul.host.socket-timeout-millis
spring,zuul.routes.account-service.path
spring,zuul.routes.account-service.serviceId
spring,zuul.routes.account-service.stripPrefix
spring,zuul.routes.account-service.url
spring,zuul.routes.auth-service.path
spring,zuul.routes.auth-service.stripPrefix
spring,zuul.routes.auth-service.url
spring,zuul.routes.notification-service.path
spring,zuul.routes.notification-service.serviceId
spring,zuul.routes.notification-service.stripPrefix
spring,zuul.routes.notification-service.url
spring,zuul.routes.statistics-service.path
spring,zuul.routes.statistics-service.serviceId
spring,zuul.routes.statistics-service.stripPrefix
spring,zuul.routes.statistics-service.url
spring,eureka.client.fetchRegistry
spring,eureka.client.registerWithEureka
spring,eureka.client.server.waitTimeInMsWhenSyncEmpty
spring,rates.url
spring,auth.client.id
spring,auth.client.pub-key.path
spring,auth.client.secret
spring,auth.client.token-header
spring,auth.serviceId
spring,auth.user.pub-key.path
spring,auth.user.token-header
spring,eureka.instance.healthCheckUrlPath
spring,eureka.instance.ip-address
spring,eureka.instance.statusPageUrlPath
spring,gate.client.authHeader
spring,gate.client.authHost
spring,hystrix.threadpool.default.coreSize
spring,hystrix.threadpool.default.maxQueueSize
spring,hystrix.threadpool.default.queueSizeRejectionThreshold
spring,logging.level.com.github.wxiaoqi.security.admin
spring,logging.level.tk.mybatis
spring,mybatis.basepackage
spring,mybatis.xmlLocation
spring,redis.enable
spring,redis.host
spring,redis.password
spring,redis.pool.maxActive
spring,redis.pool.maxIdle
spring,redis.pool.maxWait
spring,redis.port
spring,redis.sysName
spring,redis.timeout
spring,ribbon.MaxAutoRetries
spring,ribbon.MaxAutoRetriesNextServer
spring,ribbon.OkToRetryOnAllOperations
spring,ribbon.eureka.enabled
spring,spring.boot.admin.url
spring,spring.datasource.filters
spring,spring.datasource.initialSize
spring,spring.datasource.maxActive
spring,spring.datasource.maxOpenPreparedStatements
spring,spring.datasource.maxWait
spring,spring.datasource.minEvictableIdleTimeMillis
spring,spring.datasource.minIdle
spring,spring.datasource.name
spring,spring.datasource.poolPreparedStatements
spring,spring.datasource.testOnBorrow
spring,spring.datasource.testOnReturn
spring,spring.datasource.testWhileIdle
spring,spring.datasource.timeBetweenEvictionRunsMillis
spring,spring.datasource.type
spring,spring.datasource.validationQuery
spring,spring.jackson.default-property-inclusion
spring,spring.sleuth.sampler.percentage
spring,swagger.basepackage
spring,swagger.service.description
spring,swagger.service.developer
spring,swagger.service.name
spring,feign.compression.request.mime-types
spring,feign.compression.request.min-request-size
spring,gate.client.clientId
spring,gate.client.secret
spring,gate.client.tokenHead
spring,jwt.header
spring,jwt.route.authentication.path
spring,jwt.route.authentication.refresh
spring,security.user.name
spring,security.user.role
spring,zuul.routes.uc.path
spring,zuul.routes.uc.serviceId
spring,client.expire
spring,client.id
spring,client.pri-key.path
spring,client.pub-key.path
spring,client.rsa-secret
spring,client.secret
spring,client.token-header
spring,jwt.expire
spring,jwt.pri-key.path
spring,jwt.pub-key.path
spring,jwt.rsa-secret
spring,jwt.token-header
spring,logging.level.com.github.wxiaoqi.security.auth
spring,management.security.enabled
spring,spring.cloud.consul.discovery.enabled
spring,spring.cloud.consul.discovery.healthCheckInterval
spring,spring.cloud.consul.discovery.healthCheckPath
spring,spring.cloud.consul.discovery.instanceId
spring,spring.cloud.consul.discovery.register
spring,spring.cloud.consul.enabled
spring,spring.cloud.consul.host
spring,spring.cloud.consul.port
spring,spring.cloud.nacos.discovery.server-addr
spring,spring.cloud.sentinel.transport.dashboard
spring,spring.redis.max-active
spring,spring.redis.pool
spring,spring.sleuth.enabled
spring,spring.sleuth.http.legacy.enabled
spring,logging.level.com.github.wxiaoqi.blog.admin
spring,cloud-client.ribbon.listOfServers
spring,zuul.routes.cloud-client.path
spring,eureka.client.service-url.defaultZone
spring,spring.cloud.config.server.git.uri
spring,eureka.instance.preferIpAddress
spring,spring.boot.admin.routes.endpoints
spring,spring.boot.admin.turbine.clusters
spring,spring.boot.admin.turbine.location
spring,management.metrics.export.elastic.enabled
spring,management.metrics.export.influx.enabled
spring,nacos.cmdb.dumptaskinterval
spring,nacos.cmdb.eventtaskinterval
spring,nacos.cmdb.labeltaskinterval
spring,nacos.cmdb.loaddataatstart
spring,nacos.security.ignore.urls
spring,server.contextpath
spring,server.servlet.contextpath
spring,server.tomcat.accesslog.enabled
spring,server.tomcat.accesslog.pattern
spring,db.num
spring,db.password
spring,db.url.0
spring,db.url.1
spring,db.user
spring,spring.datasource.continue-on-error
spring,spring.datasource.initialize
spring,zipkin.collector.rabbitmq.addresses
spring,zipkin.collector.rabbitmq.password
spring,zipkin.collector.rabbitmq.port
spring,zipkin.collector.rabbitmq.queue
spring,zipkin.collector.rabbitmq.username
spring,zipkin.storage
spring,zipkin.storage.type
spring,logging.level.com.github.wxiaoqi.security.demo.mybatis
spring,gate.ignore.startWith
spring,ribbon.httpclient.enabled
spring,ribbon.okhttp.enabled
spring,spring.sleuth.zuul.enabled
spring,zuul.ignored-services
spring,zuul.prefix
spring,zuul.ratelimit.behind-proxy
spring,zuul.ratelimit.default-policy.limit
spring,zuul.ratelimit.default-policy.refresh-interval
spring,zuul.ratelimit.default-policy.type
spring,zuul.ratelimit.enabled
spring,zuul.ratelimit.key-prefix
spring,zuul.ratelimit.repository
spring,zuul.routes.auth.path
spring,zuul.routes.auth.serviceId
spring,zuul.routes.back.path
spring,zuul.routes.back.serviceId
spring,zuul.routes.blog.path
spring,zuul.routes.blog.serviceId
spring,zuul.sensitive-headers
spring,ace-admin.ribbon.listOfServers
spring,ace-monitor.ribbon.listOfServers
spring,ace-ui.ribbon.listOfServers
spring,admin-back.ribbon.listOfServers
spring,admin-monitor.ribbon.listOfServers
spring,admin-ui.ribbon.listOfServers
spring,gate.ignore.contain
spring,gate.jwt.expiration
spring,gate.jwt.header
spring,gate.jwt.secret
spring,gate.oauth.prefix
spring,zuul.routes.ace-admin.path
spring,zuul.routes.ace-monitor.path
spring,zuul.routes.ace-ui.path
spring,zuul.routes.admin-back.path
spring,zuul.routes.admin-monitor.path
spring,zuul.routes.admin-ui.path
spring,zuul.routes.api.path
spring,zuul.routes.api.serviceId
spring,zuul.routes.gate.path
spring,zuul.routes.gate.serviceId
spring,zuul.routes.ui.path
