Concept,Option
docker-compose,services.mall-admin.container_name
docker-compose,services.mall-admin.environment.TZ
docker-compose,services.mall-admin.external_links
docker-compose,services.mall-admin.image
docker-compose,services.mall-admin.ports.container
docker-compose,services.mall-admin.ports.host
docker-compose,services.mall-portal.container_name
docker-compose,services.mall-portal.environment.TZ
docker-compose,services.mall-portal.image
docker-compose,services.mall-portal.ports.container
docker-compose,services.mall-portal.ports.host
docker-compose,services.mall-search.container_name
docker-compose,services.mall-search.environment.TZ
docker-compose,services.mall-search.image
docker-compose,services.mall-search.ports.container
docker-compose,services.mall-search.ports.host
docker-compose,version
docker-compose,services.elasticsearch.container_name
docker-compose,services.elasticsearch.environment.ES_JAVA_OPTS
docker-compose,services.elasticsearch.environment.cluster.name
docker-compose,services.elasticsearch.environment.discovery.type
docker-compose,services.elasticsearch.image
docker-compose,services.elasticsearch.ports.container
docker-compose,services.elasticsearch.ports.host
docker-compose,services.kibana.container_name
docker-compose,services.kibana.depends_on
docker-compose,services.kibana.environment.elasticsearch.hosts
docker-compose,services.kibana.image
docker-compose,services.kibana.links
docker-compose,services.kibana.ports.container
docker-compose,services.kibana.ports.host
docker-compose,services.logstash.container_name
docker-compose,services.logstash.depends_on
docker-compose,services.logstash.environment.TZ
docker-compose,services.logstash.image
docker-compose,services.logstash.links
docker-compose,services.logstash.volumes
docker-compose,services.minio.command
docker-compose,services.minio.container_name
docker-compose,services.minio.environment.MINIO_ROOT_PASSWORD
docker-compose,services.minio.environment.MINIO_ROOT_USER
docker-compose,services.minio.image
docker-compose,services.minio.volumes
docker-compose,services.mongo.container_name
docker-compose,services.mongo.image
docker-compose,services.mongo.ports
docker-compose,services.mongo.volumes
docker-compose,services.mysql.command
docker-compose,services.mysql.container_name
docker-compose,services.mysql.environment.MYSQL_ROOT_PASSWORD
docker-compose,services.mysql.image
docker-compose,services.mysql.ports.container
docker-compose,services.mysql.ports.host
docker-compose,services.mysql.restart
docker-compose,services.nginx.container_name
docker-compose,services.nginx.image
docker-compose,services.nginx.ports
docker-compose,services.rabbitmq.container_name
docker-compose,services.rabbitmq.image
