k,mean_ari,median_ari,std_ari,n_repeats_effective
3,0.9569265770919104,1.0,0.07719269417089164,20
4,0.9311193527519057,1.0,0.12908325075482302,20
5,0.8880485739326973,0.8947502147345107,0.09913271997585693,20
6,0.8459016179264156,0.8700144443302937,0.11793039321084588,20
7,0.8797406196014821,0.9077443040379147,0.12174234081598302,20
8,0.861310149756855,0.9111312919788358,0.1282859599848371,20
9,0.8190559263717037,0.8580622540171956,0.1680600731934828,20
10,0.7149272867875719,0.701701662238995,0.12386435848730112,20
11,0.8061489629894378,0.8259652848356765,0.1489016290028755,20
12,0.7881269650781874,0.8118740588166105,0.13022898114717663,20
13,0.7652602446191594,0.8700142015117813,0.1840122317908397,20
14,0.7259304292412245,0.6413176080514889,0.16438380793155896,20
15,0.6084393208196145,0.6142262348743452,0.20502400792128977,20
16,0.5480873758242659,0.4663324350131557,0.20770073063592084,20
17,0.7155492319806727,0.6813379297767764,0.13530651465774754,20
18,0.6111140312096215,0.5944082256476144,0.13177254395358023,20
19,0.7413577253489491,0.7576964807045883,0.10105820540197048,20
20,0.772272558680276,0.7866700907660283,0.12075305747798153,20
21,0.7627808870177926,0.7727077458623218,0.10551751366301668,20
22,0.758644431023998,0.7555770778792572,0.08988215996559291,20
23,0.7849889098433388,0.775945689588317,0.05319107497677713,20
24,0.8098208221830717,0.8077722693107309,0.08018520652482503,20
25,0.8235089565844035,0.818015164855382,0.05875522519750554,20
26,0.8190492134268472,0.8153243278297921,0.07384583166212617,20
27,0.7948342873998426,0.8120626886170239,0.1053706154654346,20
28,0.8034145607259313,0.8269437039786022,0.10038937850232361,20
29,0.7708824258844882,0.7817548637240643,0.12692025463745626,20
30,0.6710492947014012,0.6594296047821436,0.09180172559532962,20
